time,v(N001),v(N002),v(N004)
0.028028,5.0,5.0,0.702803114
0.028128,5.0,5.0,0.702803114
0.028228,5.0,5.0,0.702803114
0.028328,5.0,5.0,0.702803114
0.028428,5.0,5.0,0.702803114
0.028528,5.0,5.0,0.702803114
0.028628,5.0,5.0,0.702803114
0.028728,5.0,5.0,0.702803114
0.028828,5.0,5.0,0.702803114
0.028928,5.0,5.0,0.702803114
0.029028,5.0,5.0,0.702803114
0.029128,5.0,5.0,0.702803114
0.029228,5.0,5.0,0.702803114
0.029328,5.0,5.0,0.702803114
0.029428,5.0,5.0,0.702803114
0.029528,5.0,5.0,0.702803114
0.029628,5.0,5.0,0.702803114
0.029728,5.0,5.0,0.702803114
0.029828,5.0,5.0,0.702803114
0.029928,5.0,5.0,0.702803114
0.030028,5.0,5.0,0.702803114
0.030128,5.0,5.0,0.702803114
0.030228,5.0,5.0,0.702803114
0.030328,5.0,5.0,0.702803114
0.030428,5.0,5.0,0.702803114
0.030528,5.0,5.0,0.702803114
0.030628,5.0,5.0,0.702803114
0.030728,5.0,5.0,0.702803114
0.030828,5.0,5.0,0.702803114
0.030928,5.0,5.0,0.702803114
0.031028,5.0,5.0,0.702803114
0.031128,5.0,5.0,0.702803114
0.031228,5.0,5.0,0.702803114
0.031328,5.0,5.0,0.702803114
0.031428,5.0,5.0,0.702803114
0.031528,5.0,5.0,0.702803114
0.031628,5.0,5.0,0.702803114
0.031728,5.0,5.0,0.702803114
0.031828,5.0,5.0,0.702803114
0.031928,5.0,5.0,0.702803114
0.032028,5.0,5.0,0.702803114
0.032128,5.0,5.0,0.702803114
0.032228,5.0,5.0,0.702803114
0.032328,5.0,5.0,0.702803114
0.032428,5.0,5.0,0.702803114
0.032528,5.0,5.0,0.702803114
0.032628,5.0,5.0,0.702803114
0.032728,5.0,5.0,0.702803114
0.032828,5.0,5.0,0.702803114
0.032928,5.0,5.0,0.702803114
0.033028,5.0,5.0,0.702803114
0.033128,5.0,5.0,0.702803114
0.033228,5.0,5.0,0.702803114
0.033328,5.0,5.0,0.702803114
0.033428,5.0,5.0,0.702803114
0.033528,5.0,5.0,0.702803114
0.033628,5.0,5.0,0.702803114
0.033728,5.0,5.0,0.702803114
0.033828,5.0,5.0,0.702803114
