 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         @dled12_1[id]  
 1.04243442e-04  1.04243442e-04  5.15275951e-01  4.58412348e-01  9.00000000e+00  6.68021422e-02  7.02691318e-08  7.02691316e-08  9.74369076e-20 
 1.09243442e-04  1.09243442e-04  5.13039159e-01  4.75254686e-01  9.00000000e+00  6.67866063e-02 -7.00128633e-08 -7.00128632e-08 -9.70814860e-20 
 1.14243442e-04  1.14243442e-04  5.10813443e-01  4.92029888e-01  9.00000000e+00  6.67706863e-02  7.02711577e-08  7.02711575e-08  9.74397167e-20 
 1.19243442e-04  1.19243442e-04  5.08598749e-01  5.08738318e-01  9.00000000e+00  6.67553063e-02 -7.00148891e-08 -7.00148889e-08 -9.70842950e-20 
 1.24243442e-04  1.24243442e-04  5.06395022e-01  5.25380335e-01  9.00000000e+00  6.67395414e-02  7.02731833e-08  7.02731831e-08  9.74425255e-20 
 1.29243442e-04  1.29243442e-04  5.04202208e-01  5.41956295e-01  9.00000000e+00  6.67243155e-02 -7.00169145e-08 -7.00169143e-08 -9.70871035e-20 
 1.34243442e-04  1.34243442e-04  5.02020252e-01  5.58466554e-01  9.00000000e+00  6.67087042e-02  7.02752085e-08  7.02752084e-08  9.74453338e-20 
 1.39243442e-04  1.39243442e-04  4.99849102e-01  5.74911464e-01  9.00000000e+00  6.66936311e-02 -7.00189396e-08 -7.00189395e-08 -9.70899116e-20 
 1.44243442e-04  1.44243442e-04  4.97688702e-01  5.91291374e-01  9.00000000e+00  6.66781718e-02  7.02772335e-08  7.02772334e-08  9.74481417e-20 
 1.49243442e-04  1.49243442e-04  4.95539002e-01  6.07606631e-01  9.00000000e+00  6.66632500e-02 -7.00209645e-08 -7.00209643e-08 -9.70927193e-20 
 1.54243442e-04  1.54243442e-04  4.93399946e-01  6.23857601e-01  9.00000000e+00  6.66479411e-02  7.02792575e-08  7.02792573e-08  9.74509481e-20 
 1.59243442e-04  1.59243442e-04  4.91271483e-01  6.40044624e-01  9.00000000e+00  6.66331691e-02 -7.00229895e-08 -7.00229893e-08 -9.70955272e-20 
 1.64243442e-04  1.64243442e-04  4.89153560e-01  6.56168014e-01  9.00000000e+00  6.66180092e-02  7.02812818e-08  7.02812817e-08  9.74537552e-20 
 1.69243442e-04  1.69243442e-04  4.87046125e-01  6.72228113e-01  9.00000000e+00  6.66033855e-02 -7.00250137e-08 -7.00250135e-08 -9.70983340e-20 
 1.74243442e-04  1.74243442e-04  4.84949127e-01  6.88225254e-01  9.00000000e+00  6.65883732e-02  7.02833059e-08  7.02833058e-08  9.74565618e-20 
 1.79243442e-04  1.79243442e-04  4.82862513e-01  7.04159772e-01  9.00000000e+00  6.65738962e-02 -7.00270376e-08 -7.00270375e-08 -9.71011405e-20 
 1.84243442e-04  1.84243442e-04  4.80786233e-01  7.20031998e-01  9.00000000e+00  6.65590300e-02  7.02853297e-08  7.02853295e-08  9.74593680e-20 
 1.85199809e-04  1.85199809e-04  4.82573398e-01  7.23060860e-01  9.00000000e+00  4.63421274e+00  8.50541342e+00  7.08238267e-01  7.79717515e-03 
 1.85405182e-04  1.85405182e-04  4.83447615e-01  7.23710994e-01  9.00000000e+00  4.84526533e+00  8.53478574e+00  7.08335198e-01  7.82645054e-03 
