time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009),v(N010),v(N011),v(N012),v(N013),v(N014),v(N015),v(N016),v(N017),@ddiode7_1[id],@ddiode7_2[id],@ddiode7_3[id],@ddiode7_4[id],@ddiode7_5[id],@ddiode7_6[id],@ddiode7_7[id],@dled12_1[id],@dled12_2[id],@dled12_3[id]
1.65728,0.0,9.0,1.16481634,7.47253762,5.6324503e-08,8.99984189,8.99992095,8.99985244,8.99999991,8.99992618,7.39560011,1.16481032,0.82792439,0.141229878,8.07671053e-08,7.40674936,8.99999986,-6.0063039e-09,-9.66118202e-12,9.65860129e-12,9.66118202e-12,-9.00985244e-12,9.00920378e-12,9.00985244e-12,0.00725437023,6.57942708e-05,6.01413935e-09
1.65828,0.0,9.0,1.16481634,7.47253762,5.63245026e-08,8.99984188,8.99992095,8.99985244,8.99999991,8.99992618,7.39560011,1.16481032,0.82792439,0.141229878,8.07671049e-08,7.40674936,8.99999986,-6.00630391e-09,-9.66118188e-12,9.65971731e-12,9.66118188e-12,-9.00985244e-12,9.00891018e-12,9.00985244e-12,0.00725437023,6.57942708e-05,6.01413945e-09
1.65928,0.0,9.0,1.16481634,7.47253762,5.63245038e-08,8.9998419,8.99992097,8.99985244,8.99999991,8.99992618,7.39560011,1.16481032,0.82792439,0.141229878,8.07671062e-08,7.40674936,8.99999986,-6.0063039e-09,-9.66118227e-12,9.65642175e-12,9.66118227e-12,-9.00985244e-12,9.00918806e-12,9.00985244e-12,0.00725437023,6.57942708e-05,6.01413924e-09
1.66028,0.0,9.0,1.16481634,7.47253762,5.63245027e-08,8.99984188,8.99992095,8.99985245,8.99999991,8.99992619,7.39560011,1.16481032,0.82792439,0.141229878,8.07671051e-08,7.40674936,8.99999986,-6.00630391e-09,-9.66118193e-12,9.65972345e-12,9.66118193e-12,-9.00985245e-12,9.00825264e-12,9.00985245e-12,0.00725437023,6.57942708e-05,6.01413925e-09
1.66128,0.0,9.0,1.16481634,7.47253762,5.63245022e-08,8.99984187,8.99992094,8.99985244,8.99999991,8.99992618,7.39560011,1.16481032,0.82792439,0.141229878,8.07671046e-08,7.40674936,8.99999986,-6.0063039e-09,-9.66118178e-12,9.66008339e-12,9.66118178e-12,-9.00985244e-12,9.00924489e-12,9.00985244e-12,0.00725437023,6.57942708e-05,6.0141393e-09
1.66228,0.0,9.0,1.16481634,7.47253762,5.63245024e-08,8.99984188,8.99992094,8.99985244,8.99999991,8.99992618,7.39560011,1.16481032,0.82792439,0.141229878,8.07671048e-08,7.40674936,8.99999986,-6.00630391e-09,-9.66118185e-12,9.66022506e-12,9.66118185e-12,-9.00985244e-12,9.00872659e-12,9.00985244e-12,0.00725437023,6.57942708e-05,6.01413934e-09
1.66328,0.0,9.0,1.16481634,7.47253762,5.63245016e-08,8.99984186,8.99992093,8.99985245,8.99999991,8.99992619,7.39560011,1.16481032,0.82792439,0.141229878,8.07671039e-08,7.40674936,8.99999986,-6.0063039e-09,-9.66118159e-12,9.66164527e-12,9.66118159e-12,-9.00985245e-12,9.00860157e-12,9.00985245e-12,0.00725437023,6.57942708e-05,6.01413944e-09
1.66428,0.0,9.0,1.16481634,7.47253762,5.63245027e-08,8.99984188,8.99992095,8.99985245,8.99999991,8.99992619,7.39560011,1.16481032,0.82792439,0.141229878,8.0767105e-08,7.40674936,8.99999986,-6.00630392e-09,-9.66118192e-12,9.65934847e-12,9.66118192e-12,-9.00985245e-12,9.00819091e-12,9.00985245e-12,0.00725437023,6.57942708e-05,6.01413927e-09
1.66528,0.0,9.0,1.16481634,7.47253762,5.63245028e-08,8.99984189,8.99992095,8.99985245,8.99999991,8.99992619,7.39560011,1.16481032,0.82792439,0.141229878,8.07671052e-08,7.40674936,8.99999986,-6.0063039e-09,-9.66118197e-12,9.65891341e-12,9.66118197e-12,-9.00985245e-12,9.00871209e-12,9.00985245e-12,0.00725437023,6.57942708e-05,6.0141393e-09
1.66628,0.0,9.0,1.16481634,7.47253762,5.63245029e-08,8.99984189,8.99992095,8.99985244,8.99999991,8.99992618,7.39560011,1.16481032,0.82792439,0.141229878,8.07671052e-08,7.40674936,8.99999986,-6.00630392e-09,-9.66118198e-12,9.65893297e-12,9.66118198e-12,-9.00985244e-12,9.00963413e-12,9.00985244e-12,0.00725437023,6.57942708e-05,6.01413925e-09
1.66728,0.0,9.0,1.16481634,7.47253762,5.63245031e-08,8.99984189,8.99992096,8.99985245,8.99999991,8.99992619,7.39560011,1.16481032,0.82792439,0.141229878,8.07671054e-08,7.40674936,8.99999986,-6.0063039e-09,-9.66118204e-12,9.65835923e-12,9.66118204e-12,-9.00985245e-12,9.00776688e-12,9.00985245e-12,0.00725437023,6.57942708e-05,6.01413928e-09
1.66828,0.0,9.0,1.16481634,7.47253762,5.63245032e-08,8.99984189,8.99992096,8.99985244,8.99999991,8.99992618,7.39560011,1.16481032,0.82792439,0.141229878,8.07671055e-08,7.40674936,8.99999986,-6.00630392e-09,-9.66118206e-12,9.65830435e-12,9.66118206e-12,-9.00985244e-12,9.00945548e-12,9.00985244e-12,0.00725437023,6.57942708e-05,6.01413935e-09
1.66928,0.0,9.0,1.16481634,7.47253762,5.63245029e-08,8.99984189,8.99992095,8.99985244,8.99999991,8.99992618,7.39560011,1.16481032,0.82792439,0.141229878,8.07671053e-08,7.40674936,8.99999986,-6.0063039e-09,-9.661182e-12,9.65872332e-12,9.661182e-12,-9.00985244e-12,9.00851886e-12,9.00985244e-12,0.00725437023,6.57942708e-05,6.01413941e-09
1.67028,0.0,9.0,1.16481634,7.47253762,5.63245024e-08,8.99984188,8.99992094,8.99985244,8.99999991,8.99992618,7.39560011,1.16481032,0.82792439,0.141229878,8.07671048e-08,7.40674936,8.99999986,-6.00630392e-09,-9.66118184e-12,9.66004854e-12,9.66118184e-12,-9.00985244e-12,9.00885113e-12,9.00985244e-12,0.00725437023,6.57942708e-05,6.01413949e-09
1.67128,0.0,9.0,1.16481634,7.47253762,5.63245029e-08,8.99984189,8.99992095,8.99985244,8.99999991,8.99992618,7.39560011,1.16481032,0.82792439,0.141229878,8.07671053e-08,7.40674936,8.99999986,-6.0063039e-09,-9.66118199e-12,9.65860104e-12,9.66118199e-12,-9.00985244e-12,9.00971159e-12,9.00985244e-12,0.00725437023,6.57942708e-05,6.01413933e-09
1.67228,0.0,9.0,1.16481634,7.47253762,5.63245023e-08,8.99984188,8.99992094,8.99985245,8.99999991,8.99992618,7.39560011,1.16481032,0.82792439,0.141229878,8.07671047e-08,7.40674936,8.99999986,-6.00630391e-09,-9.66118182e-12,9.66041069e-12,9.66118182e-12,-9.00985244e-12,9.00867434e-12,9.00985244e-12,0.00725437023,6.57942708e-05,6.01413943e-09
