time,v(N001),v(N002),v(N003),v(N004),v(N005),@dled12_1[id]
0.0683414339,1.52218665,0.0,0.0477553008,0.642765394,0.0246237953,-5.61771558e-14
0.0688414339,1.5102367,0.0,0.0474432028,0.642098746,0.0243078626,-5.58458998e-14
0.0693414339,1.49840235,0.0,0.0471241822,0.641441002,0.0239949178,-5.55070559e-14
0.0698414339,1.48668248,0.0,0.0468185226,0.640778898,0.0236853002,-5.51821725e-14
0.0703414339,1.47507595,0.0,0.0465056437,0.640125755,0.0233786054,-5.4849379e-14
0.0708414339,1.46358164,0.0,0.0462063045,0.63946801,0.0230751817,-5.45307602e-14
0.0713414339,1.45219846,0.0,0.0458994434,0.638819289,0.0227746168,-5.42039021e-14
0.0718414339,1.44092531,0.0,0.0456063093,0.638165718,0.0224772684,-5.38914426e-14
0.0723414339,1.42976109,0.0,0.0453053444,0.637521238,0.0221827159,-5.3570407e-14
0.0728414339,1.41870474,0.0,0.0450183024,0.636871658,0.0218913264,-5.32640039e-14
0.0733414339,1.4077552,0.0,0.0447231144,0.63623124,0.0216026709,-5.294868e-14
0.0738414339,1.39691141,0.0,0.0444420542,0.635585466,0.0213171264,-5.26482327e-14
0.0743414339,1.38617233,0.0,0.0441525259,0.63494893,0.0210342551,-5.23385119e-14
0.0748414339,1.37553692,0.0,0.0438773395,0.634306778,0.020754444,-5.20439225e-14
0.0753414339,1.36500417,0.0,0.0435933559,0.633673945,0.0204772462,-5.1739698e-14
0.0758414339,1.35457305,0.0,0.0433239379,0.633035231,0.020203059,-5.14508707e-14
0.0763414339,1.34424258,0.0,0.0430453859,0.63240592,0.0199314264,-5.11520378e-14
0.0768414339,1.33401175,0.0,0.0427816333,0.631770458,0.0196627561,-5.08688793e-14
0.0773414339,1.32387958,0.0,0.042508402,0.63114449,0.0193965824,-5.0575335e-14
0.0778414339,1.3138451,0.0,0.0422502141,0.630512094,0.019133324,-5.02977543e-14
0.0783414339,1.30390734,0.0,0.0419821945,0.629889288,0.0188725054,-5.00093975e-14
0.0788414339,1.29406535,0.0,0.041729473,0.629259772,0.0186145561,-4.97373057e-14
0.0793414339,1.28431818,0.0,0.041466558,0.628639947,0.0183589905,-4.94540372e-14
0.0798414339,1.2746649,0.0,0.041219207,0.628013122,0.0181062497,-4.91873477e-14
0.0803414339,1.26510457,0.0,0.0409612913,0.627396094,0.0178558373,-4.89090697e-14
0.0808414339,1.25563629,0.0,0.0407192171,0.626771772,0.0176082064,-4.86476982e-14
0.0813414339,1.24625913,0.0,0.0404661974,0.626157359,0.0173628497,-4.83743148e-14
0.0818414339,1.23697221,0.0,0.0402293086,0.625535347,0.0171202321,-4.81181791e-14
0.0823414339,1.22777462,0.0,0.0399810832,0.624923364,0.0168798352,-4.78495957e-14
0.0828414339,1.21866549,0.0,0.0397492907,0.624303471,0.0166421364,-4.75986157e-14
0.0833414339,1.20964393,0.0,0.0395057599,0.62369373,0.0164066057,-4.73347396e-14
0.0838414339,1.20070909,0.0,0.0392789769,0.623075762,0.0161737332,-4.70888374e-14
0.0843414339,1.19186011,0.0,0.0390400423,0.622468075,0.0159429768,-4.68295771e-14
0.0848414339,1.18309612,0.0,0.0388181841,0.621851835,0.0157148401,-4.65886769e-14
0.0853414339,1.17441631,0.0,0.0385837493,0.621246011,0.0154887682,-4.63339424e-14
0.0858414339,1.16581982,0.0,0.0383667335,0.620631298,0.0152652785,-4.60979705e-14
