time,v(N001),v(N002),v(N003),v(N004),v(N005),@dled12_1[id]
0.17104398,2.96628237,0.0,0.0327999622,0.603187566,0.00973039035,-3.9986377e-14
0.17154398,2.94976067,0.0,0.0327325311,0.602938485,0.00966338546,-3.99116012e-14
0.17204398,2.93333328,0.0,0.0326655409,0.602689573,0.0095967682,-3.98372953e-14
0.17254398,2.91699966,0.0,0.0325988831,0.602440891,0.00953053607,-3.97633393e-14
0.17304398,2.90075926,0.0,0.0325326623,0.602192369,0.00946468716,-3.96898495e-14
0.17354398,2.88461155,0.0,0.032466769,0.60194407,0.00939921902,-3.96167045e-14
0.17404398,2.86855601,0.0,0.0324013088,0.601695924,0.00933412976,-3.95440222e-14
0.17454398,2.85259211,0.0,0.0323361712,0.601447993,0.00926941694,-3.94716798e-14
0.17504398,2.83671932,0.0,0.0322714632,0.601200206,0.0092050787,-3.93997965e-14
0.17554398,2.82093713,0.0,0.0322070727,0.600952628,0.00914111264,-3.93282482e-14
0.17604398,2.80524501,0.0,0.0321431082,0.600705186,0.00907751691,-3.92571554e-14
0.17654398,2.78964245,0.0,0.0320794564,0.600457945,0.00901428913,-3.91863928e-14
0.17704398,2.77412894,0.0,0.0320162269,0.600210833,0.00895142749,-3.91160822e-14
0.17754398,2.75870397,0.0,0.0319533054,0.599963914,0.00888892963,-3.9046097e-14
0.17804398,2.74336703,0.0,0.0318908027,0.599717116,0.00882679376,-3.89765604e-14
0.17854398,2.72811762,0.0,0.0318286031,0.599470504,0.00876501753,-3.89073443e-14
0.17904398,2.71295524,0.0,0.0317668188,0.599224004,0.0087035992,-3.88385736e-14
0.17954398,2.6978794,0.0,0.031705333,0.598977684,0.00864253644,-3.87701185e-14
0.18004398,2.68288958,0.0,0.0316442591,0.598731467,0.00858182752,-3.87021055e-14
0.18054398,2.66798532,0.0,0.0315834789,0.598485423,0.00852147013,-3.86344034e-14
0.18104398,2.6531661,0.0,0.0315231072,0.598239475,0.00846146257,-3.85671402e-14
0.18154398,2.63843146,0.0,0.0314630246,0.597993691,0.00840180256,-3.85001831e-14
0.18204398,2.6237809,0.0,0.0314033472,0.597747995,0.00834248843,-3.84336618e-14
0.18254398,2.60921395,0.0,0.0313439543,0.597502457,0.0082835179,-3.83674419e-14
0.18304398,2.59473013,0.0,0.0312849634,0.597256997,0.00822488934,-3.83016545e-14
0.18354398,2.58032895,0.0,0.0312262523,0.597011689,0.00816660048,-3.82361639e-14
0.18404398,2.56600996,0.0,0.03116794,0.596766451,0.00810864972,-3.81711029e-14
0.18454398,2.55177267,0.0,0.031109903,0.596521356,0.00805103482,-3.81063339e-14
0.18504398,2.53761663,0.0,0.0310522617,0.596276324,0.00799375418,-3.80419914e-14
0.18554398,2.52354136,0.0,0.0309948911,0.596031428,0.0079368056,-3.79779364e-14
0.18604398,2.50954641,0.0,0.0309379131,0.595786586,0.0078801875,-3.7914305e-14
0.18654398,2.49563132,0.0,0.0308812013,0.595541872,0.0078238977,-3.78509564e-14
0.18704398,2.48179562,0.0,0.0308248791,0.595297205,0.00776793464,-3.77880285e-14
0.18754398,2.46803887,0.0,0.0307688188,0.595052658,0.00771229616,-3.77253788e-14
0.18804398,2.45436062,0.0,0.030713145,0.594808149,0.00765698073,-3.7663147e-14
0.18854398,2.44076041,0.0,0.0306577286,0.594563753,0.0076019862,-3.76011889e-14
0.18904398,2.4272378,0.0,0.0306026958,0.594319387,0.00754731107,-3.75396458e-14
0.18954398,2.41379234,0.0,0.030547916,0.594075126,0.00749295321,-3.74783718e-14
0.19004398,2.4004236,0.0,0.030493517,0.593830887,0.00743891114,-3.74175102e-14
0.19054398,2.38713113,0.0,0.0304393667,0.593586745,0.00738518275,-3.73569132e-14
0.19104398,2.3739145,0.0,0.0303855942,0.593342616,0.00733176658,-3.72967258e-14
0.19154398,2.36077328,0.0,0.0303320661,0.593098578,0.00727866053,-3.72367986e-14
0.19204398,2.34770703,0.0,0.0302789132,0.592854543,0.00722586318,-3.71772783e-14
0.19254398,2.33471533,0.0,0.0302260003,0.592610591,0.00717337244,-3.71180138e-14
0.19304398,2.32179775,0.0,0.0301734599,0.592366635,0.00712118692,-3.70591535e-14
0.19354398,2.30895386,0.0,0.0301211552,0.592122754,0.00706930454,-3.70005446e-14
0.19404398,2.29618325,0.0,0.0300692203,0.591878859,0.00701772394,-3.69423375e-14
0.19454398,2.28348549,0.0,0.0300175169,0.591635032,0.00696644305,-3.68843773e-14
0.19504398,2.27086017,0.0,0.0299661807,0.591391183,0.00691546052,-3.68268163e-14
0.19554398,2.25830688,0.0,0.0299150718,0.591147394,0.00686477432,-3.67694979e-14
0.19604398,2.24582519,0.0,0.0298643275,0.590903573,0.00681438312,-3.67125762e-14
0.19654398,2.23341471,0.0,0.0298138063,0.590659805,0.00676428489,-3.66558928e-14
0.19704398,2.22107503,0.0,0.0297636472,0.590415996,0.00671447834,-3.65996037e-14
0.19754398,2.20880573,0.0,0.0297137071,0.590172232,0.00666496145,-3.65435485e-14
0.19804398,2.19660642,0.0,0.0296641266,0.589928419,0.00661573294,-3.64878854e-14
0.19854398,2.18447671,0.0,0.0296147609,0.589684642,0.00656679083,-3.64324517e-14
0.19904398,2.17241618,0.0,0.0295657525,0.589440807,0.00651813385,-3.63774078e-14
0.19954398,2.16042444,0.0,0.0295169547,0.589197,0.00646976003,-3.63225891e-14
0.2,2.14954716,0.0,0.0294727653,0.588974457,0.0064258876,-3.62729375e-14
0.20005,2.14849225,0.25,0.153955862,0.711392909,0.130917468,4.95931674e-13
0.20015,2.14665145,0.75,0.402931474,0.955815908,0.379903442,6.72364188e-09
0.20035,2.14460976,1.75,1.11879889,1.63256252,0.988092903,0.000396658134
0.200533905,2.14464275,2.66952698,2.05544161,2.01478215,1.38968911,0.000204657734
0.200732476,2.14665014,3.66238174,3.28283211,2.14879771,1.83118835,2.36034558e-08
0.200866238,2.14912363,4.33119087,3.98769105,2.15075216,2.16558613,5.85714229e-09
0.201,2.15248778,5.0,4.62805088,2.15415233,2.4999978,1.75937595e-08
0.201014334,2.15289589,5.0,4.65929312,2.15326632,2.49999993,5.25766092e-09
0.201043001,2.15371197,5.0,4.69841407,2.15375566,2.50000011,1.15877667e-09
0.201100336,2.15534343,5.0,4.7168828,2.15537663,2.49999995,5.67535932e-10
0.201215006,2.15860353,5.0,4.73319535,2.15859102,2.50000011,3.02170215e-10
0.201415788,2.16430281,5.0,4.75136607,2.16431929,2.49999996,1.49786526e-10
0.201817351,2.1756671,5.0,4.7719524,2.17564258,2.50000011,6.76891503e-11
0.202317351,2.18975354,5.0,4.79004249,2.18976523,2.49999996,3.37250134e-11
0.202817351,2.20376973,5.0,4.80605126,2.20374411,2.50000011,1.82377347e-11
0.203317351,2.21771601,5.0,4.82069965,2.21772679,2.49999996,1.04165911e-11
0.203817351,2.23159273,5.0,4.83433434,2.23156667,2.50000011,6.20448687e-12
0.204317351,2.24540024,5.0,4.84743903,2.24541063,2.49999996,3.78700791e-12
0.204817351,2.25913889,5.0,4.8600714,2.25911273,2.50000011,2.36619278e-12
0.205317351,2.27280901,5.0,4.87250423,2.27281921,2.49999996,1.50031362e-12
0.205817351,2.28641096,5.0,4.8846678,2.28638482,2.50000011,9.69360676e-13
0.206317351,2.29994506,5.0,4.8967548,2.29995514,2.49999996,6.34718296e-13
0.206817351,2.31341166,5.0,4.90864921,2.3133856,2.50000011,4.23219471e-13
0.207317351,2.3268111,5.0,4.92051404,2.3268211,2.49999996,2.85577847e-13
0.207817351,2.34014371,5.0,4.93221641,2.34011773,2.50000011,1.9523386e-13
0.208317351,2.35340982,5.0,4.9439078,2.35341974,2.49999996,1.33557726e-13
0.208817351,2.36660976,5.0,4.95544932,2.36658388,2.50000011,9.05322055e-14
0.209317351,2.37974387,5.0,4.96698715,2.37975372,2.49999996,5.88484337e-14
0.209817351,2.39281248,5.0,4.9783806,2.39278668,2.5000001,3.46873311e-14
0.210317351,2.4058159,5.0,4.98977378,2.40582567,2.49999996,1.50755555e-14
0.210817351,2.41875447,5.0,5.00102546,2.41872877,2.5000001,-1.41416986e-15
0.211317351,2.4316285,5.0,5.01227831,2.4316382,2.49999996,-1.60576492e-14
0.211817351,2.44443833,5.0,5.02339139,2.44441273,2.5000001,-2.93434158e-14
0.212317351,2.45718427,5.0,5.0345065,2.45719389,2.49999996,-4.18725644e-14
0.212817351,2.46986664,5.0,5.04548314,2.46984113,2.5000001,-5.37600866e-14
0.213317351,2.48248575,5.0,5.05646211,2.48249529,2.49999996,-6.53350322e-14
0.213817351,2.49504192,5.0,5.06730358,2.49501651,2.5000001,-7.65624124e-14
0.214317351,2.50753548,5.0,5.0781476,2.50754494,2.49999996,-8.76602166e-14
0.214817351,2.51996671,5.0,5.08885453,2.51994139,2.5000001,-9.85229628e-14
0.215317351,2.53233595,5.0,5.09956346,2.53234533,2.49999996,-1.09327785e-13
0.215817351,2.5446435,5.0,5.11013488,2.54461826,2.5000001,-1.19960768e-13
