time,v(N001),v(N002),v(N003),v(N004),v(N005)
0.0983578513,1.10596971,0.0,0.0295530224,0.589404426,0.0065100117
0.0988578513,1.09930108,0.0,0.0294824989,0.588998977,0.00643107998
0.0993578513,1.09267973,0.0,0.0293942424,0.588604917,0.00635260055
0.0996789256,1.08845261,0.0,0.0293531517,0.588340196,0.00630266452
0.1,1.08424476,0.0,0.0292935342,0.588088666,0.00625280499
0.100034534,1.08386558,0.172670868,0.114586798,0.668837612,0.091565822
0.100103603,1.08325135,0.518012604,0.28522446,0.826918644,0.262236756
0.100241739,1.08286822,1.20869608,0.741064327,1.08301166,0.604545235
0.100454243,1.08426348,2.27121294,1.90490058,1.08499281,1.13560122
0.100631546,1.08715175,3.1577281,2.79383751,1.08748167,1.5788635
0.100802783,1.09142712,4.01391301,3.65005013,1.09210324,2.00695159
0.101,1.09815692,5.0,4.63753551,1.09841239,2.49999983
0.101034247,1.09949275,5.0,4.67826029,1.09954484,2.50000003
0.101102742,1.10216349,5.0,4.72541372,1.10216692,2.50000004
0.101239732,1.10749946,5.0,4.74390778,1.10749937,2.50000003
0.101513711,1.11814951,5.0,4.76394784,1.11814714,2.50000004
0.102013711,1.13751036,5.0,4.78761023,1.13750787,2.50000003
0.102513711,1.15677464,5.0,4.80694435,1.1567715,2.50000004
0.103013711,1.17594284,5.0,4.82580676,1.17594029,2.50000003
0.103513711,1.19501544,5.0,4.84376561,1.19501216,2.50000004
0.104013711,1.21399291,5.0,4.86122456,1.2139903,2.50000003
0.104513711,1.23287573,5.0,4.87836055,1.23287242,2.50000004
0.105013711,1.25166438,5.0,4.89527959,1.25166176,2.50000003
0.105513711,1.27035931,5.0,4.91203448,1.270356,2.50000004
0.106013711,1.288961,5.0,4.92865792,1.28895839,2.50000003
0.106513711,1.30746992,5.0,4.94516305,1.30746662,2.50000004
0.107013711,1.32588652,5.0,4.96156099,1.32588392,2.50000003
0.107513711,1.34421127,5.0,4.97785378,1.34420798,2.50000004
0.108013711,1.36244462,5.0,4.99404716,1.36244203,2.50000003
0.108513711,1.38058704,5.0,5.01014009,1.38058376,2.50000004
0.109013711,1.39863897,5.0,5.02613635,1.39863638,2.50000003
0.109513711,1.41660086,5.0,5.04203397,1.4165976,2.50000004
0.110013711,1.43447317,5.0,5.05783647,1.4344706,2.50000003
0.110513711,1.45225634,5.0,5.07354165,1.45225309,2.50000004
0.111013711,1.46995081,5.0,5.08915281,1.46994825,2.50000003
0.111513711,1.48755704,5.0,5.10466776,1.4875538,2.50000004
0.112013711,1.50507545,5.0,5.12008972,1.5050729,2.50000003
0.112513711,1.52250649,5.0,5.13541644,1.52250326,2.50000004
0.113013711,1.53985059,5.0,5.15065114,1.53984805,2.50000003
0.113513711,1.55710819,5.0,5.16579153,1.55710497,2.50000004
0.114013711,1.57427971,5.0,5.18084094,1.57427718,2.50000003
0.114513711,1.59136559,5.0,5.19579704,1.59136239,2.50000004
0.115013711,1.60836625,5.0,5.21066295,1.60836374,2.50000003
0.115513711,1.62528213,5.0,5.22543671,1.62527893,2.50000004
0.116013711,1.64211363,5.0,5.24012138,1.64211112,2.50000003
0.116513711,1.65886119,5.0,5.2547145,1.65885801,2.50000004
0.117013711,1.67552521,5.0,5.26921951,1.67552272,2.50000003
0.117513711,1.69210613,5.0,5.28363412,1.69210296,2.50000004
0.118013711,1.70860435,5.0,5.29796133,1.70860186,2.50000003
0.118513711,1.72502028,5.0,5.31219906,1.72501712,2.50000004
0.119013711,1.74135434,5.0,5.32635047,1.74135186,2.50000003
0.119513711,1.75760693,5.0,5.34041322,1.75760378,2.50000004
0.120013711,1.77377846,5.0,5.35439038,1.77377599,2.50000003
0.120513711,1.78986933,5.0,5.3682798,1.78986619,2.50000004
0.121013711,1.80587995,5.0,5.38208469,1.80587749,2.50000003
0.121513711,1.82181072,5.0,5.39580279,1.82180759,2.50000004
0.122013711,1.83766203,5.0,5.40943716,1.83765958,2.50000003
0.122513711,1.85343428,5.0,5.42298549,1.85343116,2.50000004
0.123013711,1.86912787,5.0,5.43645103,1.86912543,2.50000003
0.123513711,1.88474319,5.0,5.44983157,1.88474008,2.50000004
0.124013711,1.90028062,5.0,5.46313023,1.90027819,2.50000003
0.124513711,1.91574056,5.0,5.47634468,1.91573746,2.50000004
0.125013711,1.9311234,5.0,5.48947797,1.93112097,2.50000003
0.125513711,1.94642951,5.0,5.50252782,1.94642642,2.50000004
0.126013711,1.96165928,5.0,5.51549747,1.96165687,2.50000003
0.126513711,1.97681309,5.0,5.52838471,1.97681001,2.50000004
0.127013711,1.99189133,5.0,5.54119248,1.99188892,2.50000003
0.127513711,2.00689436,5.0,5.55391849,2.00689128,2.50000004
0.128013711,2.02182256,5.0,5.56656602,2.02182016,2.50000003
0.128513711,2.0366763,5.0,5.57913277,2.03667324,2.50000004
0.129013711,2.05145597,5.0,5.5916217,2.05145358,2.50000003
0.129513711,2.06616192,5.0,5.60403059,2.06615886,2.50000004
0.130013711,2.08079452,5.0,5.61636262,2.08079214,2.50000003
0.130513711,2.09535414,5.0,5.62861549,2.09535109,2.50000004
0.131013711,2.10984115,5.0,5.64079223,2.10983877,2.50000003
0.131513711,2.1242559,5.0,5.65289067,2.12425286,2.50000004
0.132013711,2.13859876,5.0,5.66491393,2.13859639,2.50000003
0.132513711,2.15287008,5.0,5.67685958,2.15286704,2.50000004
0.133013711,2.16707022,5.0,5.68873065,2.16706786,2.50000003
0.133513711,2.18119954,5.0,5.70052495,2.18119651,2.50000004
0.134013711,2.19525839,5.0,5.71224552,2.19525603,2.50000003
0.134513711,2.20924712,5.0,5.72389006,2.2092441,2.50000004
0.135013711,2.22316608,5.0,5.73546157,2.22316373,2.50000003
0.135513711,2.23701562,5.0,5.74695789,2.23701261,2.50000004
0.136013711,2.25079608,5.0,5.75838213,2.25079374,2.50000003
0.136513711,2.26450782,5.0,5.76973199,2.26450481,2.50000004
0.137013711,2.27815117,5.0,5.78101042,2.27814882,2.50000003
0.137513711,2.29172647,5.0,5.79221512,2.29172347,2.50000004
0.138013711,2.30523406,5.0,5.80334908,2.30523172,2.50000003
0.138513711,2.31867428,5.0,5.81441017,2.31867129,2.50000004
0.139013711,2.33204747,5.0,5.82540132,2.33204514,2.50000003
0.139513711,2.34535396,5.0,5.83632028,2.34535097,2.50000004
0.140013711,2.35859409,5.0,5.8471701,2.35859176,2.50000003
0.140513711,2.37176817,5.0,5.85794833,2.37176519,2.50000004
0.141013711,2.38487656,5.0,5.86865814,2.38487423,2.50000003
0.141513711,2.39791956,5.0,5.87929728,2.39791658,2.50000004
0.142013711,2.41089751,5.0,5.88986862,2.41089519,2.50000003
0.142513711,2.42381073,5.0,5.90036997,2.42380776,2.50000004
0.143013711,2.43665955,5.0,5.91080438,2.43665723,2.50000003
0.143513711,2.44944429,5.0,5.92116939,2.44944132,2.50000004
0.144013711,2.46216526,5.0,5.93146796,2.46216294,2.50000003
0.144513711,2.47482278,5.0,5.94169787,2.47481981,2.50000004
0.145013711,2.48741718,5.0,5.95186188,2.48741486,2.50000003
0.145513711,2.49994875,5.0,5.96195752,2.49994579,2.50000004
0.146013711,2.51241783,5.0,5.97198745,2.51241552,2.50000003
0.146513711,2.52482472,5.0,5.98194897,2.52482176,2.50000004
0.147013711,2.53716973,5.0,5.99184434,2.53716742,2.50000003
0.147513711,2.54945316,5.0,6.00167021,2.5494502,2.50000004
0.148013711,2.56167534,5.0,6.01142758,2.56167302,2.50000003
0.148513711,2.57383655,5.0,6.02111116,2.57383359,2.50000004
0.149013711,2.58593711,5.0,6.03071918,2.5859348,2.50000003
0.149513711,2.59797732,5.0,6.04024194,2.59797435,2.50000004
0.150013711,2.60995748,5.0,6.04967059,2.60995515,2.50000003
0.150513711,2.62187788,5.0,6.05898454,2.6218749,2.50000004
0.151,2.63341437,5.0,6.06790807,2.63341203,2.50000003
0.151015186,2.63376216,4.92407145,6.07056703,2.63351942,2.46203878
0.151045557,2.63443456,4.77221435,6.07353583,2.63416089,2.38611062
0.1511063,2.63564031,4.46850016,5.57726191,2.63451657,2.23426424
0.15118913,2.63698361,4.05434916,3.48046248,2.62318852,2.03894417
0.151237936,2.63760923,3.8103181,3.19463216,2.59275719,1.96556966
0.151284676,2.63808895,3.57661754,2.94321122,2.55293314,1.90777556
0.151346543,2.63854316,3.26728578,2.61947891,2.50391921,1.84404911
0.151470276,2.63883328,2.64862227,1.9841954,2.39669845,1.71960304
0.151717741,2.63650019,1.41129525,0.807313874,1.38965256,0.760106977
0.15185887,2.63335657,0.705647623,0.396990062,0.987384004,0.373567596
0.152,2.62898781,0.0,0.0481521284,0.643597081,0.0250208778
0.152020382,2.62827004,0.0,0.0481474093,0.643570933,0.0250121616
0.152061147,2.6268349,0.0,0.0481298503,0.643534254,0.0249945376
0.152142676,2.62396716,0.0,0.0480943889,0.643461191,0.0249593176
0.152305735,2.61824176,0.0,0.0480239561,0.643314962,0.0248890061
0.152631853,2.60683114,0.0,0.0478832283,0.643023324,0.0247488792
0.153131853,2.58944009,0.0,0.0476690639,0.642577152,0.0245353314
0.153631853,2.57217367,0.0,0.0474562206,0.642131906,0.0243233427
0.154131853,2.55503099,0.0,0.0472451662,0.64168778,0.0241128993
0.154631853,2.53801117,0.0,0.047035401,0.641245094,0.0239039859
0.155131853,2.5211133,0.0,0.0468274063,0.640803503,0.0236965959
0.155631853,2.50433653,0.0,0.0466206753,0.640363325,0.0234907139
0.156131853,2.48767996,0.0,0.0464156965,0.639924211,0.0232863336
0.156631853,2.47114275,0.0,0.0462119563,0.639486485,0.0230834399
0.157131853,2.45472402,0.0,0.0460099506,0.63904979,0.0228820264
0.157631853,2.43842293,0.0,0.0458091585,0.638614458,0.0226820782
0.158131853,2.42223863,0.0,0.0456100835,0.638180127,0.0224835893
0.158631853,2.40617027,0.0,0.0454121972,0.637747133,0.0222865447
0.159131853,2.39021703,0.0,0.0452160111,0.63731511,0.0220909386
