 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         @ddiode7_1[id] 
 1.01280000e-04  1.01280000e-04 -5.21621939e-26 -9.00000000e+00  3.15421057e-17  3.15421057e-17 -9.08868537e-17  3.15421196e-17  3.15421054e-17  3.15421051e-17  1.26413990e-28 
 1.02280000e-04  1.02280000e-04 -5.55090374e-26 -9.00000000e+00  3.15421057e-17  3.15421057e-17 -9.08868537e-17  3.15421196e-17  3.15421054e-17  3.15421051e-17  1.26413990e-28 
 1.03280000e-04  1.03280000e-04  1.02624863e-25 -9.00000000e+00  3.15419629e-17  3.15419629e-17 -9.08869965e-17  3.15419768e-17  3.15419626e-17  3.15419623e-17  1.26414133e-28 
 1.04280000e-04  1.04280000e-04 -3.77863445e-26 -9.00000000e+00  3.15419628e-17  3.15419628e-17 -9.08869965e-17  3.15419768e-17  3.15419626e-17  3.15419623e-17  1.26414133e-28 
 1.05280000e-04  1.05280000e-04 -6.82735485e-26 -9.00000000e+00  3.15421056e-17  3.15421056e-17 -9.08868537e-17  3.15421196e-17  3.15421054e-17  3.15421051e-17  1.26413990e-28 
 1.06280000e-04  1.06280000e-04  9.98531867e-26 -9.00000000e+00  3.15419629e-17  3.15419629e-17 -9.08869965e-17  3.15419768e-17  3.15419626e-17  3.15419623e-17  1.26414133e-28 
 1.07280000e-04  1.07280000e-04 -2.25021477e-26 -9.00000000e+00  3.15419628e-17  3.15419628e-17 -9.08869965e-17  3.15419768e-17  3.15419625e-17  3.15419622e-17  1.26414133e-28 
 1.08280000e-04  1.08280000e-04 -7.93965246e-26 -9.00000000e+00  3.15422484e-17  3.15422484e-17 -9.08867109e-17  3.15422624e-17  3.15422481e-17  3.15422478e-17  1.26413848e-28 
 1.09280000e-04  1.09280000e-04  9.46807662e-26 -9.00000000e+00  3.15419629e-17  3.15419629e-17 -9.08869965e-17  3.15419768e-17  3.15419626e-17  3.15419623e-17  1.26414133e-28 
 1.10280000e-04  1.10280000e-04 -6.67704330e-27 -9.00000000e+00  3.15419628e-17  3.15419628e-17 -9.08869965e-17  3.15419768e-17  3.15419625e-17  3.15419622e-17  1.26414133e-28 
 1.11280000e-04  1.11280000e-04 -8.86106146e-26 -9.00000000e+00  3.15421056e-17  3.15421056e-17 -9.08868537e-17  3.15421195e-17  3.15421053e-17  3.15421050e-17  1.26413990e-28 
 1.12280000e-04  1.12280000e-04  8.72321994e-26 -9.00000000e+00  3.15421056e-17  3.15421056e-17 -9.08868537e-17  3.15421196e-17  3.15421054e-17  3.15421050e-17  1.26413991e-28 
 1.13280000e-04  1.13280000e-04  9.30852308e-27 -9.00000000e+00  3.15419628e-17  3.15419628e-17 -9.08869965e-17  3.15419767e-17  3.15419625e-17  3.15419622e-17  1.26414133e-28 
 1.14280000e-04  1.14280000e-04 -9.56944729e-26 -9.00000000e+00  3.15421056e-17  3.15421056e-17 -9.08868537e-17  3.15421195e-17  3.15421053e-17  3.15421050e-17  1.26413990e-28 
 1.15280000e-04  1.15280000e-04  7.76864523e-26 -9.00000000e+00  3.15419628e-17  3.15419628e-17 -9.08869965e-17  3.15419767e-17  3.15419625e-17  3.15419622e-17  1.26414133e-28 
 1.16280000e-04  1.16280000e-04  2.50704254e-26 -9.00000000e+00  3.15421056e-17  3.15421056e-17 -9.08868537e-17  3.15421195e-17  3.15421053e-17  3.15421050e-17  1.26413991e-28 
 1.17280000e-04  1.17280000e-04 -1.00477676e-25 -9.00000000e+00  3.15421056e-17  3.15421056e-17 -9.08868538e-17  3.15421195e-17  3.15421053e-17  3.15421050e-17  1.26413990e-28 
 1.18280000e-04  1.18280000e-04  6.62728243e-26 -9.00000000e+00  3.15419628e-17  3.15419628e-17 -9.08869965e-17  3.15419767e-17  3.15419625e-17  3.15419622e-17  1.26414133e-28 
 1.19280000e-04  1.19280000e-04  4.02296019e-26 -9.00000000e+00  3.15419628e-17  3.15419628e-17 -9.08869965e-17  3.15419767e-17  3.15419625e-17  3.15419622e-17  1.26414133e-28 
 1.20280000e-04  1.20280000e-04 -1.02845026e-25 -9.00000000e+00  3.15422484e-17  3.15422484e-17 -9.08867109e-17  3.15422623e-17  3.15422481e-17  3.15422477e-17  1.26413848e-28 
 1.21280000e-04  1.21280000e-04  5.32659077e-26 -9.00000000e+00  3.15421056e-17  3.15421056e-17 -9.08868537e-17  3.15421195e-17  3.15421053e-17  3.15421050e-17  1.26413991e-28 
 1.22280000e-04  1.22280000e-04  5.44213089e-26 -9.00000000e+00  3.15419628e-17  3.15419628e-17 -9.08869965e-17  3.15419767e-17  3.15419625e-17  3.15419621e-17  1.26414133e-28 
 1.23280000e-04  1.23280000e-04 -1.02739713e-25 -9.00000000e+00  3.15422483e-17  3.15422483e-17 -9.08867109e-17  3.15422623e-17  3.15422481e-17  3.15422477e-17  1.26413848e-28 
 1.24280000e-04  1.24280000e-04  3.89784817e-26 -9.00000000e+00  3.15421056e-17  3.15421056e-17 -9.08868537e-17  3.15421195e-17  3.15421053e-17  3.15421049e-17  1.26413991e-28 
