 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N009)         v(N010)         @ddiode7_1[id] 
 3.62800000e-05  3.62800000e-05 -1.86485341e-25  9.00000000e+00  7.12076701e-12 -2.16493490e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  7.25127130e-12  5.85087534e-13  3.00204306e-27 
 3.72800000e-05  3.72800000e-05  2.30321552e-25  9.00000000e+00  8.86153546e-12 -2.10942375e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  8.99658017e-12  7.26751992e-13  2.92432745e-27 
 3.82800000e-05  3.82800000e-05  4.98039372e-26  9.00000000e+00  6.92391324e-12 -1.99840144e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  7.06344246e-12  5.69544412e-13  2.77111667e-27 
 3.92800000e-05  3.92800000e-05 -1.93725510e-25  9.00000000e+00  7.96799387e-12 -1.88737914e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  8.11175374e-12  6.54587495e-13  2.61790589e-27 
 4.02800000e-05  4.02800000e-05  2.00413877e-25  9.00000000e+00  7.25478981e-12 -1.83186799e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  7.40287433e-12  5.96855898e-13  2.54019028e-27 
 4.12800000e-05  4.12800000e-05 -3.57127211e-26  9.00000000e+00  5.83961368e-12 -1.94289029e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  5.99141820e-12  4.82058837e-13  2.69340106e-27 
 4.22800000e-05  4.22800000e-05 -2.50671643e-25  9.00000000e+00  6.87314385e-12 -1.99840144e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  7.02855995e-12  5.66213743e-13  2.77111667e-27 
 4.32800000e-05  4.32800000e-05  2.96926386e-25  9.00000000e+00  5.46083351e-12 -1.99840144e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  5.61975358e-12  4.51638726e-13  2.77111667e-27 
 4.42800000e-05  4.42800000e-05 -8.52984699e-26  9.00000000e+00  7.20218226e-12 -2.10942375e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  7.36469978e-12  5.93303184e-13  2.92432745e-27 
 4.52800000e-05  4.52800000e-05 -2.92450697e-25  9.00000000e+00  8.77078237e-12 -2.10942375e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  8.93783766e-12  7.20978832e-13  2.92432745e-27 
 4.62800000e-05  4.62800000e-05  4.52901414e-25  9.00000000e+00  6.83319188e-12 -1.99840144e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  7.00468012e-12  5.63771252e-13  2.77111667e-27 
 4.72800000e-05  4.72800000e-05 -6.45521106e-26  9.00000000e+00  7.87730422e-12 -1.88737914e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  8.05297158e-12  6.48814336e-13  2.61790589e-27 
 4.82800000e-05  4.82800000e-05 -3.36737160e-25  9.00000000e+00  7.16413186e-12 -1.83186799e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  7.34407235e-12  5.91082738e-13  2.54019028e-27 
 4.92800000e-05  4.92800000e-05  4.42027212e-25  9.00000000e+00  8.20812851e-12 -1.83186799e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  8.39243612e-12  6.76125822e-13  2.54019028e-27 
 5.02800000e-05  5.02800000e-05 -9.25927086e-26  9.00000000e+00  6.97022373e-12 -1.83186799e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  7.15884338e-12  5.75761661e-13  2.54019028e-27 
 5.12800000e-05  5.12800000e-05 -3.89585581e-25  9.00000000e+00  5.55514708e-12 -1.94289029e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  5.74732507e-12  4.60964600e-13  2.69340106e-27 
 5.22800000e-05  5.22800000e-05  4.01924439e-25  9.00000000e+00  6.76364895e-12 -1.99840144e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  6.95932660e-12  5.59330360e-13  2.77111667e-27 
 5.32800000e-05  5.32800000e-05 -3.83613973e-26  9.00000000e+00  5.35410928e-12 -1.99840144e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  5.55322947e-12  4.44977388e-13  2.77111667e-27 
 5.42800000e-05  5.42800000e-05 -3.50193303e-25  9.00000000e+00  9.54370690e-12 -1.99840144e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  9.74705943e-12  7.85593812e-13  2.77111667e-27 
 5.52800000e-05  5.52800000e-05  3.81685657e-25  9.00000000e+00  6.03199591e-12 -2.05391260e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  6.23977335e-12  5.00488540e-13  2.84883228e-27 
 5.62800000e-05  5.62800000e-05 -9.52181996e-26  9.00000000e+00  6.71571431e-12 -2.16493490e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  6.92711326e-12  5.56221735e-13  3.00204306e-27 
 5.72800000e-05  5.72800000e-05 -3.54609174e-25  9.00000000e+00  6.17508791e-12 -2.16493490e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  6.39014902e-12  5.12478948e-13  3.00204306e-27 
 5.82800000e-05  5.82800000e-05  4.17581918e-25  9.00000000e+00  6.85875629e-12 -2.16493490e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  7.07752020e-12  5.68212144e-13  3.00204306e-27 
 5.92800000e-05  5.92800000e-05 -8.00333188e-26  9.00000000e+00  8.94936085e-12 -2.16493490e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  9.17261570e-12  7.38298311e-13  3.00204306e-27 
 6.02800000e-05  6.02800000e-05 -3.28783296e-25  9.00000000e+00  7.01170792e-12 -2.16493490e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  7.23949717e-12  5.81090731e-13  3.00204306e-27 
 6.12800000e-05  6.12800000e-05  4.37940713e-25  9.00000000e+00  8.58037463e-12 -2.10942375e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  8.81259344e-12  7.08766379e-13  2.92432745e-27 
 6.22800000e-05  6.22800000e-05 -2.32381766e-26  9.00000000e+00  6.64285070e-12 -1.99840144e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  6.87939429e-12  5.51558799e-13  2.77111667e-27 
 6.32800000e-05  6.32800000e-05 -2.90708251e-25  9.00000000e+00  7.68702958e-12 -1.88737914e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  7.92764416e-12  6.36601882e-13  2.61790589e-27 
 6.42800000e-05  6.42800000e-05  3.51123704e-25  9.00000000e+00  6.97392374e-12 -1.83186799e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  7.21870336e-12  5.78870285e-13  2.54019028e-27 
 6.52800000e-05  6.52800000e-05 -1.13143716e-25  9.00000000e+00  5.55884579e-12 -1.94289029e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  5.80718586e-12  4.64073224e-13  2.69340106e-27 
 6.62800000e-05  6.62800000e-05 -2.78144495e-25  9.00000000e+00  6.24272961e-12 -1.99840144e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  6.49442240e-12  5.19806420e-13  2.77111667e-27 
 6.72800000e-05  6.72800000e-05  3.78296251e-25  9.00000000e+00  5.53012868e-12 -1.99840144e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  5.78516603e-12  4.62074823e-13  2.77111667e-27 
 6.82800000e-05  6.82800000e-05 -9.34768060e-26  9.00000000e+00  8.84803588e-12 -1.94289029e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  9.10715793e-12  7.31859018e-13  2.69340106e-27 
 6.92800000e-05  6.92800000e-05 -2.20993879e-25  9.00000000e+00  5.16442820e-12 -1.88737914e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  5.42753107e-12  4.32764935e-13  2.61790589e-27 
 7.02800000e-05  7.02800000e-05  3.48933673e-25  9.00000000e+00  9.00434763e-12 -1.88737914e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  9.27147572e-12  7.44959650e-13  2.61790589e-27 
 7.12800000e-05  7.12800000e-05 -2.12901016e-25  9.00000000e+00  5.84256970e-12 -1.99840144e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  6.11391566e-12  4.88276086e-13  2.77111667e-27 
 7.22800000e-05  7.22800000e-05 -2.26891653e-25  9.00000000e+00  6.52635432e-12 -2.10942375e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  6.80121419e-12  5.44009282e-13  2.92432745e-27 
 7.32800000e-05  7.32800000e-05  4.19218793e-25  9.00000000e+00  6.16066637e-12 -2.10942375e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  6.43913051e-12  5.14477350e-13  2.92432745e-27 
 7.42800000e-05  7.42800000e-05 -2.15384284e-25  9.00000000e+00  8.77613174e-12 -2.10942375e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  9.05883928e-12  7.27196081e-13  2.92432745e-27 
 7.52800000e-05  7.52800000e-05 -2.25615811e-25  9.00000000e+00  6.48879487e-12 -2.10942375e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  6.77583904e-12  5.41566791e-13  2.92432745e-27 
 7.62800000e-05  7.62800000e-05  5.19445781e-25  9.00000000e+00  8.05764437e-12 -1.99840144e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  8.34882105e-12  6.69242439e-13  2.77111667e-27 
 7.72800000e-05  7.72800000e-05 -1.99623451e-25  9.00000000e+00  5.59568642e-12 -1.88737914e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  5.89074188e-12  4.69402295e-13  2.61790589e-27 
 7.82800000e-05  7.82800000e-05 -2.00085844e-25  9.00000000e+00  7.86433716e-12 -1.77635684e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  8.16321650e-12  6.53921362e-13  2.46247467e-27 
 7.92800000e-05  7.92800000e-05  5.06329113e-25  9.00000000e+00  5.92706355e-12 -1.72084569e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  6.22986090e-12  4.96713781e-13  2.38697950e-27 
 8.02800000e-05  8.02800000e-05 -3.27394410e-25  9.00000000e+00  5.21184060e-12 -1.72084569e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  5.51780241e-12  4.38760139e-13  2.38697950e-27 
 8.12800000e-05  8.12800000e-05 -2.01695264e-25  9.00000000e+00  5.54610121e-12 -1.72084569e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  5.85511926e-12  4.66071626e-13  2.38697950e-27 
 8.22800000e-05  8.22800000e-05  5.07155994e-25  9.00000000e+00  5.53323284e-12 -1.77635684e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  5.84539842e-12  4.65183447e-13  2.46247467e-27 
 8.32800000e-05  8.32800000e-05 -2.94191746e-25  9.00000000e+00  8.67626670e-12 -1.66533454e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  8.99246907e-12  7.20756788e-13  2.30926389e-27 
 8.42800000e-05  8.42800000e-05 -8.42439952e-26  9.00000000e+00  5.33973120e-12 -1.55431223e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  5.65991539e-12  4.49862370e-13  2.15605311e-27 
 8.52800000e-05  8.52800000e-05  4.13184932e-25  9.00000000e+00  5.32420259e-12 -1.60982339e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  5.64741631e-12  4.48752147e-13  2.23154828e-27 
 8.62800000e-05  8.62800000e-05 -4.47676699e-25  9.00000000e+00  5.13380716e-12 -1.77635684e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  5.45999190e-12  4.33431069e-13  2.46247467e-27 
 8.72800000e-05  8.72800000e-05 -7.26421986e-26  9.00000000e+00  5.99271182e-12 -1.94289029e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  6.32205750e-12  5.03375119e-13  2.69340106e-27 
 8.82800000e-05  8.82800000e-05  4.40851709e-25  9.00000000e+00  5.45233817e-12 -1.94289029e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  5.78493529e-12  4.59632332e-13  2.69340106e-27 
 8.92800000e-05  8.92800000e-05 -3.94636218e-25  9.00000000e+00  7.89317891e-12 -1.88737914e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  8.22956736e-12  6.58140209e-13  2.61790589e-27 
 9.02800000e-05  9.02800000e-05  9.89393846e-28  9.00000000e+00  5.95589521e-12 -1.88737914e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  6.29621807e-12  5.00932629e-13  2.61790589e-27 
 9.12800000e-05  9.12800000e-05  3.35766622e-25  9.00000000e+00  8.39929229e-12 -1.99840144e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  8.74369332e-12  6.99662550e-13  2.77111667e-27 
