time,v(N001),v(N002),v(N004)
0.027628,3.39054181,2.59264181e-175,2.59264181e-175
0.027728,3.27344022,7.22890778e-176,7.22890778e-176
0.027828,3.15310814,2.01559304e-176,2.01559304e-176
0.027928,3.02966432,5.61995728e-177,5.61995728e-177
0.028028,2.90323059,1.56697901e-177,1.56697901e-177
0.028128,2.77393172,4.36911368e-178,4.36911368e-178
0.028228,2.64189532,1.21821378e-178,1.21821378e-178
0.028328,2.50725168,3.39667249e-179,3.39667249e-179
0.028428,2.37013369,9.47073837e-180,9.47073837e-180
0.028528,2.23067667,2.64066923e-180,2.64066923e-180
0.028628,2.08901823,7.36281976e-181,7.36281976e-181
0.028728,1.94529819,2.05293091e-181,2.05293091e-181
0.028828,1.79965837,5.72406424e-182,5.72406424e-182
0.028928,1.65224251,1.59600653e-182,1.59600653e-182
0.029028,1.50319608,4.45004937e-183,4.45004937e-183
0.029128,1.35266618,1.2407806e-183,1.2407806e-183
0.029228,1.20080137,3.45959419e-184,3.45959419e-184
0.029328,1.0477515,9.64617916e-185,9.64617916e-185
0.029428,0.893667633,2.68958633e-185,2.68958633e-185
0.029528,0.738701822,7.49921239e-186,7.49921239e-186
0.029628,0.583007002,2.09096045e-186,2.09096045e-186
0.029728,0.426736825,5.83009972e-187,5.83009972e-187
0.029828,0.270045509,1.62557177e-187,1.62557177e-187
0.029928,0.113087692,4.53248435e-188,4.53248435e-188
0.030028,-0.0439817299,1.26376545e-188,1.26376545e-188
0.030128,-0.201007747,3.52368148e-189,3.52368148e-189
0.030228,-0.357835393,9.8248699e-190,9.8248699e-190
0.030328,-0.514309899,2.7394096e-190,2.7394096e-190
0.030428,-0.670276844,7.63813163e-191,7.63813163e-191
0.030528,-0.825582306,2.12969447e-191,2.12969447e-191
0.030628,-0.980073018,5.93809947e-192,5.93809947e-192
0.030728,-1.13359652,1.65568469e-192,1.65568469e-192
0.030828,-1.28600129,4.6164464e-193,4.6164464e-193
0.030928,-1.43713694,1.28717609e-193,1.28717609e-193
0.031028,-1.58685431,3.58895595e-194,3.58895595e-194
0.031128,-1.73500564,1.00068708e-194,1.00068708e-194
0.031228,-1.88144473,2.79015582e-195,2.79015582e-195
0.031328,-2.02602706,7.77962427e-196,7.77962427e-196
0.031428,-2.16860995,2.16914602e-196,2.16914602e-196
0.031528,-2.30905269,6.04809985e-197,6.04809985e-197
0.031628,-2.44721666,1.68635544e-197,1.68635544e-197
0.031728,-2.58296553,4.70196381e-198,4.70196381e-198
0.031828,-2.71616533,1.31102039e-198,1.31102039e-198
0.031928,-2.84668459,3.6554396e-199,3.6554396e-199
0.032028,-2.97439453,1.01922432e-199,1.01922432e-199
0.032128,-3.09916909,2.84184209e-200,2.84184209e-200
0.032228,-3.22088515,7.923738e-201,7.923738e-201
0.032328,-3.33942258,2.20932838e-201,2.20932838e-201
0.032428,-3.45466441,6.16013794e-202,6.16013794e-202
0.032528,-3.5664969,1.71759435e-202,1.71759435e-202
0.032628,-3.67480969,4.78906539e-203,4.78906539e-203
0.032728,-3.77949588,1.3353064e-203,1.3353064e-203
0.032828,-3.88045217,3.72315483e-204,3.72315483e-204
0.032928,-3.97757892,1.03810495e-204,1.03810495e-204
0.033028,-4.07078029,2.89448582e-205,2.89448582e-205
0.033128,-4.15996428,8.07052137e-206,8.07052137e-206
0.033228,-4.24504289,2.25025511e-206,2.25025511e-206
0.033328,-4.32593215,6.27425148e-207,6.27425148e-207
0.033428,-4.40255224,1.74941194e-207,1.74941194e-207
0.033528,-4.47482755,4.87778048e-208,4.87778048e-208
0.033628,-4.54268674,1.3600423e-208,1.3600423e-208
0.033728,-4.60606285,3.79212445e-209,3.79212445e-209
0.033828,-4.66489333,1.05733534e-209,1.05733534e-209
0.033928,-4.71912012,2.94810476e-210,2.94810476e-210
0.034028,-4.76868971,8.22002382e-211,8.22002382e-211
0.034128,-4.81355318,2.29193998e-211,2.29193998e-211
0.034228,-4.85366625,6.39047891e-212,6.39047891e-212
0.034328,-4.88898934,1.78181894e-212,1.78181894e-212
0.034428,-4.91948759,4.96813898e-213,4.96813898e-213
0.034528,-4.9451309,1.38523642e-213,1.38523642e-213
0.034628,-4.96589396,3.8623717e-214,3.8623717e-214
0.034728,-4.98175628,1.07692195e-214,1.07692195e-214
0.034828,-4.99270222,3.00271695e-215,3.00271695e-215
0.034928,-4.99872095,8.37229574e-216,8.37229574e-216
0.035028,-4.99980656,2.33439705e-216,2.33439705e-216
0.035128,-4.99595795,6.50885941e-217,6.50885941e-217
0.035228,-4.98717895,1.81482626e-217,1.81482626e-217
0.035328,-4.97347819,5.06017132e-218,5.06017132e-218
0.035428,-4.95486922,1.41089725e-218,1.41089725e-218
0.035528,-4.93137038,3.93392024e-219,3.93392024e-219
0.035628,-4.90300488,1.09687141e-219,1.09687141e-219
0.035728,-4.86980071,3.05834081e-220,3.05834081e-220
0.035828,-4.83179063,8.52738842e-221,8.52738842e-221
0.035928,-4.78901215,2.37764061e-221,2.37764061e-221
0.036028,-4.7415075,6.62943284e-222,6.62943284e-222
0.036128,-4.68932356,1.84844503e-222,1.84844503e-222
0.036228,-4.63251182,5.15390851e-223,5.15390851e-223
0.036328,-4.57112834,1.43703343e-223,1.43703343e-223
0.036428,-4.50523372,4.00679419e-224,4.00679419e-224
0.036528,-4.43489297,1.11719041e-224,1.11719041e-224
0.036628,-4.36017552,3.11499508e-225,3.11499508e-225
0.036728,-4.28115511,8.68535411e-226,8.68535411e-226
0.036828,-4.19790971,2.42168524e-226,2.42168524e-226
0.036928,-4.11052148,6.75223984e-227,6.75223984e-227
0.037028,-4.01907666,1.88268657e-227,1.88268657e-227
0.037128,-3.9236655,5.24938214e-228,5.24938214e-228
0.037228,-3.82438215,1.46365377e-228,1.46365377e-228
0.037328,-3.7213246,4.08101809e-229,4.08101809e-229
0.037428,-3.61459456,1.13788582e-229,1.13788582e-229
0.037528,-3.50429734,3.17269884e-230,3.17269884e-230
0.037628,-3.39054181,8.84624604e-231,8.84624604e-231
0.037728,-3.27344022,2.46654577e-231,2.46654577e-231
0.037828,-3.15310814,6.87732177e-232,6.87732177e-232
0.037928,-3.02966432,1.91756242e-232,1.91756242e-232
0.038028,-2.90323059,5.34662438e-233,5.34662438e-233
0.038128,-2.77393172,1.49076724e-233,1.49076724e-233
0.038228,-2.64189532,4.15661695e-234,4.15661695e-234
0.038328,-2.50725168,1.1589646e-234,1.1589646e-234
0.038428,-2.37013369,3.23147153e-235,3.23147153e-235
0.038528,-2.23067667,9.01011842e-236,9.01011842e-236
0.038628,-2.08901823,2.51223733e-236,2.51223733e-236
0.038728,-1.94529819,7.00472079e-237,7.00472079e-237
0.038828,-1.79965837,1.95308432e-237,1.95308432e-237
0.038928,-1.65224251,5.44566798e-238,5.44566798e-238
0.039028,-1.50319608,1.51838297e-238,1.51838297e-238
0.039128,-1.35266618,4.23361624e-239,4.23361624e-239
0.039228,-1.20080137,1.18043385e-239,1.18043385e-239
0.039328,-1.0477515,3.29133296e-240,3.29133296e-240
0.039428,-0.893667633,9.17702645e-241,9.17702645e-241
0.039528,-0.738701822,2.55877529e-241,2.55877529e-241
0.039628,-0.583007002,7.13447981e-242,7.13447981e-242
0.039728,-0.426736825,1.98926425e-242,1.98926425e-242
0.039828,-0.270045509,5.54654631e-243,5.54654631e-243
0.039914,-0.13507205,1.54651027e-243,1.54651027e-243
0.04,-2.4492936e-15,4.31204191e-244,4.31204191e-244
