time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),@dled12_1[id]
0.0542506673,4.94935136,5.56545897,9.0,0.0981162672,1.17297962e-06,1.17297962e-06,1.62649208e-18
0.0542556673,4.92515534,5.56555231,9.0,0.0979468589,-1.17272302e-06,-1.17272301e-06,-1.6261157e-18
0.0542606673,4.90107915,5.56564563,9.0,0.0977747108,1.17298106e-06,1.17298106e-06,1.62649408e-18
0.0542656673,4.87712219,5.56573893,9.0,0.0976070012,-1.17272446e-06,-1.17272446e-06,-1.6261177e-18
0.0542706673,4.85328388,5.56583221,9.0,0.0974365431,1.1729825e-06,1.1729825e-06,1.62649608e-18
0.0542756673,4.82956362,5.56592546,9.0,0.0972705152,-1.1727259e-06,-1.1727259e-06,-1.6261197e-18
0.0542806673,4.80596083,5.5660187,9.0,0.0971017302,1.17298394e-06,1.17298394e-06,1.62649808e-18
0.0542856673,4.78247493,5.56611192,9.0,0.0969373672,-1.17272734e-06,-1.17272734e-06,-1.6261217e-18
0.0542906673,4.75910534,5.56620511,9.0,0.0967702387,1.17298539e-06,1.17298538e-06,1.62650007e-18
0.0542956673,4.73585148,5.56629829,9.0,0.0966075241,-1.17272878e-06,-1.17272878e-06,-1.6261237e-18
0.0543006673,4.71271278,5.56639144,9.0,0.0964420356,1.17298683e-06,1.17298682e-06,1.62650207e-18
0.0543056673,4.68968867,5.56648457,9.0,0.0962809529,-1.17273022e-06,-1.17273022e-06,-1.6261257e-18
0.0543106673,4.66677859,5.56657769,9.0,0.096117088,1.17298827e-06,1.17298826e-06,1.62650407e-18
0.0543156673,4.64398196,5.56667078,9.0,0.095957621,-1.17273166e-06,-1.17273166e-06,-1.62612769e-18
0.0543206673,4.62129823,5.56676385,9.0,0.0957953636,1.17298971e-06,1.1729897e-06,1.62650607e-18
0.0543256673,4.59872684,5.5668569,9.0,0.0956374962,-1.1727331e-06,-1.1727331e-06,-1.62612969e-18
0.0543306673,4.57626723,5.56694993,9.0,0.0954768302,1.17299115e-06,1.17299114e-06,1.62650806e-18
0.0543356673,4.55391884,5.56704294,9.0,0.0953205466,-1.17273454e-06,-1.17273454e-06,-1.62613169e-18
0.0543406673,4.53168113,5.56713593,9.0,0.0951614562,1.17299259e-06,1.17299258e-06,1.62651006e-18
0.0543456673,4.50955355,5.56722889,9.0,0.0950067404,-1.17273598e-06,-1.17273598e-06,-1.62613368e-18
0.0543506673,4.48753555,5.56732184,9.0,0.09484921,1.17299402e-06,1.17299402e-06,1.62651205e-18
0.0543556673,4.4656266,5.56741477,9.0,0.0946960466,-1.17273742e-06,-1.17273742e-06,-1.62613568e-18
0.0543606673,4.44382614,5.56750767,9.0,0.0945400605,1.17299546e-06,1.17299546e-06,1.62651405e-18
0.0543656673,4.42213365,5.56760056,9.0,0.0943884339,-1.17273886e-06,-1.17273886e-06,-1.62613767e-18
0.0543706673,4.40054858,5.56769342,9.0,0.0942339769,1.1729969e-06,1.1729969e-06,1.62651604e-18
0.0543756673,4.37907041,5.56778626,9.0,0.0940838719,-1.1727403e-06,-1.17274029e-06,-1.62613966e-18
0.0543806673,4.35769861,5.56787909,9.0,0.0939309287,1.17299834e-06,1.17299834e-06,1.62651804e-18
0.0543856673,4.33643264,5.56797189,9.0,0.09378233,-1.17274173e-06,-1.17274173e-06,-1.62614166e-18
0.0543906673,4.315272,5.56806467,9.0,0.0936308856,1.17299978e-06,1.17299978e-06,1.62652003e-18
0.0543956673,4.29421614,5.56815743,9.0,0.0934837783,-1.17274317e-06,-1.17274317e-06,-1.62614365e-18
0.0544006673,4.27326457,5.56825017,9.0,0.0933338177,1.17300121e-06,1.17300121e-06,1.62652202e-18
0.0544056673,4.25241675,5.56834289,9.0,0.0931881871,-1.17274461e-06,-1.17274461e-06,-1.62614564e-18
0.0544106673,4.23167218,5.56843559,9.0,0.0930396955,1.17300265e-06,1.17300265e-06,1.62652401e-18
0.0544156673,4.21103034,5.56852827,9.0,0.0928955267,-1.17274604e-06,-1.17274604e-06,-1.62614764e-18
0.0544206673,4.19049073,5.56862093,9.0,0.0927484896,1.17300409e-06,1.17300409e-06,1.62652601e-18
0.0544256673,4.17005283,5.56871356,9.0,0.0926057682,-1.17274748e-06,-1.17274748e-06,-1.62614963e-18
