class_name,component_class_name,diagram_id,edge_id,instance_id,is_suspicious_match,match_confidence,match_distance_px,match_status,match_warnings,net_id,net_index,relation_type,relative_position,snap_point,source,target,terminal_id,terminal_name
,,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,edge:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:component:9.3:terminal:9.3:t1,9.3,,,,,,,,HAS_TERMINAL,top,,component:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:9.3,terminal:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:9.3:t1,9.3:t1,t1
,,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,edge:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:component:20.3:terminal:20.3:t1,20.3,,,,,,,,HAS_TERMINAL,left,,component:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:20.3,terminal:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:20.3:t1,20.3:t1,t1
,,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,edge:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:component:20.3:terminal:20.3:t2,20.3,,,,,,,,HAS_TERMINAL,right,,component:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:20.3,terminal:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:20.3:t2,20.3:t2,t2
,,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,edge:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:component:26.3:terminal:26.3:t1,26.3,,,,,,,,HAS_TERMINAL,left,,component:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:26.3,terminal:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:26.3:t1,26.3:t1,t1
,,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,edge:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:component:26.3:terminal:26.3:t2,26.3,,,,,,,,HAS_TERMINAL,right,,component:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:26.3,terminal:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:26.3:t2,26.3:t2,t2
,,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,edge:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:component:22.5:terminal:22.5:t1,22.5,,,,,,,,HAS_TERMINAL,top,,component:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:22.5,terminal:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:22.5:t1,22.5:t1,t1
,,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,edge:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:component:22.5:terminal:22.5:t2,22.5,,,,,,,,HAS_TERMINAL,bottom,,component:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:22.5,terminal:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:22.5:t2,22.5:t2,t2
,,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,edge:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:component:9.4:terminal:9.4:t1,9.4,,,,,,,,HAS_TERMINAL,top,,component:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:9.4,terminal:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:9.4:t1,9.4:t1,t1
,Terminal,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,edge:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:terminal:26.1:t1:net:N1,,False,high,2.0,matched_preferred,[],N1,1,CONNECTED_TO,,"[137, 771]",terminal:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:26.1:t1,net:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:N1,26.1:t1,
,GND,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,edge:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:terminal:9.1:t1:net:N2,,False,high,2.0,matched_preferred,[],N2,2,CONNECTED_TO,,"[153, 572]",terminal:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:9.1:t1,net:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:N2,9.1:t1,
,Polarized_Capacitor,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,edge:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:terminal:20.1:t1:net:N1,,False,high,2.0,matched_preferred,[],N1,1,CONNECTED_TO,,"[225, 771]",terminal:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:20.1:t1,net:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:N1,20.1:t1,
,Polarized_Capacitor,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,edge:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:terminal:20.1:t2:net:N4,,False,high,2.0,matched_preferred,[],N4,4,CONNECTED_TO,,"[281, 771]",terminal:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:20.1:t2,net:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:N4,20.1:t2,
,Polarized_Capacitor,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,edge:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:terminal:20.2:t1:net:N2,,False,high,1.0,matched_preferred,[],N2,2,CONNECTED_TO,,"[225, 540]",terminal:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:20.2:t1,net:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:N2,20.2:t1,
,Polarized_Capacitor,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,edge:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:terminal:20.2:t2:net:N4,,False,high,1.0,matched_preferred,[],N4,4,CONNECTED_TO,,"[280, 540]",terminal:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:20.2:t2,net:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:N4,20.2:t2,
,Resistor,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,edge:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:terminal:22.1:t1:net:N4,,False,high,0.0,matched_preferred,[],N4,4,CONNECTED_TO,,"[365, 802]",terminal:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:22.1:t1,net:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:N4,22.1:t1,
,Resistor,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,edge:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:terminal:22.1:t2:net:N3,,False,high,0.0,matched_preferred,[],N3,3,CONNECTED_TO,,"[365, 924]",terminal:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:22.1:t2,net:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:N3,22.1:t2,
,Resistor,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,edge:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:terminal:22.2:t1:net:N5,,False,high,0.0,matched_preferred,[],N5,5,CONNECTED_TO,,"[365, 293]",terminal:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:22.2:t1,net:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:N5,22.2:t1,
,Resistor,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,edge:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:terminal:22.2:t2:net:N4,,False,high,0.0,matched_preferred,[],N4,4,CONNECTED_TO,,"[365, 419]",terminal:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:22.2:t2,net:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:N4,22.2:t2,
,GND,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,edge:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:terminal:9.2:t1:net:N3,,False,high,0.0,matched_preferred,[],N3,3,CONNECTED_TO,,"[365, 933]",terminal:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:9.2:t1,net:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:N3,9.2:t1,
,Resistor,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,edge:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:terminal:22.3:t1:net:N4,,False,high,0.0,matched_preferred,[],N4,4,CONNECTED_TO,,"[540, 808]",terminal:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:22.3:t1,net:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:N4,22.3:t1,
,Resistor,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,edge:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:terminal:22.3:t2:net:N6,,False,high,0.0,matched_preferred,[],N6,6,CONNECTED_TO,,"[540, 923]",terminal:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:22.3:t2,net:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:N6,22.3:t2,
,Resistor,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,edge:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:terminal:22.4:t1:net:N5,,False,high,1.0,matched_preferred,[],N5,5,CONNECTED_TO,,"[540, 240]",terminal:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:22.4:t1,net:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:N5,22.4:t1,
,Resistor,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,edge:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:terminal:22.4:t2:net:N7,,False,high,1.0,matched_preferred,[],N7,7,CONNECTED_TO,,"[540, 363]",terminal:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:22.4:t2,net:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:N7,22.4:t2,
,Terminal,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,edge:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:terminal:26.2:t1:net:N5,,False,high,1.0,matched_preferred,[],N5,5,CONNECTED_TO,,"[540, 184]",terminal:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:26.2:t1,net:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:N5,26.2:t1,
,GND,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,edge:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:terminal:9.3:t1:net:N6,,False,high,1.0,matched_preferred,[],N6,6,CONNECTED_TO,,"[540, 935]",terminal:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:9.3:t1,net:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:N6,9.3:t1,
,Polarized_Capacitor,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,edge:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:terminal:20.3:t1:net:N7,,False,high,1.0,matched_preferred,[],N7,7,CONNECTED_TO,,"[708, 391]",terminal:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:20.3:t1,net:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:N7,20.3:t1,
,Polarized_Capacitor,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,edge:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:terminal:20.3:t2:net:N8,,False,high,1.0,matched_preferred,[],N8,8,CONNECTED_TO,,"[761, 391]",terminal:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:20.3:t2,net:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:N8,20.3:t2,
