 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         @dled12_1[id]   @dled12_2[id]  
 1.64482091e-02  1.64482091e-02  5.00000000e+00  4.27414283e+00  4.27479038e+00  8.39811200e-01  1.13716436e-01 -1.66293406e+00  2.17234147e-01  1.54089875e-02  1.50279990e-02 
 1.64482251e-02  1.64482251e-02  5.00000000e+00  4.27396198e+00  4.27609565e+00  1.04079549e+00  8.43445583e-02 -1.69230486e+00  4.18223411e-01  1.55171019e-02  1.42884269e-02 
 1.64482452e-02  1.64482452e-02  5.00000000e+00  4.27407049e+00  4.27481074e+00  8.43013424e-01  1.01992775e-01 -1.67465539e+00  2.20447638e-01  1.54521399e-02  1.50161714e-02 
 1.64482706e-02  1.64482706e-02  5.00000000e+00  4.27390537e+00  4.27609064e+00  1.04002864e+00  7.51070604e-02 -1.70153942e+00  4.17470760e-01  1.55511050e-02  1.42911950e-02 
 1.64483036e-02  1.64483036e-02  5.00000000e+00  4.27401502e+00  4.27482651e+00  8.45481286e-01  9.29791177e-02 -1.68366527e+00  2.22933703e-01  1.54853182e-02  1.50070213e-02 
 1.64483494e-02  1.64483494e-02  5.00000000e+00  4.27385940e+00  4.27609164e+00  1.04015385e+00  6.75919313e-02 -1.70904944e+00  4.17620529e-01  1.55787685e-02  1.42906435e-02 
 1.64484166e-02  1.64484166e-02  5.00000000e+00  4.27397068e+00  4.27483910e+00  8.47430805e-01  8.57618112e-02 -1.69087525e+00  2.24918438e-01  1.55118848e-02  1.49997167e-02 
 1.64485237e-02  1.64485237e-02  5.00000000e+00  4.27382300e+00  4.27609691e+00  1.04089008e+00  6.16324981e-02 -1.71499758e+00  4.18411057e-01  1.56007056e-02  1.42877349e-02 
 1.64487129e-02  1.64487129e-02  5.00000000e+00  4.27394140e+00  4.27484823e+00  8.48777129e-01  8.09889831e-02 -1.69562886e+00  2.26357086e-01  1.55294534e-02  1.49944220e-02 
 1.64490098e-02  1.64490098e-02  5.00000000e+00  4.27380674e+00  4.27607135e+00  1.04135329e+00  5.90248035e-02 -1.71757375e+00  4.19025691e-01  1.56105143e-02  1.43018586e-02 
 1.64494176e-02  1.64494176e-02  5.00000000e+00  4.27393611e+00  4.27482254e+00  8.49080776e-01  8.01790089e-02 -1.69639313e+00  2.26880206e-01  1.55326287e-02  1.50093204e-02 
 1.64501345e-02  1.64501345e-02  5.00000000e+00  4.27380662e+00  4.27607187e+00  1.04127744e+00  5.90000704e-02 -1.71752552e+00  4.19300136e-01  1.56105896e-02  1.43015702e-02 
 1.64515684e-02  1.64515684e-02  5.00000000e+00  4.27393614e+00  4.27482705e+00  8.49092583e-01  8.01831857e-02 -1.69624944e+00  2.27561857e-01  1.55326137e-02  1.50067032e-02 
 1.64544362e-02  1.64544362e-02  5.00000000e+00  4.27380664e+00  4.27608013e+00  1.04120528e+00  5.90034420e-02 -1.71724313e+00  4.20567489e-01  1.56105772e-02  1.42970065e-02 
 1.64601717e-02  1.64601717e-02  5.00000000e+00  4.27393615e+00  4.27484385e+00  8.48996656e-01  8.01842274e-02 -1.69569038e+00  2.30144232e-01  1.55326099e-02  1.49969638e-02 
 1.64716428e-02  1.64716428e-02  5.00000000e+00  4.27380668e+00  4.27611353e+00  1.04098823e+00  5.90095017e-02 -1.71612111e+00  4.25704159e-01  1.56105548e-02  1.42785528e-02 
 1.64945850e-02  1.64945850e-02  5.00000000e+00  4.27393621e+00  4.27491071e+00  8.48575265e-01  8.01942838e-02 -1.69344872e+00  2.40418752e-01  1.55325729e-02  1.49582445e-02 
 1.65404694e-02  1.65404694e-02  5.00000000e+00  4.27380681e+00  4.27624715e+00  1.04014086e+00  5.90307924e-02 -1.71163788e+00  4.46202570e-01  1.56104762e-02  1.42049786e-02 
 1.66322381e-02  1.66322381e-02  5.00000000e+00  4.27393647e+00  4.27517764e+00  8.46890628e-01  8.02365121e-02 -1.68448759e+00  2.81242218e-01  1.55324179e-02  1.48046665e-02 
 1.68157755e-02  1.68157755e-02  5.00000000e+00  4.27380733e+00  4.27677996e+00  1.03679794e+00  5.91163400e-02 -1.69373439e+00  5.27147711e-01  1.56101605e-02  1.39153573e-02 
 1.71828503e-02  1.71828503e-02  5.00000000e+00  4.27393753e+00  4.27623806e+00  8.40315528e-01  8.04105139e-02 -1.64875701e+00  4.40375497e-01  1.55317790e-02  1.42099739e-02 
