 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         @dled12_1[id]  
 5.71903519e-02  5.71903519e-02  1.87609085e+00  0.00000000e+00  2.83675591e-02  5.82941419e-01  5.32473292e-03 -3.50280396e-14 
 5.76903519e-02  5.76903519e-02  1.86578900e+00  0.00000000e+00  2.83146305e-02  5.82703248e-01  5.28329426e-03 -3.49682703e-14 
 5.81903519e-02  5.81903519e-02  1.85554589e+00  0.00000000e+00  2.82842804e-02  5.82449373e-01  5.24216212e-03 -3.49339911e-14 
 5.86903519e-02  5.86903519e-02  1.84536118e+00  0.00000000e+00  2.82316924e-02  5.82211005e-01  5.20120658e-03 -3.48745846e-14 
 5.91903519e-02  5.91903519e-02  1.83523453e+00  0.00000000e+00  2.82019665e-02  5.81956730e-01  5.16055564e-03 -3.48409981e-14 
 5.96903519e-02  5.96903519e-02  1.82516562e+00  0.00000000e+00  2.81497112e-02  5.81718147e-01  5.12007781e-03 -3.47819458e-14 
 6.01903519e-02  6.01903519e-02  1.81515411e+00  0.00000000e+00  2.81206067e-02  5.81463449e-01  5.07990269e-03 -3.47490495e-14 
 6.06903519e-02  6.06903519e-02  1.80519967e+00  0.00000000e+00  2.80686761e-02  5.81224632e-01  5.03989720e-03 -3.46903429e-14 
 6.11903519e-02  6.11903519e-02  1.79530198e+00  0.00000000e+00  2.80401901e-02  5.80969488e-01  5.00019259e-03 -3.46581342e-14 
 6.16903519e-02  6.16903519e-02  1.78546071e+00  0.00000000e+00  2.79885764e-02  5.80730418e-01  4.96065413e-03 -3.45997648e-14 
