 time            time            v(N001)         v(N002)         v(N004)        
 1.96280000e-02  1.96280000e-02 -5.83007002e-01  6.12814911e-131  6.12814911e-131 
 1.97280000e-02  1.97280000e-02 -4.26736825e-01  1.70867509e-131  1.70867509e-131 
 1.98280000e-02  1.98280000e-02 -2.70045509e-01  4.76419637e-132  4.76419637e-132 
 1.99280000e-02  1.99280000e-02 -1.13087692e-01  1.32837232e-132  1.32837232e-132 
 2.00280000e-02  2.00280000e-02  4.39817299e-02  3.70382095e-133  3.70382095e-133 
 2.01280000e-02  2.01280000e-02  2.01007747e-01  1.03271420e-133  1.03271420e-133 
 2.02280000e-02  2.02280000e-02  3.57835393e-01  2.87945512e-134  2.87945512e-134 
 2.03280000e-02  2.03280000e-02  5.14309899e-01  8.02861215e-135  8.02861215e-135 
 2.04280000e-02  2.04280000e-02  6.70276844e-01  2.23856981e-135  2.23856981e-135 
 2.05280000e-02  2.05280000e-02  8.25582306e-01  6.24167007e-136  6.24167007e-136 
 2.06280000e-02  2.06280000e-02  9.80073018e-01  1.74032746e-136  1.74032746e-136 
 2.07280000e-02  2.07280000e-02  1.13359652e+00  4.85245077e-137  4.85245077e-137 
 2.08280000e-02  2.08280000e-02  1.28600129e+00  1.35297977e-137  1.35297977e-137 
 2.09280000e-02  2.09280000e-02  1.43713694e+00  3.77243242e-138  3.77243242e-138 
 2.10280000e-02  2.10280000e-02  1.58685431e+00  1.05184472e-138  1.05184472e-138 
 2.11280000e-02  2.11280000e-02  1.73500564e+00  2.93279561e-139  2.93279561e-139 
 2.12280000e-02  2.12280000e-02  1.88144473e+00  8.17733826e-140  8.17733826e-140 
 2.13280000e-02  2.13280000e-02  2.02602706e+00  2.28003822e-140  2.28003822e-140 
 2.14280000e-02  2.14280000e-02  2.16860995e+00  6.35729395e-141  6.35729395e-141 
 2.15280000e-02  2.15280000e-02  2.30905269e+00  1.77256618e-141  1.77256618e-141 
 2.16280000e-02  2.16280000e-02  2.44721666e+00  4.94234005e-142  4.94234005e-142 
