time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009),v(N010),@dled12_1[id]
0.709186302,7.99999906,2.7796332,2.33101343,11.9931729,12.0,10.726095,-0.598903509,5.39690119,10.2194684,1.59075941,0.000128996257
0.709186349,7.99999906,2.77963334,2.33101357,11.9931729,12.0,10.7261074,10.5091703,5.39687554,10.5583122,1.92959011,0.000128996255
0.709186359,7.99999906,2.77963336,2.33101359,11.993173,12.0,10.7261099,9.49087316,5.39692691,10.2633861,1.63466145,0.000128996255
0.709186362,7.99999906,2.77963337,2.3310136,11.993173,12.0,10.7261096,9.28305185,5.39694192,10.4764897,1.84776417,0.000128996255
0.709186362,7.99999906,2.77963337,2.3310136,11.993173,12.0,10.7261096,9.27314467,5.39694283,10.4290784,1.80035285,0.000128996255
0.709186362,7.99999906,2.77963337,2.3310136,11.993173,12.0,10.7261096,9.26472295,5.39694363,10.4127154,1.78398983,0.000128996255
0.709186362,7.99999906,2.77963337,2.3310136,11.993173,12.0,10.7261095,9.2529243,5.3969448,10.4030266,1.77430091,0.000128996255
0.709186362,7.99999906,2.77963337,2.33101361,11.993173,12.0,10.7261095,9.24131095,5.39694596,10.4001052,1.77137941,0.000128996255
0.709186363,7.99999906,2.77963337,2.33101361,11.993173,12.0,10.7261094,9.21867447,5.39694829,10.3983012,1.7695753,0.000128996255
0.709186364,7.99999906,2.77963338,2.33101361,11.993173,12.0,10.7261093,9.19174125,5.39695115,10.3977028,1.76897677,0.000128996255
0.709186364,7.99999906,2.77963338,2.33101361,11.993173,12.0,10.7261091,9.16745189,5.39695383,10.3972927,1.76856651,0.000128996254
0.709186365,7.99999906,2.77963338,2.33101361,11.993173,12.0,10.726109,9.14547141,5.39695636,10.3970971,1.76837069,0.000128996255
0.709186365,7.99999906,2.77963338,2.33101361,11.993173,12.0,10.7261089,9.12489209,5.39695883,10.3969522,1.76822569,0.000128996255
0.709186366,7.99999906,2.77963338,2.33101362,11.993173,12.0,10.7261088,9.10486818,5.39696133,10.3968888,1.7681621,0.000128996254
0.709186366,7.99999906,2.77963338,2.33101362,11.993173,12.0,10.7261086,9.0856344,5.39696384,10.3968235,1.76809664,0.000128996255
0.709186367,7.99999906,2.77963339,2.33101362,11.993173,12.0,10.7261085,9.06349043,5.39696687,10.3968053,1.76807833,0.000128996255
0.709186368,7.99999906,2.77963339,2.33101362,11.993173,12.0,10.7261083,9.04060568,5.39697018,10.3967687,1.76804153,0.000128996255
0.709186369,7.99999906,2.77963339,2.33101362,11.993173,12.0,10.7261081,9.01470552,5.39697419,10.3967732,1.76804576,0.000128996254
0.70918637,7.99999906,2.77963339,2.33101363,11.993173,12.0,10.7261078,8.9876327,5.3969787,10.396751,1.76802325,0.000128996255
0.709186371,7.99999906,2.7796334,2.33101363,11.993173,12.0,10.7261075,8.95670256,5.39698437,10.3967646,1.76803651,0.000128996254
0.709186373,7.99999906,2.7796334,2.33101363,11.9931729,12.0,10.7261071,8.92330323,5.39699125,10.396747,1.76801846,0.000128996255
0.709186375,7.99999906,2.77963341,2.33101364,11.9931729,12.0,10.7261066,8.8843843,5.3970006,10.3967628,1.76803363,0.000128996254
0.709186378,7.99999906,2.77963342,2.33101365,11.9931729,12.0,10.7261058,8.84110604,5.39701345,10.3967459,1.7680159,0.000128996254
0.709186383,7.99999906,2.77963343,2.33101366,11.9931729,12.0,10.7261047,8.79031348,5.39703432,10.396762,1.76803058,0.000128996254
0.709186392,7.99999906,2.77963346,2.33101369,11.9931729,12.0,10.7261029,8.73696399,5.39707323,10.3967458,1.76801177,0.000128996254
0.709186411,7.99999906,2.77963351,2.33101375,11.9931729,12.0,10.7261004,8.70238003,5.39715004,10.3967641,1.76802485,0.000128996253
0.709186449,7.99999906,2.77963362,2.33101386,11.9931729,12.0,10.7260977,8.69769389,5.39730274,10.3967528,1.76800305,0.000128996251
0.709186525,7.99999906,2.77963384,2.33101407,11.9931729,12.0,10.726096,8.699276,5.39760797,10.3967796,1.76800893,0.000128996248
0.709186677,7.99999906,2.77963427,2.33101451,11.9931729,12.0,10.7260956,8.6987219,5.39821843,10.3967839,1.76797137,0.000128996242
0.70918698,7.99999906,2.77963514,2.33101539,11.9931729,12.0,10.7260957,8.70000811,5.39943917,10.3968419,1.76794555,0.000128996229
0.709187587,7.99999906,2.77963688,2.33101714,11.9931729,12.0,10.7260957,8.70062751,5.40187999,10.3969085,1.76784462,0.000128996203
0.7091888,7.99999906,2.77964037,2.33102064,11.9931729,12.0,10.7260957,8.70363411,5.40675889,10.397091,1.76769206,0.000128996153
0.709191226,7.99999906,2.77964733,2.33102764,11.9931729,12.0,10.7260957,8.70795667,5.41650591,10.3974068,1.76733768,0.000128996051
0.709196079,7.99999906,2.77966125,2.33104164,11.9931729,12.0,10.7260957,8.71822525,5.43595672,10.3980873,1.76667841,0.000128995847
0.709205784,7.99999906,2.77968909,2.33106964,11.9931729,12.0,10.7260957,8.73705096,5.47468624,10.3993982,1.76531126,0.00012899544
0.709225195,7.99999906,2.77974478,2.33112564,11.9931729,12.0,10.7260957,8.7759763,5.55146177,10.4020661,1.76262908,0.000128994625
0.709264017,7.99999906,2.77985616,2.33123763,11.9931729,12.0,10.7260957,8.85086912,5.70231885,10.4073392,1.75722669,0.000128992997
0.70930305,7.99999906,2.77996814,2.33135024,11.9931729,12.0,10.7260957,8.92546498,5.85043807,10.4126563,1.75184305,0.000128991359
0.709347094,7.99999906,2.7800945,2.3314773,11.9931729,12.0,10.7260957,9.00640946,6.01339606,10.4186005,1.74575223,0.000128989511
0.709397094,7.99999906,2.78023794,2.33162154,11.9931729,12.0,10.7260957,9.09682976,6.19316617,10.4253555,1.73889538,0.000128987414
0.709447094,7.99999906,2.78038138,2.33176578,11.9931729,12.0,10.7260957,9.18348212,6.36753768,10.4320485,1.73203008,0.000128985316
0.709497094,7.99999906,2.78052481,2.33191001,11.9931729,12.0,10.7260957,9.26858402,6.53667303,10.4387456,1.72522228,0.000128983219
0.709547094,7.99999906,2.78066825,2.33205425,11.9931729,12.0,10.7260957,9.35007977,6.70072948,10.4453811,1.71840615,0.000128981121
0.709597094,7.99999906,2.78081168,2.33219848,11.9931729,12.0,10.7260957,9.430178,6.85985953,10.452021,1.71164739,0.000128979023
0.709647094,7.99999906,2.78095511,2.33234271,11.9931729,12.0,10.7260957,9.50682225,7.01421113,10.4585996,1.70488017,0.000128976926
0.709697094,7.99999906,2.78109853,2.33248693,11.9931729,12.0,10.7260957,9.58221276,7.16392774,10.4651828,1.69817019,0.000128974828
0.709747094,7.99999906,2.78124196,2.33263116,11.9931729,12.0,10.7260957,9.65429255,7.30914857,10.4717049,1.6914516,0.000128972731
0.709797094,7.99999906,2.78138538,2.33277538,11.9931729,12.0,10.7260957,9.72525377,7.4500086,10.4782319,1.68479014,0.000128970633
0.709847094,7.99999906,2.7815288,2.3329196,11.9931729,12.0,10.7260957,9.79303917,7.58663881,10.4846981,1.67811993,0.000128968536
0.709897094,7.99999906,2.78167222,2.33306382,11.9931729,12.0,10.7260957,9.85983306,7.71916617,10.4911693,1.6715067,0.000128966439
0.709947094,7.99999906,2.78181564,2.33320803,11.9931729,12.0,10.7260957,9.92357815,7.84771393,10.49758,1.6648846,0.000128964341
0.709997094,7.99999906,2.78195905,2.33335224,11.9931729,12.0,10.7260957,9.9864512,7.97240156,10.503996,1.65831935,0.000128962244
0.710047094,7.99999906,2.78210246,2.33349646,11.9931729,12.0,10.7260957,10.0463951,8.093345,10.5103517,1.65174508,0.000128960147
0.710097094,7.99999906,2.78224587,2.33364066,11.9931729,12.0,10.7260957,10.1055791,8.21065665,10.5167129,1.64522754,0.00012895805
0.710147094,7.99999906,2.78238928,2.33378487,11.9931729,12.0,10.7260957,10.1619467,8.32444561,10.5230141,1.63870084,0.000128955953
0.710197094,7.99999906,2.78253269,2.33392908,11.9931729,12.0,10.7260957,10.21766,8.43481762,10.5293211,1.63223074,0.000128953856
0.710247094,7.99999906,2.78267609,2.33407328,11.9931729,12.0,10.7260957,10.2706627,8.54187531,10.5355681,1.62575133,0.000128951758
0.710297094,7.99999906,2.78281949,2.33421748,11.9931729,12.0,10.7260957,10.3231105,8.64571819,10.5418213,1.61932841,0.000128949661
0.710347094,7.99999906,2.78296289,2.33436167,11.9931729,12.0,10.7260957,10.3729477,8.74644283,10.5480148,1.61289604,0.000128947564
0.710397094,7.99999906,2.78310628,2.33450587,11.9931729,12.0,10.7260957,10.4223231,8.84414281,10.5542146,1.60652002,0.000128945467
0.710447094,7.99999906,2.78324968,2.33465006,11.9931729,12.0,10.7260957,10.4691819,8.93890902,10.560355,1.60013441,0.00012894337
0.710497094,7.99999906,2.78339307,2.33479425,11.9931729,12.0,10.7260957,10.5156666,9.0308295,10.566502,1.59380502,0.000128941273
0.710547094,7.99999906,2.78353646,2.33493844,11.9931729,12.0,10.7260957,10.5597234,9.11998975,10.5725897,1.5874659,0.000128939176
0.710597094,7.99999906,2.78367984,2.33508263,11.9931729,12.0,10.7260957,10.6034883,9.20647261,10.5786842,1.58118289,0.000128937079
0.710647094,7.99999906,2.78382323,2.33522681,11.9931729,12.0,10.7260957,10.6449088,9.29035853,10.5847197,1.57489,0.000128934983
0.710697094,7.99999906,2.78396661,2.33537099,11.9931729,12.0,10.7260957,10.6861148,9.37172545,10.5907623,1.56865308,0.000128932886
0.710747094,7.99999906,2.78410999,2.33551517,11.9931729,12.0,10.7260957,10.7250551,9.45064904,10.596746,1.56240615,0.000128930789
0.710797094,7.99999906,2.78425337,2.33565935,11.9931729,12.0,10.7260957,10.7638535,9.52720264,10.6027371,1.55621507,0.000128928692
0.710847094,7.99999906,2.78439675,2.33580353,11.9931729,12.0,10.7260957,10.8004603,9.60145746,10.6086695,1.55001383,0.000128926595
0.710897094,7.99999906,2.78454012,2.3359477,11.9931729,12.0,10.7260957,10.8369935,9.67348249,10.6146095,1.5438683,0.000128924499
0.710947094,7.99999906,2.78468349,2.33609187,11.9931729,12.0,10.7260957,10.8714048,9.74334471,10.6204911,1.53771249,0.000128922402
0.710997094,7.99999906,2.78482686,2.33623604,11.9931729,12.0,10.7260957,10.9058068,9.81110905,10.6263804,1.53161226,0.000128920305
0.711047094,7.99999906,2.78497023,2.3363802,11.9931729,12.0,10.7260957,10.9381526,9.87683853,10.6322116,1.5255016,0.000128918209
0.711097094,7.99999906,2.78511359,2.33652437,11.9931729,12.0,10.7260957,10.9705494,9.94059422,10.6380508,1.5194464,0.000128916112
0.711147094,7.99999906,2.78525695,2.33666853,11.9931729,12.0,10.7260957,11.000952,10.0024354,10.643832,1.51338063,0.000128914016
0.711197094,7.99999906,2.78540031,2.33681269,11.9931729,12.0,10.7260957,11.031462,10.0624196,10.6496213,1.5073702,0.00012891192
0.711247094,7.99999906,2.78554367,2.33695685,11.9931729,12.0,10.7260957,11.0600364,10.1206027,10.655353,1.50134905,0.000128909823
0.711297094,7.99999906,2.78568703,2.337101,11.9931729,12.0,10.7260957,11.0887715,10.1770386,10.661093,1.49538311,0.000128907726
0.711347094,7.99999906,2.78583038,2.33724515,11.9931729,12.0,10.7260957,11.115626,10.23178,10.6667756,1.48940632,0.00012890563
0.711397094,7.99999906,2.78597373,2.3373893,11.9931729,12.0,10.7260957,11.1426909,10.2848777,10.6724667,1.48348461,0.000128903534
0.711447094,7.99999906,2.78611708,2.33753345,11.9931729,12.0,10.7260957,11.1679272,10.336381,10.6781006,1.4775519,0.000128901437
0.711497094,7.99999906,2.78626043,2.3376776,11.9931729,12.0,10.7260957,11.1934208,10.3863377,10.6837432,1.47167415,0.000128899341
0.711547094,7.99999906,2.78640377,2.33782174,11.9931729,12.0,10.7260957,11.2171347,10.4347943,10.6893288,1.46578527,0.000128897245
0.711597094,7.99999906,2.78654711,2.33796588,11.9931729,12.0,10.7260957,11.2411497,10.4817958,10.6949234,1.45995122,0.000128895149
0.711647094,7.99999906,2.78669045,2.33811002,11.9931729,12.0,10.7260957,11.2634311,10.5273858,10.7004611,1.4541059,0.000128893053
0.711697094,7.99999906,2.78683379,2.33825416,11.9931729,12.0,10.7260957,11.2860551,10.5716067,10.7060081,1.44831528,0.000128890956
0.711747094,7.99999906,2.78697713,2.33839829,11.9931729,12.0,10.7260957,11.3069889,10.6144998,10.7114984,1.44251325,0.00012888886
0.711761128,7.99999906,2.78701736,2.33843875,11.9931729,12.0,10.7260953,0.0175332776,10.5304657,1.62746105,-7.63473486,0.000128888272
0.711766222,7.99999906,2.78703196,2.33845343,11.9931729,12.0,10.7260967,0.0171454794,10.4653552,1.62569922,-7.63042116,0.000128888058
0.711769696,7.99999906,2.78704192,2.33846345,11.9931729,12.0,10.7260947,0.0174486729,10.4211857,1.62554197,-7.62643758,0.000128887912
0.711773126,7.99999906,2.78705175,2.33847334,11.9931729,12.0,10.7260972,0.0170729204,10.3777546,1.62413505,-7.62375751,0.000128887769
0.711777423,7.99999906,2.78706407,2.33848572,11.9931729,12.0,10.7260942,0.0173730697,10.3236081,1.62381326,-7.61896244,0.000128887589
