 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         @dled12_1[id]   @dled12_2[id]  
 1.49153602e-02  1.49153602e-02  5.00000000e+00  4.29428507e+00  4.27389126e+00  2.32718579e-01  2.39034410e+00  8.58155273e-01  7.28030831e-02  7.07242464e-03  1.55595859e-02 
 1.59153602e-02  1.59153602e-02  5.00000000e+00  4.29621006e+00  4.27389628e+00  2.79417113e-01  2.52877346e+00  8.51928321e-01  7.36221965e-02  6.56517165e-03  1.55565710e-02 
 1.69153602e-02  1.69153602e-02  5.00000000e+00  4.29814053e+00  4.27389892e+00  3.25280894e-01  2.65784535e+00  8.46731835e-01  7.40541510e-02  6.09300697e-03  1.55549807e-02 
 1.79153602e-02  1.79153602e-02  5.00000000e+00  4.30006022e+00  4.27390428e+00  3.71144416e-01  2.77704818e+00  8.41296937e-01  7.49294073e-02  5.65715965e-03  1.55517591e-02 
 1.89153602e-02  1.89153602e-02  5.00000000e+00  4.30198639e+00  4.27390695e+00  4.16129022e-01  2.88830180e+00  8.36841867e-01  7.53650670e-02  5.25117345e-03  1.55501552e-02 
 1.99153602e-02  1.99153602e-02  5.00000000e+00  4.30390001e+00  4.27391260e+00  4.61166206e-01  2.99098060e+00  8.32091703e-01  7.62886746e-02  4.87668846e-03  1.55467557e-02 
 2.09153602e-02  2.09153602e-02  5.00000000e+00  4.30582095e+00  4.27391522e+00  5.05276869e-01  3.08690443e+00  8.28271001e-01  7.67170927e-02  4.52762811e-03  1.55451783e-02 
 2.19153602e-02  2.19153602e-02  5.00000000e+00  4.30772545e+00  4.27392118e+00  5.49503567e-01  3.17527870e+00  8.24068277e-01  7.76897115e-02  4.20622528e-03  1.55415985e-02 
 2.29153602e-02  2.29153602e-02  5.00000000e+00  4.30968441e+00  4.27392454e+00  5.92875707e-01  3.25684379e+00  8.20222149e-01  7.82383970e-02  3.89941920e-03  1.55395783e-02 
 2.39153602e-02  2.39153602e-02  5.00000000e+00  4.31140826e+00  4.27393522e+00  6.36988391e-01  3.32644832e+00  8.13657443e-01  7.99806283e-02  3.64800211e-03  1.55331653e-02 
 2.49153602e-02  2.49153602e-02  5.00000000e+00  4.31217502e+00  4.27397752e+00  6.85658768e-01  3.35598513e+00  7.91940952e-01  8.68752916e-02  3.54144409e-03  1.55077860e-02 
 2.49309852e-02  2.49309852e-02  5.00000000e+00  4.31213755e+00  4.27398403e+00  6.87365680e-01  3.35456123e+00  7.90065441e-01  8.79356092e-02  3.54657897e-03  1.55038830e-02 
 2.49622352e-02  2.49622352e-02  5.00000000e+00  4.31209072e+00  4.27399206e+00  6.89966124e-01  3.35277926e+00  7.87451092e-01  8.92437153e-02  3.55300559e-03  1.54990680e-02 
 2.49700477e-02  2.49700477e-02  5.00000000e+00  4.31207611e+00  4.27399436e+00  6.90663491e-01  3.35222284e+00  7.86714270e-01  8.96183284e-02  3.55501280e-03  1.54976891e-02 
 2.49856727e-02  2.49856727e-02  5.00000000e+00  4.31203688e+00  4.27400055e+00  6.92316704e-01  3.35072638e+00  7.84881757e-01  9.06263183e-02  3.56040934e-03  1.54939787e-02 
 2.49860502e-02  2.49860502e-02  5.00000000e+00  4.31123525e+00  4.27412096e+00  7.11881763e-01  3.31966784e+00  7.53836041e-01  1.10176021e-01  3.67248411e-03  1.54220190e-02 
 2.49860620e-02  2.49860620e-02  5.00000000e+00  4.31117352e+00  4.27412807e+00  7.13033250e-01  3.31723656e+00  7.51405214e-01  1.11327030e-01  3.68125958e-03  1.54177821e-02 
 2.49860856e-02  2.49860856e-02  5.00000000e+00  4.31099130e+00  4.27414765e+00  7.16204488e-01  3.31002428e+00  7.44193980e-01  1.14497314e-01  3.70728685e-03  1.54061124e-02 
 2.49861077e-02  2.49861077e-02  5.00000000e+00  4.27466698e+00  4.27481170e+00  8.22302484e-01  1.97703689e-01 -2.36812201e+00  2.20595522e-01  1.50998641e-02  1.50156155e-02 
 2.49861234e-02  2.49861234e-02  5.00000000e+00  4.27412610e+00  4.27632241e+00  1.05382269e+00  1.11008287e-01 -2.45481624e+00  4.52120563e-01  1.54189551e-02  1.41637105e-02 
