 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N009)         v(N010)         @ddiode7_1[id] 
 7.93535612e-05  7.93535612e-05  3.24514693e-15  9.00000000e+00 -2.01572115e+00  2.39095210e-03  6.61496771e-01  1.10536983e+00  8.99999912e+00 -2.07232391e+00 -1.66607481e-01 -3.27391269e-15 
 8.03535612e-05  8.03535612e-05  3.70395917e-15  9.00000000e+00 -2.02427831e+00  2.41849595e-03  6.61503524e-01  1.10441680e+00  8.99999912e+00 -2.08202879e+00 -1.67360137e-01 -3.31116022e-15 
 8.13535612e-05  8.13535612e-05  1.77115316e-14  9.00000000e+00 -2.03251258e+00  2.44594433e-03  6.61510073e-01  1.10348887e+00  8.99999912e+00 -2.09141556e+00 -1.68086796e-01 -3.34826836e-15 
 8.23535612e-05  8.23535612e-05  2.76593797e-15  9.00000000e+00 -2.04042699e+00  2.47329614e-03  6.61516421e-01  1.10258585e+00  8.99999912e+00 -2.10048705e+00 -1.68787696e-01 -3.38523576e-15 
 8.33535612e-05  8.33535612e-05  4.02153573e-15  9.00000000e+00 -2.04802448e+00  2.50055032e-03  6.61522568e-01  1.10170752e+00  8.99999912e+00 -2.10924604e+00 -1.69463067e-01 -3.42206109e-15 
 8.43535612e-05  8.43535612e-05  1.75818631e-14  9.00000000e+00 -2.05530803e+00  2.52770577e-03  6.61528518e-01  1.10085370e+00  8.99999912e+00 -2.11769531e+00 -1.70113141e-01 -3.45874301e-15 
 8.53535612e-05  8.53535612e-05  2.29637885e-15  9.00000000e+00 -2.06228053e+00  2.55476144e-03  6.61534271e-01  1.10002419e+00  8.99999912e+00 -2.12583758e+00 -1.70738145e-01 -3.49528019e-15 
 8.63535612e-05  8.63535612e-05  4.34581682e-15  9.00000000e+00 -2.06894490e+00  2.58171625e-03  6.61539829e-01  1.09921878e+00  8.99999912e+00 -2.13367559e+00 -1.71338308e-01 -3.53167131e-15 
 8.73535612e-05  8.73535612e-05  1.74276765e-14  9.00000000e+00 -2.07530399e+00  2.60856914e-03  6.61545195e-01  1.09843729e+00  8.99999912e+00 -2.14121203e+00 -1.71913851e-01 -3.56791505e-15 
 8.83535612e-05  8.83535612e-05  1.83736712e-15  9.00000000e+00 -2.08136067e+00  2.63531904e-03  6.61550369e-01  1.09767951e+00  8.99999912e+00 -2.14844958e+00 -1.72465000e-01 -3.60401011e-15 
 8.93535612e-05  8.93535612e-05  4.67587390e-15  9.00000000e+00 -2.08711774e+00  2.66196491e-03  6.61555355e-01  1.09694526e+00  8.99999912e+00 -2.15539087e+00 -1.72991973e-01 -3.63995519e-15 
 9.03535612e-05  9.03535612e-05  1.72491410e-14  9.00000000e+00 -2.09257801e+00  2.68850569e-03  6.61560152e-01  1.09623435e+00  8.99999912e+00 -2.16203856e+00 -1.73494991e-01 -3.67574897e-15 
 9.13535612e-05  9.13535612e-05  1.38977069e-15  9.00000000e+00 -2.09774425e+00  2.71494033e-03  6.61564764e-01  1.09554659e+00  8.99999912e+00 -2.16839523e+00 -1.73974269e-01 -3.71139019e-15 
 9.23535612e-05  9.23535612e-05  5.01075979e-15  9.00000000e+00 -2.10261922e+00  2.74126779e-03  6.61569192e-01  1.09488179e+00  8.99999912e+00 -2.17446349e+00 -1.74430025e-01 -3.74687754e-15 
 9.33535612e-05  9.33535612e-05  1.70464763e-14  9.00000000e+00 -2.10720563e+00  2.76748703e-03  6.61573436e-01  1.09423977e+00  8.99999912e+00 -2.18024587e+00 -1.74862470e-01 -3.78220977e-15 
 9.43535612e-05  9.43535612e-05  9.54425907e-16  9.00000000e+00 -2.11150620e+00  2.79359701e-03  6.61577500e-01  1.09362035e+00  8.99999912e+00 -2.18574494e+00 -1.75271816e-01 -3.81738558e-15 
 9.53535612e-05  9.53535612e-05  5.34951091e-15  9.00000000e+00 -2.11552360e+00  2.81959670e-03  6.61581385e-01  1.09302333e+00  8.99999912e+00 -2.19096320e+00 -1.75658272e-01 -3.85240373e-15 
 9.63535612e-05  9.63535612e-05  1.68199526e-14  9.00000000e+00 -2.11926049e+00  2.84548509e-03  6.61585092e-01  1.09244855e+00  8.99999912e+00 -2.19590315e+00 -1.76022048e-01 -3.88726295e-15 
 9.73535612e-05  9.73535612e-05  5.32135712e-16  9.00000000e+00 -2.12271951e+00  2.87126114e-03  6.61588622e-01  1.09189582e+00  8.99999912e+00 -2.20056727e+00 -1.76363348e-01 -3.92196200e-15 
 9.83535612e-05  9.83535612e-05  5.69114956e-15  9.00000000e+00 -2.12590326e+00  2.89692383e-03  6.61591979e-01  1.09136496e+00  8.99999912e+00 -2.20495802e+00 -1.76682378e-01 -3.95649962e-15 
 9.93535612e-05  9.93535612e-05  1.65698892e-14  9.00000000e+00 -2.12881433e+00  2.92247216e-03  6.61595162e-01  1.09085580e+00  8.99999912e+00 -2.20907782e+00 -1.76979339e-01 -3.99087459e-15 
 1.00353561e-04  1.00353561e-04  1.23667857e-16  9.00000000e+00 -2.13145531e+00  2.94790512e-03  6.61598173e-01  1.09036817e+00  8.99999912e+00 -2.21292910e+00 -1.77254433e-01 -4.02508566e-15 
 1.01353561e-04  1.01353561e-04  6.03468623e-15  9.00000000e+00 -2.13382872e+00  2.97322170e-03  6.61601015e-01  1.08990188e+00  8.99999912e+00 -2.21651424e+00 -1.77507859e-01 -4.05913162e-15 
 1.02353561e-04  1.02353561e-04  1.62966550e-14  9.00000000e+00 -2.13593710e+00  2.99842090e-03  6.61603688e-01  1.08945678e+00  8.99999912e+00 -2.21983562e+00 -1.77739815e-01 -4.09301125e-15 
 1.03353561e-04  1.03353561e-04 -2.70246775e-16  9.00000000e+00 -2.13778293e+00  3.02350173e-03  6.61606194e-01  1.08903269e+00  8.99999912e+00 -2.22289558e+00 -1.77950496e-01 -4.12672333e-15 
 1.04353561e-04  1.04353561e-04  6.37912200e-15  9.00000000e+00 -2.13936872e+00  3.04846319e-03  6.61608535e-01  1.08862943e+00  8.99999912e+00 -2.22569647e+00 -1.78140096e-01 -4.16026668e-15 
 1.05353561e-04  1.05353561e-04  1.60006664e-14  9.00000000e+00 -2.14069691e+00  3.07330431e-03  6.61610711e-01  1.08824685e+00  8.99999912e+00 -2.22824059e+00 -1.78308808e-01 -4.19364007e-15 
 1.06353561e-04  1.06353561e-04 -6.48915771e-16  9.00000000e+00 -2.14176996e+00  3.09802410e-03  6.61612725e-01  1.08788478e+00  8.99999912e+00 -2.23053024e+00 -1.78456823e-01 -4.22684234e-15 
 1.07353561e-04  1.07353561e-04  6.72345087e-15  9.00000000e+00 -2.14259026e+00  3.12262158e-03  6.61614578e-01  1.08754304e+00  8.99999912e+00 -2.23256769e+00 -1.78584330e-01 -4.25987229e-15 
 1.08353561e-04  1.08353561e-04  1.56823878e-14  9.00000000e+00 -2.14316023e+00  3.14709579e-03  6.61616271e-01  1.08722149e+00  8.99999912e+00 -2.23435520e+00 -1.78691517e-01 -4.29272874e-15 
