time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),@ddiode7_1[id]
8.128e-05,2.54533109e-15,-9.0,-8.99999801,-8.99999803,7.91235014e-06,-0.791166197,-0.120751176,0.00244392847,-1.09709875e-17
8.228e-05,-4.65377975e-15,-9.0,-8.99999801,-8.99999803,7.88458052e-06,-0.791166224,-0.120751234,0.00247128743,-1.09324847e-17
8.328e-05,1.65721881e-15,-9.0,-8.99999801,-8.99999803,7.85649958e-06,-0.791166253,-0.120751292,0.00249854882,-1.08935503e-17
8.428e-05,3.11874487e-15,-9.0,-8.99999801,-8.99999803,7.82810846e-06,-0.791166281,-0.120751351,0.00252571157,-1.08541858e-17
8.528e-05,-4.52122594e-15,-9.0,-8.99999801,-8.99999803,7.79940831e-06,-0.79116631,-0.12075141,0.00255277462,-1.08143929e-17
8.628e-05,9.62364921e-16,-9.0,-8.99999801,-8.99999803,7.77040021e-06,-0.791166339,-0.12075147,0.00257973688,-1.07741729e-17
8.728e-05,3.6169432e-15,-9.0,-8.99999801,-8.99999803,7.74108536e-06,-0.791166368,-0.120751531,0.0026065973,-1.07335276e-17
8.828e-05,-4.28020941e-15,-9.0,-8.99999801,-8.99999803,7.71146487e-06,-0.791166398,-0.120751593,0.00263335482,-1.06924586e-17
8.928e-05,2.44134364e-16,-9.0,-8.99999801,-8.99999803,7.68153996e-06,-0.791166427,-0.120751655,0.00266000838,-1.06509674e-17
9.028e-05,4.02794077e-15,-9.0,-8.99999801,-8.99999803,7.65131177e-06,-0.791166458,-0.120751717,0.00268655692,-1.06090557e-17
9.128e-05,-3.93653222e-15,-9.0,-8.99999801,-8.99999803,7.62078151e-06,-0.791166488,-0.12075178,0.0027129994,-1.05667252e-17
9.228e-05,-4.80212635e-16,-9.0,-8.99999801,-8.99999803,7.58995038e-06,-0.791166519,-0.120751844,0.00273933478,-1.05239775e-17
9.328e-05,4.34184885e-15,-9.0,-8.99999801,-8.99999803,7.55881962e-06,-0.79116655,-0.120751909,0.00276556202,-1.04808144e-17
9.428e-05,-3.49846453e-15,-9.0,-8.99999801,-8.99999803,7.52739044e-06,-0.791166582,-0.120751974,0.00279168007,-1.04372375e-17
9.528e-05,-1.19326869e-15,-9.0,-8.99999801,-8.99999803,7.49566409e-06,-0.791166613,-0.12075204,0.00281768792,-1.03932485e-17
9.628e-05,4.55111307e-15,-9.0,-8.99999801,-8.99999803,7.46364182e-06,-0.791166645,-0.120752106,0.00284358452,-1.03488492e-17
9.728e-05,-2.97654577e-15,-9.0,-8.99999801,-8.99999803,7.43132489e-06,-0.791166678,-0.120752173,0.00286936887,-1.03040414e-17
9.828e-05,-1.8778978e-15,-9.0,-8.99999801,-8.99999803,7.39871457e-06,-0.79116671,-0.120752241,0.00289503994,-1.02588268e-17
9.928e-05,4.65069496e-15,-9.0,-8.99999801,-8.99999803,7.36581219e-06,-0.791166743,-0.120752309,0.00292059672,-1.02132072e-17
0.00010028,-2.38333122e-15,-9.0,-8.99999801,-8.99999803,7.332619e-06,-0.791166776,-0.120752378,0.00294603819,-1.01671843e-17
0.00010128,-2.51764731e-15,-9.0,-8.99999801,-8.99999803,7.29913633e-06,-0.79116681,-0.120752447,0.00297136337,-1.01207601e-17
0.00010228,4.63819316e-15,-9.0,-8.99999801,-8.99999803,7.26536553e-06,-0.791166844,-0.120752517,0.00299657124,-1.00739364e-17
0.00010328,-1.73309018e-15,-9.0,-8.99999801,-8.99999803,7.23130789e-06,-0.791166878,-0.120752587,0.00302166081,-1.00267149e-17
0.00010428,-3.09714344e-15,-9.0,-8.99999801,-8.99999803,7.19696478e-06,-0.791166912,-0.120752659,0.00304663109,-9.97909766e-18
0.00010528,4.51390111e-15,-9.0,-8.99999801,-8.99999803,7.16233755e-06,-0.791166947,-0.12075273,0.00307148109,-9.93108642e-18
0.00010628,-1.04146285e-15,-9.0,-8.99999801,-8.99999803,7.12742759e-06,-0.791166982,-0.120752803,0.00309620984,-9.88268316e-18
0.00010728,-3.60246096e-15,-9.0,-8.99999801,-8.99999803,7.09223623e-06,-0.791167017,-0.120752876,0.00312081635,-9.83388971e-18
0.00010828,4.28080005e-15,-9.0,-8.99999801,-8.99999803,7.05676491e-06,-0.791167052,-0.120752949,0.00314529966,-9.78470806e-18
0.00010928,-3.2508438e-16,-9.0,-8.99999801,-8.99999803,7.02101501e-06,-0.791167088,-0.120753023,0.0031696588,-9.73514016e-18
0.00011028,-4.02145793e-15,-9.0,-8.99999801,-8.99999803,6.98498795e-06,-0.791167124,-0.120753098,0.0031938928,-9.68518794e-18
0.00011128,3.9444873e-15,-9.0,-8.99999801,-8.99999803,6.94868512e-06,-0.79116716,-0.120753173,0.00321800072,-9.63485334e-18
0.00011228,3.98815118e-16,-9.0,-8.99999801,-8.99999803,6.91210801e-06,-0.791167197,-0.120753249,0.00324198159,-9.58413843e-18
0.00011328,-4.34406765e-15,-9.0,-8.99999801,-8.99999803,6.87525803e-06,-0.791167234,-0.120753325,0.00326583448,-9.53304517e-18
0.00011428,3.51304169e-15,-9.0,-8.99999801,-8.99999803,6.83813664e-06,-0.791167271,-0.120753402,0.00328955844,-9.48157555e-18
0.00011528,1.11282483e-15,-9.0,-8.99999801,-8.99999803,6.80074532e-06,-0.791167308,-0.12075348,0.00331315253,-9.42973165e-18
0.00011628,-4.56254065e-15,-9.0,-8.99999801,-8.99999803,6.76308553e-06,-0.791167346,-0.120753558,0.00333661582,-9.3775155e-18
0.00011728,2.9968294e-15,-9.0,-8.99999801,-8.99999803,6.72515877e-06,-0.791167384,-0.120753636,0.00335994739,-9.32492916e-18
0.00011828,1.79977181e-15,-9.0,-8.99999801,-8.99999803,6.68696652e-06,-0.791167422,-0.120753715,0.00338314632,-9.27197469e-18
0.00011928,-4.67163101e-15,-9.0,-8.99999801,-8.99999803,6.64851032e-06,-0.791167461,-0.120753795,0.00340621168,-9.21865424e-18
0.00012028,2.40825462e-15,-9.0,-8.99999801,-8.99999803,6.60979166e-06,-0.791167499,-0.120753875,0.00342914257,-9.16496984e-18
0.00012128,2.44313388e-15,-9.0,-8.99999801,-8.99999803,6.57081209e-06,-0.791167538,-0.120753956,0.00345193809,-9.11092366e-18
0.00012228,-4.66872251e-15,-9.0,-8.99999801,-8.99999803,6.53157314e-06,-0.791167577,-0.120754037,0.00347459733,-9.05651784e-18
0.00012328,1.76146143e-15,-9.0,-8.99999801,-8.99999803,6.49207636e-06,-0.791167617,-0.120754119,0.0034971194,-9.0017545e-18
