time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),@ddiode7_1[id]
0.00015728,-2.71592812e-20,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.406945e-23
0.00015828,-1.43759363e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694499e-23
0.00015928,1.57849572e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694502e-23
0.00016028,2.59556917e-22,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.406945e-23
0.00016128,-1.5808539e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694499e-23
0.00016228,1.4345453e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694502e-23
0.00016328,2.76720312e-20,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694501e-23
0.00016428,-1.68611014e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694499e-23
0.00016528,1.25610697e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694502e-23
0.00016628,5.441969e-20,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694501e-23
0.00016728,-1.75083349e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694499e-23
0.00016828,1.04747138e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694502e-23
0.00016928,7.98586644e-20,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694501e-23
0.00017028,-1.77346024e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694499e-23
0.00017128,8.13649865e-20,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694501e-23
0.00017228,1.03377538e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694502e-23
0.00017328,-1.75344369e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694499e-23
0.00017428,5.60268782e-20,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694501e-23
0.00017528,1.24410962e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694502e-23
0.00017628,-1.69128073e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694499e-23
0.00017728,2.9341711e-20,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694501e-23
0.00017828,1.42453632e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694502e-23
0.00017928,-1.58845208e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694499e-23
0.00018028,1.95135121e-21,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694501e-23
0.00018128,1.5707162e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694502e-23
0.00018228,-1.44743847e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694499e-23
0.00018328,-2.54862531e-20,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.406945e-23
0.00018428,1.67912984e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694502e-23
0.00018528,-1.27162204e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694499e-23
0.00018628,-5.23109547e-20,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.406945e-23
0.00018728,1.74717606e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694502e-23
0.00018828,-1.06523121e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694499e-23
0.00018928,-7.78781895e-20,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.406945e-23
0.00019028,1.77321751e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694502e-23
0.00019128,-8.33232068e-20,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.406945e-23
0.00019228,-1.01573309e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694499e-23
0.00019328,1.75662226e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694502e-23
0.00019428,-5.81200504e-20,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.406945e-23
