time,v(N001),v(N002),v(N003),v(N004),v(N005)
0.172995508,3.89437243,0.0,0.0637889815,0.672334185,0.0406057226
0.173495508,3.86774546,0.0,0.0634591862,0.671782421,0.0402771099
0.173995508,3.84130961,0.0,0.0631322993,0.671232593,0.0399508814
0.174495508,3.8150635,0.0,0.062807251,0.670685385,0.0396270112
0.174995508,3.78900579,0.0,0.0624850842,0.67014007,0.0393054913
0.175495508,3.7631351,0.0,0.0621647149,0.669597341,0.0389862957
0.175995508,3.73745009,0.0,0.0618472006,0.669056463,0.0386694169
0.176495508,3.71194942,0.0,0.0615314432,0.668518139,0.0383548292
0.176995508,3.68663178,0.0,0.061218515,0.667981621,0.0380425251
0.177495508,3.66149583,0.0,0.0609073033,0.667447626,0.0377324792
0.177995508,3.63654028,0.0,0.0605988957,0.666915396,0.0374246844
0.178495508,3.61176383,0.0,0.0602921646,0.666385655,0.0371191152
0.178995508,3.58716518,0.0,0.0599882129,0.665857638,0.0368157652
0.179495508,3.56274305,0.0,0.0596858981,0.665332079,0.0365146088
0.179995508,3.53849618,0.0,0.0593863387,0.664808202,0.0362156399
0.180495508,3.5144233,0.0,0.0590883769,0.664286752,0.0359188331
0.180995508,3.49052317,0.0,0.058793147,0.663766943,0.0356241827
0.181495508,3.46679453,0.0,0.0584994758,0.663249531,0.0353316633
0.181995508,3.44323616,0.0,0.0582085136,0.662733719,0.0350412695
0.182495508,3.41984682,0.0,0.0579190714,0.662220273,0.0347529762
0.182995508,3.3966253,0.0,0.057632316,0.661708388,0.0344667782
