time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009),v(N010),@dled12_1[id]
1.68656591,7.99999906,7.89095835,7.48472061,11.992095,12.0,11.3025783,10.336636,9.01103546,10.7986724,1.34790052,5.44529487e-05
1.68661591,7.99999906,7.89125657,7.48502274,11.9920952,12.0,11.3025992,10.7191045,9.10078559,10.8063141,1.34502301,5.44486221e-05
1.68666591,7.99999906,7.89155476,7.48532484,11.992095,12.0,11.3025783,10.4253406,9.18784955,10.8088621,1.33709405,5.44442931e-05
1.68671591,7.99999906,7.89185294,7.48562692,11.9920952,12.0,11.3025992,10.8045611,9.2722902,10.8164568,1.33425377,5.44399668e-05
1.68676591,7.99999906,7.89215109,7.48592898,11.992095,12.0,11.3025783,10.5088141,9.35420408,10.818965,1.32636888,5.44356376e-05
1.68681591,7.99999906,7.89244922,7.48623101,11.9920952,12.0,11.3025993,10.8849462,9.43364934,10.826513,1.32356559,5.44313122e-05
1.68686591,7.99999906,7.89274733,7.48653303,11.992095,12.0,11.3025783,10.587366,9.51071781,10.8289816,1.31572447,5.44269857e-05
1.68691591,7.99999906,7.89304541,7.48683502,11.9920952,12.0,11.3025993,10.9605597,9.58546318,10.8364834,1.31295797,5.44226601e-05
1.68696591,7.99999906,7.89334348,7.48713699,11.992095,12.0,11.3025783,10.6612875,9.65797286,10.8389128,1.30516033,5.4418333e-05
1.68701591,7.99999906,7.89364152,7.48743894,11.9920952,12.0,11.3025993,11.0316839,9.72829638,10.8463687,1.30243039,5.44140084e-05
1.68706591,7.99999906,7.89393954,7.48774086,11.992095,12.0,11.3025783,10.7308523,9.79651695,10.8487592,1.29467594,5.44096822e-05
1.68711591,7.99999906,7.89423754,7.48804277,11.9920952,12.0,11.3025993,11.0985845,9.86268019,10.8561698,1.29198233,5.44053573e-05
1.68716591,7.99999906,7.89453552,7.48834465,11.992095,12.0,11.3025783,10.7963182,9.92686538,10.8585217,1.28427078,5.4401033e-05
1.68721591,7.99999906,7.89483347,7.48864651,11.9920952,12.0,11.3025993,11.1615113,9.98911444,10.8658872,1.28161329,5.43967083e-05
1.68726591,7.99999906,7.8951314,7.48894835,11.992095,12.0,11.3025783,10.8579277,10.049503,10.8682009,1.27394434,5.43923855e-05
1.68731591,7.99999906,7.89542932,7.48925017,11.9920952,12.0,11.3025993,11.2206995,10.1080694,10.8755217,1.27132274,5.43880616e-05
1.68736591,7.99999906,7.8957272,7.48955196,11.992095,12.0,11.3025783,10.9159088,10.1648858,10.8777975,1.26369612,5.43837379e-05
1.68741591,7.99999906,7.89602507,7.48985374,11.9920952,12.0,11.3025993,11.2763701,10.2199875,10.8850741,1.26111019,5.43794147e-05
1.68746591,7.99999906,7.89632292,7.49015549,11.992095,12.0,11.3025783,10.9704762,10.2734432,10.8873123,1.2535256,5.43750936e-05
1.68751591,7.99999906,7.89662074,7.49045722,11.9920952,12.0,11.3025993,11.3287313,10.325285,10.8945451,1.25097513,5.43707692e-05
1.68756591,7.99999906,7.89691854,7.49075892,11.992095,12.0,11.3025783,11.0218317,10.3755787,10.896746,1.24343229,5.43664493e-05
1.68761591,7.99999906,7.89721632,7.49106061,11.9920952,12.0,11.3025993,11.3779789,10.4243535,10.9039353,1.24091704,5.43621271e-05
1.68766591,7.99999906,7.89751408,7.49136227,11.992095,12.0,11.3025783,11.0701655,10.4716723,10.9060992,1.23341567,5.43578053e-05
1.68771591,7.99999906,7.89781181,7.49166391,11.9920952,12.0,11.3025993,11.4242971,10.5175616,10.9132454,1.23093544,5.43534841e-05
1.68776591,7.99999906,7.89810953,7.49196553,11.992095,12.0,11.3025783,11.1156561,10.5620815,10.9153727,1.22347526,5.43491632e-05
1.68781591,7.99999906,7.89840722,7.49226713,11.9920952,12.0,11.3025993,11.4678593,10.605256,10.9224761,1.22102981,5.43448426e-05
1.68786591,7.99999906,7.89870489,7.49256871,11.992095,12.0,11.3025783,11.1584718,10.6471425,10.9245672,1.21361053,5.43405226e-05
1.68791591,7.99999906,7.89900254,7.49287026,11.9920952,12.0,11.3025993,11.5088285,10.6877628,10.9316282,1.21119966,5.43362043e-05
1.68796591,7.99999906,7.89930016,7.49317179,11.992095,12.0,11.3025783,11.1987709,10.7271719,10.9336832,1.20382101,5.43318839e-05
1.68801591,7.99999906,7.89959777,7.49347331,11.9920952,12.0,11.3025993,11.5473582,10.7653891,10.9407023,1.20144449,5.43275662e-05
1.68806591,7.99999906,7.89989535,7.49377479,11.992095,12.0,11.3025783,11.2367021,10.8024673,10.9427216,1.19410618,5.43232462e-05
1.68811591,7.99999906,7.90019291,7.49407626,11.9920952,12.0,11.3025993,11.5835927,10.8384236,10.949699,1.1917638,5.43189278e-05
1.68816591,7.99999906,7.90049045,7.4943777,11.992095,12.0,11.3025783,11.2724056,10.8733087,10.9516829,1.18446556,5.431461e-05
