 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)        
 1.73656553e-02  1.73656553e-02  1.80000000e+01  9.14947107e+00  9.07850262e+00  1.68534956e+01  1.49476365e-01  1.66885661e-01  9.07885246e+00  7.63183057e+00 -1.29284187e-03 
 1.73756553e-02  1.73756553e-02  1.80000000e+01  9.14083243e+00  9.07848433e+00  1.68539910e+01  1.40837869e-01  1.66867295e-01  9.07841750e+00  7.61327166e+00  8.78242057e-04 
 1.73856553e-02  1.73856553e-02  1.80000000e+01  9.13163798e+00  9.07851939e+00  1.68552873e+01  1.31643550e-01  1.66902284e-01  9.07884923e+00  7.59555854e+00 -1.19111739e-03 
 1.73956553e-02  1.73956553e-02  1.80000000e+01  9.12192400e+00  9.07850353e+00  1.68558158e+01  1.21929695e-01  1.66886356e-01  9.07845451e+00  7.57712313e+00  7.82928430e-04 
 1.74056553e-02  1.74056553e-02  1.80000000e+01  9.11172882e+00  9.07853619e+00  1.68570722e+01  1.11734638e-01  1.66918938e-01  9.07884779e+00  7.55946045e+00 -1.09855247e-03 
 1.74156553e-02  1.74156553e-02  1.80000000e+01  9.10109269e+00  9.07852255e+00  1.68576303e+01  1.01098616e-01  1.66905222e-01  9.07848965e+00  7.54114476e+00  6.96340757e-04 
 1.74256553e-02  1.74256553e-02  1.80000000e+01  9.09005759e+00  9.07855300e+00  1.68588501e+01  9.00636041e-02  1.66935612e-01  9.07884798e+00  7.52353534e+00 -1.01431603e-03 
 1.74356553e-02  1.74356553e-02  1.80000000e+01  9.07866705e+00  9.07835598e+00  1.68512660e+01  7.86731521e-02  1.66739024e-01  9.07647560e+00  7.49717811e+00  4.57730477e-04 
 1.74356556e-02  1.74356556e-02  1.80000000e+01  9.07866670e+00  9.07835517e+00  1.68512526e+01  7.86727995e-02  1.66738207e-01  9.07646256e+00  7.49716412e+00  4.42393758e-04 
 1.74356562e-02  1.74356562e-02  1.80000000e+01  9.07866599e+00  9.07835447e+00  1.68512407e+01  7.86720943e-02  1.66737511e-01  9.07645150e+00  7.49715115e+00  4.26767522e-04 
 1.74356574e-02  1.74356574e-02  1.80000000e+01  9.07866458e+00  9.07835320e+00  1.68512189e+01  7.86706840e-02  1.66736238e-01  9.07643123e+00  7.49712705e+00  3.97642270e-04 
 1.74356599e-02  1.74356599e-02  1.80000000e+01  9.07866176e+00  9.07835065e+00  1.68511754e+01  7.86678634e-02  1.66733691e-01  9.07639083e+00  7.49707896e+00  3.40539454e-04 
 1.74356648e-02  1.74356648e-02  1.80000000e+01  9.07865612e+00  9.07834555e+00  1.68510881e+01  7.86622220e-02  1.66728591e-01  9.07630990e+00  7.49698247e+00  2.30114632e-04 
 1.74356745e-02  1.74356745e-02  1.80000000e+01  9.07864484e+00  9.07833532e+00  1.68509124e+01  7.86509390e-02  1.66718366e-01  9.07614774e+00  7.49678844e+00  2.36992018e-05 
 1.74356941e-02  1.74356941e-02  1.80000000e+01  9.07862227e+00  9.07831478e+00  1.68505570e+01  7.86283723e-02  1.66697827e-01  9.07582245e+00  7.49639651e+00 -3.37584407e-04 
 1.74357331e-02  1.74357331e-02  1.80000000e+01  9.07857713e+00  9.07827325e+00  1.68498292e+01  7.85832351e-02  1.66656305e-01  9.07516652e+00  7.49559550e+00 -8.97389536e-04 
 1.74358113e-02  1.74358113e-02  1.80000000e+01  9.07848684e+00  9.07818933e+00  1.68483194e+01  7.84929467e-02  1.66572401e-01  9.07384798e+00  7.49393939e+00 -1.58414801e-03 
