time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009)
0.00103464699,18.0,9.04319554,9.04315957,12.2719749,0.0431956132,0.13193526,9.22991565,3.3587106,0.0121116004
0.00104464699,18.0,9.05537196,9.05531962,13.5024542,0.0553720868,0.14399403,9.23985255,4.5791456,0.0122934624
0.00105464699,18.0,9.06732985,9.0672572,14.7148616,0.067330032,0.155831753,9.24881287,5.77848597,0.011705112
0.00106464699,18.0,9.079022,9.0789206,15.9041135,0.0790222564,0.167397133,9.25672768,6.95170783,0.011758262
0.00107464699,18.0,9.09040227,9.08513829,16.8394665,0.090402616,0.173533083,9.20699443,7.86844339,0.00667805343
0.00108464699,18.0,9.10142576,9.07495081,16.8438369,0.101426198,0.163329165,9.01333528,7.85316204,-0.00671580326
0.00109464699,18.0,9.11204895,9.08010811,16.8418954,0.112049497,0.168494763,9.11132465,7.83161794,0.00603000503
0.00110464699,18.0,9.12222992,9.07755156,16.8453607,0.122230587,0.165933859,9.06230189,7.8155247,-0.00610908801
0.00111464699,18.0,9.1319285,9.07880749,16.8439772,0.13192929,0.167191894,9.08632766,7.79463174,0.00545985013
0.00112464699,18.0,9.1411064,9.07824247,16.8470535,0.141107328,0.166625695,9.07507974,7.77824251,-0.00556709587
0.00113464699,18.0,9.14972741,9.07848452,16.8459545,0.149728479,0.166868229,9.07985907,7.75772667,0.00494650709
0.00114464699,18.0,9.1577575,9.07843285,16.8487907,0.157758721,0.166816203,9.07837311,7.7411899,-0.0050767768
0.00115464699,18.0,9.16516497,9.07841749,16.8478917,0.165166361,0.166800907,9.07824325,7.72096618,0.0044811439
0.00116464699,18.0,9.17192061,9.07849228,16.8505392,0.171922165,0.166875556,9.07918529,7.70433273,-0.00463155875
0.00117464699,18.0,9.17799774,9.07841714,16.8498063,0.177999471,0.166800376,9.077894,7.68436685,0.00405844114
0.00118464699,18.0,9.18337238,9.07851766,16.8522895,0.183374294,0.166900809,9.07935252,7.66766089,-0.00422685454
0.00119464699,18.0,9.18802333,9.07843388,16.8517033,0.188025423,0.166816955,9.07787128,7.64793295,0.00367427328
0.00120464699,18.0,9.19193221,9.07853437,16.8540389,0.191934501,0.166917382,9.07935585,7.63117061,-0.00385885753
0.00121464699,18.0,9.19508362,9.07845471,16.8535846,0.195086101,0.166837646,9.07792907,7.61166545,0.00332507574
0.00122464699,18.0,9.19746511,9.07854905,16.8557862,0.197467786,0.166931915,9.07932099,7.59485986,-0.00352420209
