 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         @dled12_1[id]  
 2.20832008e-06  2.20832008e-06  9.92987675e-03  1.00065609e+00  9.00000000e+00  4.50496108e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 2.27457928e-06  2.27457928e-06  1.02277066e-02  1.00067564e+00  9.00000000e+00  4.50510999e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 2.35554253e-06  2.35554253e-06  1.05916192e-02  1.00069954e+00  9.00000000e+00  4.50529195e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 2.42185521e-06  2.42185521e-06  1.08896706e-02  1.00071911e+00  9.00000000e+00  4.50544097e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 2.49334455e-06  2.49334455e-06  1.12109779e-02  1.00074021e+00  9.00000000e+00  4.50560163e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 2.56977604e-06  2.56977604e-06  1.15544839e-02  1.00076277e+00  9.00000000e+00  4.50577338e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 2.67289205e-06  2.67289205e-06  1.20178959e-02  1.00079320e+00  9.00000000e+00  4.50600509e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 2.75561859e-06  2.75561859e-06  1.23896579e-02  1.00081761e+00  9.00000000e+00  4.50619097e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 2.85409630e-06  2.85409630e-06  1.28321838e-02  1.00084668e+00  9.00000000e+00  4.50641223e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 2.96569281e-06  2.96569281e-06  1.33336356e-02  1.00087961e+00  9.00000000e+00  4.50666296e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 3.14653133e-06  3.14653133e-06  1.41461634e-02  1.00093298e+00  9.00000000e+00  4.50706922e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 3.31575643e-06  3.31575643e-06  1.49064439e-02  1.00098292e+00  9.00000000e+00  4.50744936e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 3.49416911e-06  3.49416911e-06  1.57079315e-02  1.00103557e+00  9.00000000e+00  4.50785011e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 3.69990648e-06  3.69990648e-06  1.66320818e-02  1.00109629e+00  9.00000000e+00  4.50831218e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 3.94029450e-06  3.94029450e-06  1.77117590e-02  1.00116723e+00  9.00000000e+00  4.50885202e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 4.31796979e-06  4.31796979e-06  1.94077851e-02  1.00127868e+00  9.00000000e+00  4.50970004e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 4.65898489e-06  4.65898489e-06  2.09389061e-02  1.00137931e+00  9.00000000e+00  4.51046560e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 5.00000000e-06  5.00000000e-06  2.24697662e-02  1.00147993e+00  9.00000000e+00  4.51123103e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 5.06820302e-06  5.06820302e-06  2.27759017e-02  1.00150006e+00  9.00000000e+00  4.51138410e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 5.20460906e-06  5.20460906e-06  2.33881517e-02  1.00154031e+00  9.00000000e+00  4.51169022e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 5.47742115e-06  5.47742115e-06  2.46125266e-02  1.00162080e+00  9.00000000e+00  4.51230241e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 6.02304532e-06  6.02304532e-06  2.70607754e-02  1.00178180e+00  9.00000000e+00  4.51352654e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 7.11429367e-06  7.11429367e-06  3.19552697e-02  1.00210376e+00  9.00000000e+00  4.51597379e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 8.55702081e-06  8.55702081e-06  3.84221277e-02  1.00252938e+00  9.00000000e+00  4.51920722e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.14424751e-05  1.14424751e-05  5.13418590e-02  1.00338048e+00  9.00000000e+00  4.52566709e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.64424751e-05  1.64424751e-05  7.36854702e-02  1.00485485e+00  9.00000000e+00  4.53683891e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 2.14424751e-05  2.14424751e-05  9.59732924e-02  1.00632865e+00  9.00000000e+00  4.54798283e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 2.64424751e-05  2.64424751e-05  1.18205465e-01  1.00780190e+00  9.00000000e+00  4.55909893e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 3.14424751e-05  3.14424751e-05  1.40382126e-01  1.00927458e+00  9.00000000e+00  4.57018727e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 3.64424751e-05  3.64424751e-05  1.62503416e-01  1.01074670e+00  9.00000000e+00  4.58124793e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 4.14424751e-05  4.14424751e-05  1.84569472e-01  1.01221826e+00  9.00000000e+00  4.59228097e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 4.64424751e-05  4.64424751e-05  2.06580431e-01  1.01368926e+00  9.00000000e+00  4.60328646e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 5.14424751e-05  5.14424751e-05  2.28536432e-01  1.01515970e+00  9.00000000e+00  4.61426447e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 5.64424751e-05  5.64424751e-05  2.50437612e-01  1.01662958e+00  9.00000000e+00  4.62521507e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 6.14424751e-05  6.14424751e-05  2.72284108e-01  1.01809890e+00  9.00000000e+00  4.63613833e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 6.64424751e-05  6.64424751e-05  2.94076056e-01  1.01956766e+00  9.00000000e+00  4.64703432e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 7.14424751e-05  7.14424751e-05  3.15813592e-01  1.02103585e+00  9.00000000e+00  4.65790310e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 7.64424751e-05  7.64424751e-05  3.37496852e-01  1.02250349e+00  9.00000000e+00  4.66874474e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 8.14424751e-05  8.14424751e-05  3.59125972e-01  1.02397057e+00  9.00000000e+00  4.67955931e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 8.64424751e-05  8.64424751e-05  3.80701088e-01  1.02543710e+00  9.00000000e+00  4.69034688e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 9.14424751e-05  9.14424751e-05  4.02222333e-01  1.02690306e+00  9.00000000e+00  4.70110752e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 9.64424751e-05  9.64424751e-05  4.23689842e-01  1.02836847e+00  9.00000000e+00  4.71184128e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.01442475e-04  1.01442475e-04  4.45103749e-01  1.02983331e+00  9.00000000e+00  4.72254825e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.06442475e-04  1.06442475e-04  4.66464189e-01  1.03129760e+00  9.00000000e+00  4.73322848e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.11442475e-04  1.11442475e-04  4.87771295e-01  1.03276134e+00  9.00000000e+00  4.74388204e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.16442475e-04  1.16442475e-04  5.09025199e-01  1.03422451e+00  9.00000000e+00  4.75450901e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.21442475e-04  1.21442475e-04  5.30226036e-01  1.03568713e+00  9.00000000e+00  4.76510944e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.26442475e-04  1.26442475e-04  5.51373936e-01  1.03714920e+00  9.00000000e+00  4.77568340e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.31442475e-04  1.31442475e-04  5.72469032e-01  1.03861070e+00  9.00000000e+00  4.78623096e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.36442475e-04  1.36442475e-04  5.93511455e-01  1.04007166e+00  9.00000000e+00  4.79675218e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.41442475e-04  1.41442475e-04  6.14501335e-01  1.04153205e+00  9.00000000e+00  4.80724713e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.43358448e-04  1.43358448e-04  6.22530642e-01  1.04209152e+00  9.00000000e+00  4.81126179e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.44588036e-04  1.44588036e-04  6.27679443e-01  1.04245052e+00  9.00000000e+00  4.81383619e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.45321270e-04  1.45321270e-04  6.30748307e-01  1.04266459e+00  9.00000000e+00  4.81537063e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.45836595e-04  1.45836595e-04  6.32904460e-01  1.04281503e+00  9.00000000e+00  4.81644870e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.46273726e-04  1.46273726e-04  6.34733014e-01  1.04294264e+00  9.00000000e+00  4.81736298e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.46404158e-04  1.46404158e-04  6.35278543e-01  1.04298071e+00  9.00000000e+00  4.81763575e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.46444059e-04  1.46444059e-04  6.35445422e-01  1.04299236e+00  9.00000000e+00  4.81771919e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.46479175e-04  1.46479175e-04  6.35592283e-01  1.04300261e+00  9.00000000e+00  4.81779262e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.46504739e-04  1.46504739e-04  6.35699194e-01  1.04301007e+00  9.00000000e+00  4.81784607e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.46534584e-04  1.46534584e-04  6.35824009e-01  1.04301878e+00  9.00000000e+00  4.81790848e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.46571864e-04  1.46571864e-04  6.35979919e-01  1.04302967e+00  9.00000000e+00  4.81798643e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.46626503e-04  1.46626503e-04  6.36208413e-01  1.04304562e+00  9.00000000e+00  4.81810068e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.46735780e-04  1.46735780e-04  6.36665384e-01  1.04307751e+00  9.00000000e+00  4.81832917e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.46954334e-04  1.46954334e-04  6.37579250e-01  1.04314131e+00  9.00000000e+00  4.81878610e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.47391441e-04  1.47391441e-04  6.39406683e-01  1.04326890e+00  9.00000000e+00  4.81969982e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.48265657e-04  1.48265657e-04  6.43060352e-01  1.04352407e+00  9.00000000e+00  4.82152666e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.50014087e-04  1.50014087e-04  6.50362899e-01  1.04403436e+00  9.00000000e+00  4.82517793e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.53412093e-04  1.53412093e-04  6.64536863e-01  1.04502588e+00  9.00000000e+00  4.83226492e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.58412093e-04  1.58412093e-04  6.85349430e-01  1.04648440e+00  9.00000000e+00  4.84267122e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.63412093e-04  1.63412093e-04  7.06110027e-01  1.04794236e+00  9.00000000e+00  4.85305153e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.68412093e-04  1.68412093e-04  7.26818788e-01  1.04939976e+00  9.00000000e+00  4.86340592e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.73412093e-04  1.73412093e-04  7.47475843e-01  1.05085661e+00  9.00000000e+00  4.87373445e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.78412093e-04  1.78412093e-04  7.68081322e-01  1.05231291e+00  9.00000000e+00  4.88403720e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.83412093e-04  1.83412093e-04  7.88635353e-01  1.05376866e+00  9.00000000e+00  4.89431423e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.88412093e-04  1.88412093e-04  8.09138065e-01  1.05522385e+00  9.00000000e+00  4.90456560e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.93412093e-04  1.93412093e-04  8.29589586e-01  1.05667849e+00  9.00000000e+00  4.91479137e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.98412093e-04  1.98412093e-04  8.49990045e-01  1.05813257e+00  9.00000000e+00  4.92499161e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 2.03412093e-04  2.03412093e-04  8.70339567e-01  1.05958611e+00  9.00000000e+00  4.93516638e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 2.08412093e-04  2.08412093e-04  8.90638281e-01  1.06103909e+00  9.00000000e+00  4.94531575e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 2.13412093e-04  2.13412093e-04  9.10886314e-01  1.06249152e+00  9.00000000e+00  4.95543977e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 2.18412093e-04  2.18412093e-04  9.31083791e-01  1.06394340e+00  9.00000000e+00  4.96553852e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 2.23412093e-04  2.23412093e-04  9.51230840e-01  1.06539473e+00  9.00000000e+00  4.97561206e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
