time,v(H1_GATE),v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009),v(N010),v(N011),@ddiode7_1[id],@ddiode7_3[id],@ddiode7_4[id],@ddiode7_5[id]
0.0524589152,7.99239688,-14.8066034,0.00334930939,-14.8051461,7.99194862,-14.809478,0.823905248,0.413494147,7.99999196,8.0,0.0,1.23586176,-6.64712006e-08,4.48263579e-06,0.000196904526,7.78326881e-08
0.0525589152,7.99108985,-15.2735328,0.0133051259,-15.2750439,7.99154567,-15.2707104,0.823864919,0.418389845,7.99999155,8.0,0.0,1.23580059,-2.10812503e-08,-4.55817327e-06,-0.000196979571,6.43105597e-08
0.0526589152,7.99239677,-15.7313262,0.00427442894,-15.7298671,7.99194839,-15.734199,0.823905347,0.413951913,7.99999196,8.0,0.0,1.23586184,-6.21711698e-08,4.48374402e-06,0.000196904655,7.6467599e-08
0.0527589152,7.99108992,-16.1676569,0.0135542642,-16.1691668,7.99154546,-16.1648333,0.823864925,0.418512521,7.99999155,8.0,0.0,1.23580059,-1.99663795e-08,-4.55534587e-06,-0.000196975774,6.40062751e-08
0.0528589152,7.99239667,-16.5939703,0.00513863613,-16.5925095,7.99194818,-16.5968414,0.823905438,0.414379385,7.99999196,8.0,0.0,1.23586192,-5.81731445e-08,4.48484976e-06,0.000196904799,7.52144679e-08
0.0529589152,7.99109001,-16.9979688,0.0138236394,-16.9994774,7.99154526,-16.995144,0.823864934,0.418645151,7.99999155,8.0,0.0,1.23580059,-1.87615078e-08,-4.55254897e-06,-0.000196972023,6.36789286e-08
0.0530589152,7.99239658,-17.3911312,0.00595226199,-17.3896688,7.99194799,-17.3940007,0.823905522,0.414781696,7.99999196,8.0,0.0,1.23586199,-5.44248456e-08,4.48595521e-06,0.000196904958,7.40538539e-08
0.0531589152,7.99109011,-17.7611916,0.0141112052,-17.7626988,7.99154508,-17.7583654,0.823864947,0.418786721,7.99999155,8.0,0.0,1.23580059,-1.74759418e-08,-4.54977725e-06,-0.000196968312,6.33313721e-08
0.0532589152,7.99239652,-18.119663,0.00672359411,-18.1181991,7.99194781,-18.122531,0.8239056,0.415162965,7.99999196,8.0,0.0,1.23586205,-5.08846781e-08,4.4870619e-06,0.000196905133,7.29704771e-08
0.0533589152,7.99109022,-18.4543131,0.0144152033,-18.4558189,7.99154492,-18.4514857,0.823864963,0.418936359,7.99999155,8.0,0.0,1.23580059,-1.61176645e-08,-4.54702627e-06,-0.000196964635,6.29660768e-08
