 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)        
 7.39166216e-04  7.39166216e-04  1.80000000e+01  8.95011495e+00  8.95017644e+00  4.03554726e+00 -4.98842043e-02  3.96118756e-02  8.94401466e+00 -5.13737574e+00 -2.51314648e-04 
 7.49166216e-04  7.49166216e-04  1.80000000e+01  8.94999989e+00  8.95006187e+00  4.00757888e+00 -4.99993139e-02  3.94998545e-02  8.94685242e+00 -5.15248028e+00 -5.47081669e-05 
 7.59166216e-04  7.59166216e-04  1.80000000e+01  8.95008215e+00  8.95014427e+00  3.99927166e+00 -4.99170990e-02  3.95831971e-02  8.94989968e+00 -5.14791244e+00  1.42128181e-04 
 7.69166216e-04  7.69166216e-04  1.80000000e+01  8.95036142e+00  8.95042332e+00  4.01065774e+00 -4.96378841e-02  3.98615723e-02  8.95314449e+00 -5.12368926e+00  3.38409745e-04 
 7.79166216e-04  7.79166216e-04  1.80000000e+01  8.95083658e+00  8.95089793e+00  4.04169206e+00 -4.91627712e-02  4.03338848e-02  8.95657411e+00 -5.07990481e+00  5.33379865e-04 
 7.89166216e-04  7.89166216e-04  1.80000000e+01  8.95150576e+00  8.95156622e+00  4.09225256e+00 -4.84936353e-02  4.09982794e-02  8.96017511e+00 -5.01672981e+00  7.26262444e-04 
 7.99166216e-04  7.99166216e-04  1.80000000e+01  8.95236633e+00  8.95242557e+00  4.16214065e+00 -4.76331171e-02  4.18521475e-02  8.96393337e+00 -4.93441101e+00  9.16312520e-04 
 8.09166216e-04  8.09166216e-04  1.80000000e+01  8.95341488e+00  8.95347262e+00  4.25108186e+00 -4.65846128e-02  4.28921361e-02  8.96783413e+00 -4.83327029e+00  1.10277274e-03 
 8.19166216e-04  8.19166216e-04  1.80000000e+01  8.95464728e+00  8.95470324e+00  4.35872689e+00 -4.53522604e-02  4.41141599e-02  8.97186206e+00 -4.71370349e+00  1.28492041e-03 
 8.29166216e-04  8.29166216e-04  1.80000000e+01  8.95605866e+00  8.95611261e+00  4.48465279e+00 -4.39409232e-02  4.55134163e-02  8.97600130e+00 -4.57617897e+00  1.46202774e-03 
 8.39166216e-04  8.39166216e-04  1.80000000e+01  8.95764346e+00  8.95769517e+00  4.62836454e+00 -4.23561714e-02  4.70844025e-02  8.98023554e+00 -4.42123592e+00  1.63340564e-03 
 8.49166216e-04  8.49166216e-04  1.80000000e+01  8.95939541e+00  8.95944470e+00  4.78929691e+00 -4.06042590e-02  4.88209371e-02  8.98454808e+00 -4.24948231e+00  1.79836732e-03 
 8.59166216e-04  8.59166216e-04  1.80000000e+01  8.96130761e+00  8.96135431e+00  4.96681656e+00 -3.86921002e-02  5.07161831e-02  8.98892189e+00 -4.06159260e+00  1.95626901e-03 
 8.69166216e-04  8.69166216e-04  1.80000000e+01  8.96337250e+00  8.96341649e+00  5.16022448e+00 -3.66272414e-02  5.27626746e-02  8.99333970e+00 -3.85830512e+00  2.10647643e-03 
 8.79166216e-04  8.79166216e-04  1.80000000e+01  8.96558195e+00  8.96562310e+00  5.36875872e+00 -3.44178316e-02  5.49523461e-02  8.99778403e+00 -3.64041925e+00  2.24840244e-03 
 8.89166216e-04  8.89166216e-04  1.80000000e+01  8.96792722e+00  8.96796544e+00  5.59159735e+00 -3.20725903e-02  5.72765641e-02  9.00223732e+00 -3.40879225e+00  2.38147595e-03 
 8.99166216e-04  8.99166216e-04  1.80000000e+01  8.97039907e+00  8.97043427e+00  5.82786170e+00 -2.96007731e-02  5.97261613e-02  9.00668195e+00 -3.16433592e+00  2.50517669e-03 
 9.09166216e-04  9.09166216e-04  1.80000000e+01  8.97298774e+00  8.97301986e+00  6.07661986e+00 -2.70121353e-02  6.22914730e-02  9.01110034e+00 -2.90801294e+00  2.61900626e-03 
 9.19166216e-04  9.19166216e-04  1.80000000e+01  8.97568301e+00  8.97571199e+00  6.33689034e+00 -2.43168928e-02  6.49623754e-02  9.01547501e+00 -2.64083312e+00  2.72252002e-03 
 9.29166216e-04  9.29166216e-04  1.80000000e+01  8.97847424e+00  8.97850005e+00  6.60764598e+00 -2.15256827e-02  6.77283257e-02  9.01978868e+00 -2.36384932e+00  2.81530031e-03 
 9.39166216e-04  9.39166216e-04  1.80000000e+01  8.98135042e+00  8.98137303e+00  6.88781801e+00 -1.86495206e-02  7.05784044e-02  9.02402427e+00 -2.07815334e+00  2.89698550e-03 
 9.49166216e-04  9.49166216e-04  1.80000000e+01  8.98430020e+00  8.98431958e+00  7.17630034e+00 -1.56997573e-02  7.35013581e-02  9.02816504e+00 -1.78487155e+00  2.96724515e-03 
 9.59166216e-04  9.59166216e-04  1.80000000e+01  8.98731194e+00  8.98732806e+00  7.47195391e+00 -1.26880343e-02  7.64856445e-02  9.03219462e+00 -1.48516041e+00  3.02580654e-03 
 9.69166216e-04  9.69166216e-04  1.80000000e+01  8.99037375e+00  8.99038660e+00  7.77361123e+00 -9.62623737e-03  7.95194780e-02  9.03609708e+00 -1.18020188e+00  3.07243147e-03 
 9.79166216e-04  9.79166216e-04  1.80000000e+01  8.99347354e+00  8.99348312e+00  8.08008098e+00 -6.52645009e-03  8.25908769e-02  9.03985699e+00 -8.71198772e-01  3.10694054e-03 
 9.89166216e-04  9.89166216e-04  1.80000000e+01  8.99659909e+00  8.99660539e+00  8.39015280e+00 -3.40090590e-03  8.56877102e-02  9.04345949e+00 -5.59369926e-01  3.12919136e-03 
 9.99166216e-04  9.99166216e-04  1.80000000e+01  8.99973806e+00  8.99974106e+00  8.70260201e+00 -2.61939880e-04  8.87977462e-02  9.04689034e+00 -2.45945413e-01  3.13910072e-03 
 1.00916622e-03  1.00916622e-03  1.80000000e+01  9.00287806e+00  9.00287777e+00  9.01619452e+00  2.87805989e-03  9.19087008e-02  9.05013600e+00  6.78383505e-02  3.13662409e-03 
 1.01916622e-03  1.01916622e-03  1.80000000e+01  9.00600670e+00  9.00600312e+00  9.32969168e+00  6.00670128e-03  9.50082859e-02  9.05318363e+00  3.80743499e-01  3.12177584e-03 
 1.02916622e-03  1.02916622e-03  1.80000000e+01  9.00911162e+00  9.00910476e+00  9.64185524e+00  9.11163696e-03  9.80842585e-02  9.05602120e+00  6.91535620e-01  3.09460989e-03 
 1.03916622e-03  1.03916622e-03  1.80000000e+01  9.01218059e+00  9.01217044e+00  9.95145216e+00  1.21806132e-02  1.01124469e-01  9.05863750e+00  9.98988644e-01  3.05523803e-03 
 1.04916622e-03  1.04916622e-03  1.80000000e+01  9.01520148e+00  9.01518806e+00  1.02572596e+01  1.52015181e-02  1.04116909e-01  9.06102220e+00  1.30188970e+00  3.00381163e-03 
 1.05916622e-03  1.05916622e-03  1.80000000e+01  9.01816238e+00  9.01814569e+00  1.05580697e+01  1.81624295e-02  1.07049760e-01  9.06316588e+00  1.59904392e+00  2.94053828e-03 
 1.06916622e-03  1.06916622e-03  1.80000000e+01  9.02105159e+00  9.02103166e+00  1.08526944e+01  2.10516621e-02  1.09911438e-01  9.06506008e+00  1.88927918e+00  2.86566437e-03 
 1.07916622e-03  1.07916622e-03  1.80000000e+01  9.02385772e+00  9.02383456e+00  1.11399701e+01  2.38578135e-02  1.12690643e-01  9.06669735e+00  2.17145073e+00  2.77949009e-03 
 1.08916622e-03  1.08916622e-03  1.80000000e+01  9.02656969e+00  9.02654334e+00  1.14187623e+01  2.65698089e-02  1.15376399e-01  9.06807121e+00  2.44444575e+00  2.68235296e-03 
 1.09916622e-03  1.09916622e-03  1.80000000e+01  9.02917680e+00  9.02914729e+00  1.16879701e+01  2.91769455e-02  1.17958101e-01  9.06917627e+00  2.70718774e+00  2.57464119e-03 
 1.10916622e-03  1.10916622e-03  1.80000000e+01  9.03166875e+00  9.03163613e+00  1.19465307e+01  3.16689340e-02  1.20425559e-01  9.07000819e+00  2.95864084e+00  2.45677805e-03 
 1.11916622e-03  1.11916622e-03  1.80000000e+01  9.03403573e+00  9.03400004e+00  1.21934232e+01  3.40359397e-02  1.22769033e-01  9.07056371e+00  3.19781389e+00  2.32923380e-03 
 1.12916622e-03  1.12916622e-03  1.80000000e+01  9.03626837e+00  9.03622970e+00  1.24276733e+01  3.62686210e-02  1.24979274e-01  9.07084066e+00  3.42376439e+00  2.19251074e-03 
 1.13916622e-03  1.13916622e-03  1.80000000e+01  9.03835788e+00  9.03831630e+00  1.26483566e+01  3.83581667e-02  1.27047563e-01  9.07083800e+00  3.63560226e+00  2.04715384e-03 
 1.14916622e-03  1.14916622e-03  1.80000000e+01  9.04029601e+00  9.04025162e+00  1.28546025e+01  4.02963302e-02  1.28965744e-01  9.07055578e+00  3.83249336e+00  1.89373639e-03 
