time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007)
0.319781616,5.0,4.27394766,4.32367442,0.82522227,0.0820159582,-1.69091295,3.71620833
0.320781616,5.0,4.27399916,4.32398612,0.779592579,0.0904071185,-1.61816456,3.71837522
0.321781616,5.0,4.2739552,4.3275198,0.82136182,0.0832445862,-1.56159517,3.80460944
0.322781616,5.0,4.27400668,4.32758601,0.776010934,0.0916319109,-1.49009524,3.80062466
0.323781616,5.0,4.27396233,4.33135291,0.81801973,0.0844077058,-1.43481985,3.88113538
0.324781616,5.0,4.27401378,4.33114071,0.772908091,0.0927864022,-1.36454868,3.87185902
0.325781616,5.0,4.27396902,4.33517142,0.815125878,0.0854973429,-1.31054617,3.94744967
0.326781616,5.0,4.27402041,4.33464463,0.77021875,0.0938641075,-1.24148295,3.93362002
0.327781616,5.0,4.27397522,4.33897249,0.812619501,0.0865078947,-1.18873174,4.00498121
0.328781616,5.0,4.27402654,4.33809174,0.767886342,0.0948608734,-1.12085467,3.98723194
0.329781616,5.0,4.27398092,4.34275278,0.810447959,0.0874360179,-1.06933277,4.05495728
0.330781616,5.0,4.27403216,4.34147569,0.765861885,0.0957747124,-1.00261908,4.03383217
0.331781616,5.0,4.2739861,4.34650836,0.808565668,0.0882804398,-0.952304242,4.09843193
0.332781616,5.0,4.27403727,4.34478986,0.764102984,0.0966055705,-0.886730411,4.07439749
0.333781616,5.0,4.27399078,4.35023464,0.806933165,0.0890417114,-0.83760021,4.13631028
0.334781616,5.0,4.27404188,4.34802753,0.76257297,0.0973550463,-0.773142103,4.10976669
0.335781616,5.0,4.27399496,4.3539264,0.805516301,0.0897219232,-0.725174079,4.1693695
0.336781616,5.0,4.27404601,4.35118205,0.761240144,0.0980260847,-0.661807163,4.1406599
0.337781616,5.0,4.27399866,4.35757779,0.804285526,0.090324404,-0.614978925,4.19827672
0.338781616,5.0,4.27404969,4.35424705,0.760077127,0.0986226647,-0.552678469,4.16769531
0.339781616,5.0,4.27400191,4.36118237,0.803215285,0.090853422,-0.506967793,4.22360453
0.340781616,5.0,4.27405293,4.35721668,0.759060292,0.0991494999,-0.445709078,4.19140349
0.341781616,5.0,4.27400474,4.36473324,0.802283479,0.0913139026,-0.401093978,4.24584425
0.342781616,5.0,4.27405578,4.36008584,0.758169277,0.0996117643,-0.340852485,4.21223971
0.343781616,5.0,4.27400718,4.3682232,0.801471008,0.0917111755,-0.297311271,4.2654174
0.344781616,5.0,4.27405826,4.3628504,0.757386551,0.100014855,-0.23806286,4.23059464
0.345781616,5.0,4.27400926,4.37164497,0.800761371,0.0920507553,-0.195574164,4.28268557
0.346781616,5.0,4.27406041,4.36550736,0.756697048,0.100364194,-0.137295223,4.24680342
0.347781616,5.0,4.27401103,4.3749914,0.800140322,0.0923381612,-0.0958380142,4.29795892
0.348781616,5.0,4.27406213,4.36869316,0.756100559,0.100635631,-0.0385348915,4.26119007
0.349781616,5.0,4.27401204,4.38026354,0.799659161,0.0924943397,0.00185708178,4.31168642
0.350781616,5.0,4.27406397,4.37001726,0.755519642,0.100942317,0.0583697081,4.27403089
0.351781616,5.0,4.27401322,4.38371709,0.799188161,0.092686782,0.0977153156,4.32384058
0.352781616,5.0,4.27406536,4.37226231,0.755031122,0.101167477,0.153337901,4.28546275
0.353781616,5.0,4.27401417,4.38711738,0.798775482,0.0928411398,0.191699013,4.33469269
0.354781616,5.0,4.27406654,4.37438659,0.754593516,0.101358922,0.246453947,4.29567755
0.355781616,5.0,4.27401491,4.39043786,0.798412259,0.0929625969,0.2838492,4.34441102
0.356781616,5.0,4.27406753,4.37640109,0.754200233,0.101520386,0.337757035,4.30483238
0.357781616,5.0,4.27401548,4.39367177,0.798091537,0.0930553821,0.374205177,4.3531405
0.358781616,5.0,4.27406791,4.38065326,0.753926302,0.101573836,0.427204114,4.31322513
0.359781616,5.0,4.27401591,4.39695584,0.797805247,0.093125171,0.462807476,4.36116593
0.360781616,5.0,4.27406912,4.38013111,0.753510332,0.101778444,0.515087689,4.32061811
0.361781616,5.0,4.2740164,4.3998853,0.797512503,0.0932045592,0.549719896,4.36817314
0.362781616,5.0,4.27409233,4.38270533,0.749387204,0.105535841,0.604792312,4.32014796
0.363781616,5.0,4.27402104,4.39932366,0.796427276,0.0939596064,0.635532799,4.36642012
0.364781616,5.0,4.27665501,4.27389313,-3.45709916,0.50131548,0.910732414,0.0732556133
0.365781616,5.0,4.27897826,4.27387243,-3.37899187,0.82817107,0.952869864,0.0699504518
