 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)         v(N010)         v(N011)        
 6.50449917e-04  6.50449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.12988584e-02 -1.14862500e-02 -3.29623398e-01 -1.54843688e-02  4.18733715e-03 -3.29330804e-01 -1.62135075e-02 
 6.60449917e-04  6.60449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.19639514e-02 -1.21542634e-02 -3.42301473e-01 -1.61567495e-02  4.18660955e-03 -3.42035079e-01 -1.69167857e-02 
 6.70449917e-04  6.70449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.25649702e-02 -1.27583827e-02 -3.53764907e-01 -1.67653437e-02  4.18585307e-03 -3.53525713e-01 -1.75533011e-02 
 6.80449917e-04  6.80449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.30995430e-02 -1.32962086e-02 -3.63968347e-01 -1.73077498e-02  4.18507068e-03 -3.63757349e-01 -1.81205415e-02 
 6.90449917e-04  6.90449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.35655595e-02 -1.37656331e-02 -3.72871626e-01 -1.77818271e-02  4.18426542e-03 -3.72689605e-01 -1.86162685e-02 
 7.00449917e-04  7.00449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.39611807e-02 -1.41647887e-02 -3.80439497e-01 -1.81857047e-02  4.18344046e-03 -3.80287223e-01 -1.90385256e-02 
 7.10449917e-04  7.10449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.42848446e-02 -1.44921146e-02 -3.86642192e-01 -1.85177885e-02  4.18259903e-03 -3.86520215e-01 -1.93856463e-02 
 7.20449917e-04  7.20449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.45352741e-02 -1.47463040e-02 -3.91455126e-01 -1.87767683e-02  4.18174443e-03 -3.91363978e-01 -1.96562607e-02 
 7.30449917e-04  7.30449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.47114802e-02 -1.49263682e-02 -3.94859400e-01 -1.89616216e-02  4.18087999e-03 -3.94799390e-01 -1.98493009e-02 
 7.40449917e-04  7.40449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.48127677e-02 -1.50315818e-02 -3.96841475e-01 -1.90716193e-02  4.18000910e-03 -3.96812891e-01 -1.99640049e-02 
 7.50449917e-04  7.50449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.48387363e-02 -1.50615438e-02 -3.97393621e-01 -1.91063268e-02  4.17913519e-03 -3.97396526e-01 -1.99999201e-02 
 7.60449917e-04  7.60449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.47892836e-02 -1.50161214e-02 -3.96513559e-01 -1.90656077e-02  4.17826166e-03 -3.96547991e-01 -1.99569047e-02 
 7.70449917e-04  7.70449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.46646042e-02 -1.48955078e-02 -3.94204853e-01 -1.89496223e-02  4.17739195e-03 -3.94270626e-01 -1.98351286e-02 
 7.80449917e-04  7.80449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.44651903e-02 -1.47001648e-02 -3.90476514e-01 -1.87588286e-02  4.17652946e-03 -3.90573419e-01 -1.96350723e-02 
 7.90449917e-04  7.90449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.41918283e-02 -1.44308770e-02 -3.85343347e-01 -1.84939793e-02  4.17567757e-03 -3.85470951e-01 -1.93575253e-02 
 8.00449917e-04  8.00449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.38455972e-02 -1.40886932e-02 -3.78825511e-01 -1.81561199e-02  4.17483961e-03 -3.78983361e-01 -1.90035831e-02 
 8.10449917e-04  8.10449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.34278628e-02 -1.36749772e-02 -3.70948818e-01 -1.77465837e-02  4.17401887e-03 -3.71136241e-01 -1.85746423e-02 
 8.20449917e-04  8.20449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.29402739e-02 -1.31913480e-02 -3.61744256e-01 -1.72669870e-02  4.17321857e-03 -3.61960563e-01 -1.80723960e-02 
