 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         @dled12_1[id]   @dled12_2[id]  
 4.78981985e-02  4.78981985e-02  0.00000000e+00  9.00000000e+00  7.27815124e+00  7.73162804e+00  7.55892339e-01  1.43671250e-01 -3.23696239e+00  7.71115166e+00  1.51797447e-02  4.41445738e-05 
 4.88981985e-02  4.88981985e-02  0.00000000e+00  9.00000000e+00  7.27826729e+00  7.75461968e+00  7.53631855e-01  1.47855327e-01 -2.97520417e+00  7.74301755e+00  1.51710917e-02  2.84078041e-05 
 4.98981985e-02  4.98981985e-02  0.00000000e+00  9.00000000e+00  7.27827221e+00  7.77403629e+00  7.53361768e-01  1.48032671e-01 -2.72292117e+00  7.76485635e+00  1.51707224e-02  1.95370711e-05 
 5.08981985e-02  5.08981985e-02  0.00000000e+00  9.00000000e+00  7.27833444e+00  7.78774129e+00  7.52531427e-01  1.50275872e-01 -2.47390532e+00  7.78098246e+00  1.51660828e-02  1.50048779e-05 
 5.18981985e-02  5.18981985e-02  0.00000000e+00  9.00000000e+00  7.27831627e+00  7.79942953e+00  7.52514053e-01  1.49620763e-01 -2.23299966e+00  7.79396692e+00  1.51674373e-02  1.19766727e-05 
 5.28981985e-02  5.28981985e-02  0.00000000e+00  9.00000000e+00  7.27836307e+00  7.80881118e+00  7.52032181e-01  1.51307857e-01 -1.99484818e+00  7.80420105e+00  1.51639477e-02  9.99367894e-06 
 5.38981985e-02  5.38981985e-02  0.00000000e+00  9.00000000e+00  7.27833447e+00  7.81732625e+00  7.52151751e-01  1.50276935e-01 -1.76439980e+00  7.81340106e+00  1.51660800e-02  8.47930110e-06 
 5.48981985e-02  5.48981985e-02  0.00000000e+00  9.00000000e+00  7.27837803e+00  7.82429722e+00  7.51753701e-01  1.51847028e-01 -1.53622937e+00  7.82084821e+00  1.51628323e-02  7.41175067e-06 
 5.58981985e-02  5.58981985e-02  0.00000000e+00  9.00000000e+00  7.27834482e+00  7.83096250e+00  7.51934253e-01  1.50649767e-01 -1.31560073e+00  7.82792723e+00  1.51653088e-02  6.51683541e-06 
 5.68981985e-02  5.68981985e-02  0.00000000e+00  9.00000000e+00  7.27838691e+00  7.83645014e+00  7.51576329e-01  1.52167002e-01 -1.09693103e+00  7.83371178e+00  1.51621703e-02  5.86163369e-06 
 5.78981985e-02  5.78981985e-02  0.00000000e+00  9.00000000e+00  7.27835121e+00  7.84192226e+00  7.51788397e-01  1.50880191e-01 -8.85639427e-01  7.83945841e+00  1.51648322e-02  5.27383928e-06 
 5.88981985e-02  5.88981985e-02  0.00000000e+00  9.00000000e+00  7.27839257e+00  7.84641541e+00  7.51452271e-01  1.52370885e-01 -6.76047864e-01  7.84415180e+00  1.51617486e-02  4.83549251e-06 
 5.98981985e-02  5.98981985e-02  0.00000000e+00  9.00000000e+00  7.27835539e+00  7.85106012e+00  7.51682548e-01  1.51030976e-01 -4.73669565e-01  7.84899132e+00  1.51645203e-02  4.42059943e-06 
 6.08981985e-02  6.08981985e-02  0.00000000e+00  9.00000000e+00  7.27839635e+00  7.85484397e+00  7.51359472e-01  1.52507192e-01 -2.72765470e-01  7.85291814e+00  1.51614666e-02  4.10903333e-06 
 6.18981985e-02  6.18981985e-02  0.00000000e+00  9.00000000e+00  7.27835823e+00  7.85888364e+00  7.51601199e-01  1.51133455e-01 -7.89109151e-02  7.85710310e+00  1.51643083e-02  3.80058791e-06 
 6.28981985e-02  6.28981985e-02  0.00000000e+00  9.00000000e+00  7.27839896e+00  7.86213774e+00  7.51286538e-01  1.52601273e-01  1.13673996e-01  7.86046375e+00  1.51612720e-02  3.56903040e-06 
 6.38981985e-02  6.38981985e-02  0.00000000e+00  9.00000000e+00  7.27836021e+00  7.86571686e+00  7.51535950e-01  1.51204808e-01  2.99370269e-01  7.86415540e+00  1.51641607e-02  3.33059696e-06 
 6.48981985e-02  6.48981985e-02  0.00000000e+00  9.00000000e+00  7.27841310e+00  7.86759788e+00  7.51054856e-01  1.53111131e-01  4.84421951e-01  7.86608862e+00  1.51602170e-02  3.21173287e-06 
 6.50231985e-02  6.50231985e-02  0.00000000e+00  9.00000000e+00  7.27840806e+00  7.86740157e+00  7.50953227e-01  1.52929215e-01  5.06826228e-01  7.86588632e+00  1.51605933e-02  3.22393682e-06 
 6.52731985e-02  6.52731985e-02  0.00000000e+00  9.00000000e+00  7.27861227e+00  7.86140122e+00  7.48220453e-01  1.60288812e-01  5.59208071e-01  7.85969978e+00  1.51453692e-02  3.62016815e-06 
 6.52809546e-02  6.52809546e-02  0.00000000e+00  9.00000000e+00  7.27863992e+00  7.86088007e+00  7.47912773e-01  1.61285023e-01  5.61595929e-01  7.85916138e+00  1.51433083e-02  3.65679785e-06 
 6.52964668e-02  6.52964668e-02  0.00000000e+00  9.00000000e+00  7.27872153e+00  7.85954234e+00  7.47054644e-01  1.64225736e-01  5.67318766e-01  7.85777866e+00  1.51372252e-02  3.75252669e-06 
 6.52976251e-02  6.52976251e-02  0.00000000e+00  9.00000000e+00  7.27908887e+00  7.85660279e+00  7.44088357e-01  1.77457557e-01  5.80757529e-01  7.85473606e+00  1.51098539e-02  3.97177073e-06 
 6.52976480e-02  6.52976480e-02  0.00000000e+00  9.00000000e+00  7.27910140e+00  7.85648349e+00  7.43966302e-01  1.77908921e-01  5.81212983e-01  7.85461247e+00  1.51089202e-02  3.98093365e-06 
 6.52976938e-02  6.52976938e-02  0.00000000e+00  9.00000000e+00  7.27913780e+00  7.85612965e+00  7.43602810e-01  1.79219665e-01  5.82531897e-01  7.85424582e+00  1.51062090e-02  4.00823620e-06 
 6.52977053e-02  6.52977053e-02  0.00000000e+00  9.00000000e+00  7.27915333e+00  7.85596741e+00  7.43435459e-01  1.79778695e-01  5.83092964e-01  7.85407764e+00  1.51050525e-02  4.02081721e-06 
 6.52977282e-02  6.52977282e-02  0.00000000e+00  9.00000000e+00  7.27919266e+00  7.85556630e+00  7.43021383e-01  1.81195167e-01  5.84513503e-01  7.85366187e+00  1.51021226e-02  4.05209118e-06 
 6.52977291e-02  6.52977291e-02  0.00000000e+00  9.00000000e+00  7.27919468e+00  7.85553746e+00  7.42991500e-01  1.81267683e-01  5.84586179e-01  7.85363192e+00  1.51019723e-02  4.05434856e-06 
 6.52977309e-02  6.52977309e-02  0.00000000e+00  9.00000000e+00  7.27919879e+00  7.85549283e+00  7.42945360e-01  1.81415820e-01  5.84734633e-01  7.85358564e+00  1.51016659e-02  4.05784555e-06 
