 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         @dled12_1[id]   @dled12_2[id]  
 1.84667602e-02  1.84667602e-02  5.00000000e+00  4.33621081e+00  4.27400090e+00 -1.92696415e+00  3.95966674e+00  7.92300521e-01  9.06832029e-02  1.39829447e-03  1.54937693e-02 
 1.94667602e-02  1.94667602e-02  5.00000000e+00  4.33803418e+00  4.27400531e+00 -1.85958095e+00  3.98710977e+00  7.91080493e-01  9.14003307e-02  1.30311438e-03  1.54911298e-02 
 2.04667602e-02  2.04667602e-02  5.00000000e+00  4.33985169e+00  4.27400680e+00 -1.79331823e+00  4.01273441e+00  7.89989540e-01  9.16432387e-02  1.21468868e-03  1.54902355e-02 
 2.14667602e-02  2.14667602e-02  5.00000000e+00  4.34165695e+00  4.27401105e+00 -1.72724781e+00  4.03658157e+00  7.88927609e-01  9.23337456e-02  1.13279980e-03  1.54876939e-02 
 2.24667602e-02  2.24667602e-02  5.00000000e+00  4.34345581e+00  4.27401219e+00 -1.66231543e+00  4.05887167e+00  7.87984475e-01  9.25196921e-02  1.05669258e-03  1.54870093e-02 
 2.34667602e-02  2.34667602e-02  5.00000000e+00  4.34524091e+00  4.27401627e+00 -1.59753308e+00  4.07962470e+00  7.87058997e-01  9.31828614e-02  9.86223474e-04  1.54845684e-02 
 2.44667602e-02  2.44667602e-02  5.00000000e+00  4.34701909e+00  4.27401707e+00 -1.53390508e+00  4.09904520e+00  7.86243478e-01  9.33126219e-02  9.20699969e-04  1.54840905e-02 
 2.54667602e-02  2.54667602e-02  5.00000000e+00  4.34878187e+00  4.27402098e+00 -1.47038583e+00  4.11713504e+00  7.85435731e-01  9.39484525e-02  8.60041742e-04  1.54817503e-02 
 2.64667602e-02  2.64667602e-02  5.00000000e+00  4.35053722e+00  4.27402144e+00 -1.40803581e+00  4.13408524e+00  7.84730346e-01  9.40237163e-02  8.03610549e-04  1.54814731e-02 
 2.74667602e-02  2.74667602e-02  5.00000000e+00  4.35227543e+00  4.27402518e+00 -1.34575463e+00  4.14988201e+00  7.84024144e-01  9.46327996e-02  7.51379948e-04  1.54792312e-02 
 2.84667602e-02  2.84667602e-02  5.00000000e+00  4.35400573e+00  4.27402533e+00 -1.28465596e+00  4.16470484e+00  7.83413779e-01  9.46559897e-02  7.02758875e-04  1.54791457e-02 
 2.94667602e-02  2.94667602e-02  5.00000000e+00  4.35571705e+00  4.27402892e+00 -1.22358783e+00  4.17852637e+00  7.82795134e-01  9.52393855e-02  6.57766629e-04  1.54769984e-02 
 3.04667602e-02  3.04667602e-02  5.00000000e+00  4.35742003e+00  4.27402876e+00 -1.16371384e+00  4.19151626e+00  7.82266726e-01  9.52134781e-02  6.15853360e-04  1.54770936e-02 
 3.14667602e-02  3.14667602e-02  5.00000000e+00  4.35910211e+00  4.27403220e+00 -1.10383389e+00  4.20363544e+00  7.81723554e-01  9.57725945e-02  5.77077013e-04  1.54750357e-02 
 3.24667602e-02  3.24667602e-02  5.00000000e+00  4.36077549e+00  4.27403176e+00 -1.04515801e+00  4.21504520e+00  7.81265818e-01  9.57009474e-02  5.40923936e-04  1.54752993e-02 
 3.34667602e-02  3.34667602e-02  5.00000000e+00  4.36242599e+00  4.27403506e+00 -9.86441645e-01  4.22569630e+00  7.80787687e-01  9.62374311e-02  5.07484534e-04  1.54733247e-02 
 3.44667602e-02  3.44667602e-02  5.00000000e+00  4.36406755e+00  4.27403436e+00 -9.28937567e-01  4.23574293e+00  7.80390879e-01  9.61236283e-02  4.76277139e-04  1.54737434e-02 
 3.54667602e-02  3.54667602e-02  5.00000000e+00  4.36568420e+00  4.27403753e+00 -8.71360529e-01  4.24512706e+00  7.79968787e-01  9.66392693e-02  4.47419218e-04  1.54718455e-02 
 3.64667602e-02  3.64667602e-02  5.00000000e+00  4.36729177e+00  4.27403659e+00 -8.15002359e-01  4.25399680e+00  7.79624500e-01  9.64869869e-02  4.20457549e-04  1.54724060e-02 
 3.74667602e-02  3.74667602e-02  5.00000000e+00  4.36887243e+00  4.27403965e+00 -7.58540806e-01  4.26228654e+00  7.79250685e-01  9.69836375e-02  3.95531947e-04  1.54705779e-02 
 3.84667602e-02  3.84667602e-02  5.00000000e+00  4.37044400e+00  4.27403850e+00 -7.03303139e-01  4.27013924e+00  7.78951668e-01  9.67965333e-02  3.72214673e-04  1.54712665e-02 
 3.94667602e-02  3.94667602e-02  5.00000000e+00  4.37198666e+00  4.27404145e+00 -6.47933708e-01  4.27748269e+00  7.78619438e-01  9.72760438e-02  3.50663767e-04  1.54695016e-02 
 4.04667602e-02  4.04667602e-02  5.00000000e+00  4.37352041e+00  4.27404010e+00 -5.93791713e-01  4.28445551e+00  7.78359443e-01  9.70576706e-02  3.30474489e-04  1.54703053e-02 
 4.14667602e-02  4.14667602e-02  5.00000000e+00  4.37502329e+00  4.27404296e+00 -5.39491558e-01  4.29097977e+00  7.78063038e-01  9.75218394e-02  3.11819500e-04  1.54685968e-02 
 4.24667602e-02  4.24667602e-02  5.00000000e+00  4.37651761e+00  4.27404144e+00 -4.86421031e-01  4.29719041e+00  7.77836684e-01  9.72755808e-02  2.94314967e-04  1.54695032e-02 
 4.34667602e-02  4.34667602e-02  5.00000000e+00  4.37797918e+00  4.27404422e+00 -4.33167845e-01  4.30300453e+00  7.77571146e-01  9.77261184e-02  2.78145032e-04  1.54678449e-02 
 4.44667602e-02  4.44667602e-02  5.00000000e+00  4.37943273e+00  4.27404255e+00 -3.81145242e-01  4.30855398e+00  7.77373804e-01  9.74551445e-02  2.62944997e-04  1.54688423e-02 
 4.54667602e-02  4.54667602e-02  5.00000000e+00  4.38085174e+00  4.27404525e+00 -3.28917273e-01  4.31375157e+00  7.77134871e-01  9.78936490e-02  2.48907747e-04  1.54672282e-02 
 4.64667602e-02  4.64667602e-02  5.00000000e+00  4.38226348e+00  4.27404345e+00 -2.77919724e-01  4.31872651e+00  7.76962561e-01  9.76008897e-02  2.35686213e-04  1.54683058e-02 
 4.74667602e-02  4.74667602e-02  5.00000000e+00  4.38363900e+00  4.27404608e+00 -2.26695775e-01  4.32338791e+00  7.76746572e-01  9.80288323e-02  2.23479648e-04  1.54667306e-02 
 4.84667602e-02  4.84667602e-02  5.00000000e+00  4.38500817e+00  4.27404416e+00 -1.76701089e-01  4.32786276e+00  7.76595875e-01  9.77169638e-02  2.11957313e-04  1.54678786e-02 
 4.94667602e-02  4.94667602e-02  5.00000000e+00  4.38633958e+00  4.27404674e+00 -1.26460512e-01  4.33205696e+00  7.76399686e-01  9.81356820e-02  2.01322777e-04  1.54663373e-02 
 5.04667602e-02  5.04667602e-02  5.00000000e+00  4.38766575e+00  4.27404472e+00 -7.74471621e-02  4.33609566e+00  7.76267669e-01  9.78071249e-02  1.91260503e-04  1.54675467e-02 
 5.14667602e-02  5.14667602e-02  5.00000000e+00  4.38895274e+00  4.27404724e+00 -2.81698516e-02  4.33988194e+00  7.76088584e-01  9.82178218e-02  1.81976608e-04  1.54660350e-02 
 5.24667602e-02  5.24667602e-02  5.00000000e+00  4.39023579e+00  4.27404513e+00  1.98830387e-02  4.34353942e+00  7.75972730e-01  9.78747474e-02  1.73169767e-04  1.54672978e-02 
 5.34667602e-02  5.34667602e-02  5.00000000e+00  4.39147838e+00  4.27404762e+00  6.82166655e-02  4.34696875e+00  7.75808440e-01  9.82784953e-02  1.65047143e-04  1.54658116e-02 
