time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),@dled12_1[id],@dled12_2[id]
2.20787184,0.0,9.0,7.27999884,7.81759998,0.729748943,0.210210112,0.616034234,7.81363581,0.0150421037,8.43441487e-06
2.20787184,0.0,9.0,7.27999908,7.81759576,0.729744401,0.21021861,0.616042731,7.81363127,0.0150420861,8.43510171e-06
2.20787184,0.0,9.0,7.27999955,7.81758737,0.729735365,0.21023562,0.616059742,7.81362223,0.0150420509,8.43646823e-06
2.20787184,0.0,9.0,7.2800005,7.81757054,0.729717247,0.210269696,0.616093818,7.81360411,0.0150419804,8.43920896e-06
2.20787184,0.0,9.0,7.2800024,7.81753671,0.729680826,0.210338077,0.6161622,7.81356769,0.015041839,8.44472092e-06
2.20787184,0.0,9.0,7.28000623,7.81746851,0.729607398,0.210475762,0.616299886,7.81349426,0.0150415542,8.45584378e-06
2.20787184,0.0,9.0,7.28001399,7.81732993,0.729458179,0.210754891,0.616579017,7.81334504,0.0150409768,8.47848905e-06
2.20787184,0.0,9.0,7.28002994,7.81704372,0.729149903,0.211328793,0.617152923,7.81303676,0.0150397897,8.52545088e-06
2.20787184,0.0,9.0,7.28006373,7.81643243,0.728491068,0.212544316,0.618368455,7.81237792,0.0150372754,8.62662477e-06
2.20787184,0.0,9.0,7.28007265,7.81626947,0.728315339,0.21286506,0.6186892,7.81220219,0.0150366119,8.65379784e-06
2.20787184,0.0,9.0,7.28009094,7.81593561,0.72795519,0.213522855,0.619346999,7.81184204,0.0150352512,8.70973549e-06
2.20787184,0.0,9.0,7.28012989,7.81521865,0.727181206,0.214923827,0.620747979,7.81106804,0.0150323533,8.83108279e-06
2.20787184,0.0,9.0,7.28014021,7.8150265,0.726973638,0.215295227,0.62111938,7.81086048,0.0150315851,8.86389061e-06
2.20787184,0.0,9.0,7.28016145,7.81463199,0.726547293,0.2160591,0.621883257,7.81043413,0.015030005,8.93163132e-06
2.20787184,0.0,9.0,7.28020699,7.81377928,0.725624938,0.217696716,0.62352088,7.80951176,0.0150266176,9.07982022e-06
2.20787184,0.0,9.0,7.28020848,7.81375115,0.725594495,0.217750445,0.623574609,7.80948132,0.0150265065,9.08474968e-06
2.20787184,0.0,9.0,7.28020886,7.81374413,0.725586898,0.217763896,0.62358806,7.80947372,0.0150264786,9.08598037e-06
2.20787184,0.0,9.0,7.2802096,7.81373006,0.725571661,0.217790821,0.623614985,7.80945849,0.0150264229,9.08844882e-06
2.20787184,0.0,9.0,7.2802111,7.81370182,0.725541095,0.217844792,0.623668957,7.80942792,0.0150263113,9.09340263e-06
2.20787184,0.0,9.0,7.28021412,7.81364505,0.725479639,0.217953225,0.62377739,7.80936646,0.015026087,9.1033702e-06
2.20787184,0.0,9.0,7.2802202,7.81353036,0.725355478,0.218172071,0.623996236,7.8092423,0.0150256343,9.12353876e-06
2.20787184,0.0,9.0,7.2802326,7.8132963,0.725102004,0.21861787,0.624442037,7.80898883,0.0150247122,9.16484076e-06
2.20787184,0.0,9.0,7.28025834,7.81280832,0.724573276,0.219543498,0.625367668,7.80846009,0.0150227975,9.25154878e-06
2.20787184,0.0,9.0,7.28025917,7.81279262,0.724556259,0.219573193,0.625397363,7.80844308,0.0150227361,9.25435205e-06
2.20787184,0.0,9.0,7.28026082,7.81276117,0.72452217,0.219632702,0.625456873,7.80840899,0.015022613,9.25996975e-06
2.20787184,0.0,9.0,7.28026415,7.81269794,0.724453623,0.219752293,0.625576464,7.80834044,0.0150223656,9.27127573e-06
2.20787184,0.0,9.0,7.28026498,7.81268205,0.724436396,0.219782322,0.625606493,7.80832321,0.0150223035,9.27411909e-06
2.20787184,0.0,9.0,7.28026665,7.8126502,0.724401871,0.219842503,0.625666674,7.80828869,0.015022179,9.27981988e-06
2.20787184,0.0,9.0,7.28026707,7.81264224,0.724393241,0.219857581,0.625681752,7.80828006,0.0150221479,9.28124551e-06
2.20787184,0.0,9.0,7.28026791,7.81262628,0.72437593,0.219887768,0.62571194,7.80826275,0.0150220854,9.28410551e-06
2.20787184,0.0,9.0,7.2802696,7.81259423,0.72434119,0.219948288,0.62577246,7.80822801,0.0150219602,9.28984752e-06
2.20787184,0.0,9.0,7.28027298,7.81252979,0.724271318,0.220069917,0.625894089,7.80815813,0.0150217086,9.30140632e-06
2.20787184,0.0,9.0,7.28027383,7.81251359,0.724253752,0.220100459,0.625924631,7.80814057,0.0150216455,9.30431434e-06
2.20787184,0.0,9.0,7.28027553,7.81248115,0.724218571,0.220161669,0.625985841,7.80810539,0.0150215189,9.31014095e-06
2.20787184,0.0,9.0,7.28027895,7.81241591,0.724147819,0.220284687,0.62610886,7.80803463,0.0150212644,9.32186899e-06
2.20787184,0.0,9.0,7.28028586,7.812284,0.72400474,0.220533149,0.626357322,7.80789155,0.0150207504,9.34562761e-06
2.20787184,0.0,9.0,7.28029996,7.81201439,0.723712226,0.22104002,0.626864195,7.80759904,0.015019702,9.39437364e-06
2.20787184,0.0,9.0,7.2803004,7.81200585,0.723702951,0.221056081,0.626880256,7.80758976,0.0150196688,9.39592317e-06
2.20787184,0.0,9.0,7.2803013,7.81198874,0.723684388,0.221088236,0.626912411,7.8075712,0.0150196023,9.39902502e-06
2.20787184,0.0,9.0,7.28030309,7.8119544,0.723647124,0.221152708,0.626976883,7.80753393,0.0150194689,9.40525447e-06
2.20787184,0.0,9.0,7.28030354,7.8119458,0.723637791,0.221168864,0.626993039,7.8075246,0.0150194355,9.40681522e-06
2.20787184,0.0,9.0,7.28030444,7.81192857,0.723619085,0.221201208,0.627025383,7.80750589,0.0150193686,9.40994429e-06
2.20787184,0.0,9.0,7.28030624,7.811894,0.723581561,0.221266059,0.627090235,7.80746837,0.0150192344,9.41622393e-06
2.20787184,0.0,9.0,7.28030987,7.81182447,0.723506096,0.221396419,0.627220595,7.8073929,0.0150189648,9.42886473e-06
2.20787184,0.0,9.0,7.28031078,7.81180699,0.723487123,0.22142916,0.627253336,7.80737393,0.0150188971,9.43204523e-06
2.20787184,0.0,9.0,7.2803126,7.81177197,0.723449108,0.221494781,0.627318957,7.80733592,0.0150187613,9.43842077e-06
2.20787184,0.0,9.0,7.28031306,7.8117632,0.723439581,0.221511225,0.627335401,7.80732639,0.0150187273,9.44001922e-06
