 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         @dled12_1[id]   @dled12_2[id]  
 7.57050571e-01  7.57050571e-01  0.00000000e+00  9.00000000e+00  7.27638217e+00  7.50430642e+00  9.67896145e-01  7.98208275e-02 -6.37217934e+00  6.41958099e+00  1.53118327e-02  2.30801403e-03 
 7.58050571e-01  7.58050571e-01  0.00000000e+00  9.00000000e+00  7.27647210e+00  7.51875829e+00  9.68107310e-01  8.30699114e-02 -6.29950594e+00  6.62976248e+00  1.53051111e-02  1.89178223e-03 
 7.59050571e-01  7.59050571e-01  0.00000000e+00  9.00000000e+00  7.27655229e+00  7.52739300e+00  9.02392171e-01  8.59668420e-02 -6.22751215e+00  6.74215709e+00  1.52991180e-02  1.67075665e-03 
 7.60050571e-01  7.60050571e-01  0.00000000e+00  9.00000000e+00  7.27664503e+00  7.54133610e+00  9.12998500e-01  8.93167898e-02 -6.15539155e+00  6.90409116e+00  1.52921878e-02  1.35609433e-03 
 7.61050571e-01  7.61050571e-01  0.00000000e+00  9.00000000e+00  7.27672789e+00  7.54825000e+00  8.55811941e-01  9.23095097e-02 -6.08395312e+00  6.97561520e+00  1.52859966e-02  1.21838842e-03 
 7.62050571e-01  7.62050571e-01  0.00000000e+00  9.00000000e+00  7.27682027e+00  7.56213320e+00  8.73862340e-01  9.56456279e-02 -6.01249475e+00  7.10338698e+00  1.52790950e-02  9.76278546e-04 
 7.63050571e-01  7.63050571e-01  0.00000000e+00  9.00000000e+00  7.27690399e+00  7.56731749e+00  8.22649126e-01  9.86689553e-02 -5.94167121e+00  7.14581703e+00  1.52728405e-02  8.96814149e-04 
 7.64050571e-01  7.64050571e-01  0.00000000e+00  9.00000000e+00  7.27699261e+00  7.58153162e+00  8.46062282e-01  1.01868544e-01 -5.87099171e+00  7.24940344e+00  1.52662214e-02  7.06859197e-04 
 7.65050571e-01  7.65050571e-01  0.00000000e+00  9.00000000e+00  7.27707605e+00  7.58486908e+00  7.98989644e-01  1.04881083e-01 -5.80081808e+00  7.27104873e+00  1.52599893e-02  6.67703546e-04 
 7.66050571e-01  7.66050571e-01  0.00000000e+00  9.00000000e+00  7.27715724e+00  7.59976383e+00  8.26302943e-01  1.07812024e-01 -5.73104281e+00  7.35751801e+00  1.52539260e-02  5.15609447e-04 
 7.67050571e-01  7.67050571e-01  0.00000000e+00  9.00000000e+00  7.27724016e+00  7.60106726e+00  7.82053044e-01  1.10804920e-01 -5.66152089e+00  7.36423398e+00  1.52477346e-02  5.03900610e-04 
 7.68050571e-01  7.68050571e-01  0.00000000e+00  9.00000000e+00  7.27730978e+00  7.61536948e+00  8.11980050e-01  1.13317702e-01 -5.59279201e+00  7.43820346e+00  1.52425372e-02  3.91678440e-04 
 7.69050571e-01  7.69050571e-01  0.00000000e+00  9.00000000e+00  7.27739275e+00  7.61596022e+00  7.69901290e-01  1.16312132e-01 -5.52389299e+00  7.43429793e+00  1.52363418e-02  3.86515520e-04 
 7.70050571e-01  7.70050571e-01  0.00000000e+00  9.00000000e+00  7.27744985e+00  7.63127735e+00  8.01941615e-01  1.18372454e-01 -5.45623718e+00  7.49966531e+00  1.52320802e-02  2.93435947e-04 
 7.71050571e-01  7.71050571e-01  0.00000000e+00  9.00000000e+00  7.27753211e+00  7.62964546e+00  7.61098339e-01  1.21340613e-01 -5.38798115e+00  7.48790237e+00  1.52259394e-02  3.01581045e-04 
 7.72050571e-01  7.72050571e-01  0.00000000e+00  9.00000000e+00  7.27756758e+00  7.64823355e+00  7.95091077e-01  1.22620672e-01 -5.32171772e+00  7.54767218e+00  1.52232913e-02  2.14143582e-04 
 7.73050571e-01  7.73050571e-01  0.00000000e+00  9.00000000e+00  7.27765803e+00  7.64226496e+00  7.54621186e-01  1.25883699e-01 -5.25377508e+00  7.52985846e+00  1.52165411e-02  2.39165276e-04 
 7.74050571e-01  7.74050571e-01  0.00000000e+00  9.00000000e+00  7.27767096e+00  7.66244406e+00  7.89915757e-01  1.26350174e-01 -5.18892956e+00  7.58531625e+00  1.52155762e-02  1.64281065e-04 
 7.75050571e-01  7.75050571e-01  0.00000000e+00  9.00000000e+00  7.27776966e+00  7.65380993e+00  7.49828054e-01  1.29910719e-01 -5.12128984e+00  7.56308521e+00  1.52082105e-02  1.93039420e-04 
 7.76050571e-01  7.76050571e-01  0.00000000e+00  9.00000000e+00  7.27775747e+00  7.67563981e+00  7.86165169e-01  1.29471065e-01 -5.05794680e+00  7.61547446e+00  1.52091200e-02  1.28183869e-04 
 7.77050571e-01  7.77050571e-01  0.00000000e+00  9.00000000e+00  7.27786761e+00  7.66435382e+00  7.46233544e-01  1.33443643e-01 -4.99048759e+00  7.58986749e+00  1.52009021e-02  1.58498828e-04 
 7.78050571e-01  7.78050571e-01  0.00000000e+00  9.00000000e+00  7.27782872e+00  7.68782751e+00  7.83420478e-01  1.32040895e-01 -4.92869626e+00  7.64006014e+00  1.52038039e-02  1.01795115e-04 
 7.79050571e-01  7.79050571e-01  0.00000000e+00  9.00000000e+00  7.27795296e+00  7.67397912e+00  7.43498551e-01  1.36521775e-01 -4.86131369e+00  7.61183133e+00  1.51945345e-02  1.32257842e-04 
 7.80050571e-01  7.80050571e-01  0.00000000e+00  9.00000000e+00  7.27788678e+00  7.69903657e+00  7.81387953e-01  1.34134917e-01 -4.80108769e+00  7.66043838e+00  1.51994721e-02  8.22734830e-05 
 7.81050571e-01  7.81050571e-01  0.00000000e+00  9.00000000e+00  7.27802704e+00  7.68277262e+00  7.41386002e-01  1.39193136e-01 -4.73370546e+00  7.63014167e+00  1.51890083e-02  1.12020158e-04 
 7.82050571e-01  7.82050571e-01  0.00000000e+00  9.00000000e+00  7.27793385e+00  7.70931726e+00  7.79862303e-01  1.35832418e-01 -4.67502749e+00  7.67759203e+00  1.51959605e-02  6.76358100e-05 
 7.83050571e-01  7.83050571e-01  0.00000000e+00  9.00000000e+00  7.27809124e+00  7.69082033e+00  7.39729508e-01  1.41507938e-01 -4.60759872e+00  7.64564062e+00  1.51842198e-02  9.61752060e-05 
