 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)        
 4.77500000e-02  4.77500000e-02  3.76556029e+00  1.00000000e+01  1.28042673e+01  3.76555448e+00  5.00000007e+00 
 4.82500000e-02  4.82500000e-02  3.79665474e+00  1.00000000e+01  1.28278670e+01  3.79665028e+00  5.00000005e+00 
 4.87500000e-02  4.87500000e-02  3.82759411e+00  1.00000000e+01  1.28512985e+01  3.82758830e+00  5.00000007e+00 
 4.92500000e-02  4.92500000e-02  3.85837916e+00  1.00000000e+01  1.28745684e+01  3.85837471e+00  5.00000005e+00 
 4.97500000e-02  4.97500000e-02  3.88901068e+00  1.00000000e+01  1.28976722e+01  3.88900488e+00  5.00000007e+00 
 5.02500000e-02  5.02500000e-02  3.91948941e+00  1.00000000e+01  1.29206160e+01  3.91948496e+00  5.00000005e+00 
 5.06250000e-02  5.06250000e-02  3.94224865e+00  1.00000000e+01  1.29377154e+01  3.94224285e+00  5.00000007e+00 
 5.10000000e-02  5.10000000e-02  3.96492269e+00  1.00000000e+01  1.29547267e+01  3.96491824e+00  5.00000005e+00 
 5.10267265e-02  5.10267265e-02  3.96646377e+00  9.73273493e+00  1.29554611e+01  3.96606087e+00  4.86637254e+00 
 5.10801795e-02  5.10801795e-02  3.96940227e+00  9.19820480e+00  1.29575607e+01  3.96898545e+00  4.59910765e+00 
 5.11870855e-02  5.11870855e-02  3.97441784e+00  8.12914453e+00  1.29608656e+01  3.97399247e+00  4.06457762e+00 
 5.12878056e-02  5.12878056e-02  3.97809283e+00  7.12194433e+00  1.10044061e+01  3.97596400e+00  3.56099899e+00 
 5.14036652e-02  5.14036652e-02  3.98102685e+00  5.96334794e+00  5.31259944e+00  3.84675919e+00  3.18502232e+00 
 5.14725079e-02  5.14725079e-02  3.98209532e+00  5.27492067e+00  4.60926378e+00  3.73630989e+00  3.05840269e+00 
 5.15393425e-02  5.15393425e-02  3.98264469e+00  4.60657486e+00  3.92846278e+00  3.62235414e+00  2.93132235e+00 
 5.16219329e-02  5.16219329e-02  3.98265990e+00  3.78067134e+00  3.09459346e+00  3.48735832e+00  2.78752200e+00 
 5.17871136e-02  5.17871136e-02  3.98006744e+00  2.12886431e+00  1.47186115e+00  2.06305949e+00  1.38973396e+00 
 5.18935568e-02  5.18935568e-02  3.97640707e+00  1.06443215e+00  5.91102542e-01  1.19564979e+00  5.67379045e-01 
 5.20000000e-02  5.20000000e-02  3.97128772e+00  0.00000000e+00  6.48122852e-02  6.73963133e-01  4.15545183e-02 
 5.20164450e-02  5.20164450e-02  3.97039079e+00  0.00000000e+00  6.47299740e-02  6.73900045e-01  4.15440099e-02 
 5.20493350e-02  5.20493350e-02  3.96859736e+00  0.00000000e+00  6.47073939e-02  6.73863404e-01  4.15218700e-02 
 5.21151149e-02  5.21151149e-02  3.96501305e+00  0.00000000e+00  6.46633581e-02  6.73789615e-01  4.14776287e-02 
 5.22466748e-02  5.22466748e-02  3.95785462e+00  0.00000000e+00  6.45744217e-02  6.73642816e-01  4.13892645e-02 
 5.25097946e-02  5.25097946e-02  3.94357837e+00  0.00000000e+00  6.43980398e-02  6.73349161e-01  4.12130490e-02 
 5.30097946e-02  5.30097946e-02  3.91659819e+00  0.00000000e+00  6.40637669e-02  6.72793803e-01  4.08800303e-02 
 5.35097946e-02  5.35097946e-02  3.88981168e+00  0.00000000e+00  6.37325706e-02  6.72239748e-01  4.05494359e-02 
 5.40097946e-02  5.40097946e-02  3.86321744e+00  0.00000000e+00  6.34031152e-02  6.71688412e-01  4.02212303e-02 
 5.45097946e-02  5.45097946e-02  3.83681409e+00  0.00000000e+00  6.30767026e-02  6.71138936e-01  3.98954070e-02 
 5.50097946e-02  5.50097946e-02  3.81060025e+00  0.00000000e+00  6.27519875e-02  6.70592150e-01  3.95719381e-02 
 5.55097946e-02  5.55097946e-02  3.78457457e+00  0.00000000e+00  6.24302900e-02  6.70047180e-01  3.92508175e-02 
 5.60097946e-02  5.60097946e-02  3.75873569e+00  0.00000000e+00  6.21102472e-02  6.69504867e-01  3.89320176e-02 
 5.65097946e-02  5.65097946e-02  3.73308225e+00  0.00000000e+00  6.17931975e-02  6.68964328e-01  3.86155325e-02 
 5.70097946e-02  5.70097946e-02  3.70761294e+00  0.00000000e+00  6.14777599e-02  6.68426413e-01  3.83013346e-02 
 5.75097946e-02  5.75097946e-02  3.68232641e+00  0.00000000e+00  6.11652916e-02  6.67890227e-01  3.79894186e-02 
 5.80097946e-02  5.80097946e-02  3.65722137e+00  0.00000000e+00  6.08543932e-02  6.67356635e-01  3.76797569e-02 
 5.85097946e-02  5.85097946e-02  3.63229649e+00  0.00000000e+00  6.05464409e-02  6.66824730e-01  3.73723446e-02 
 5.90097946e-02  5.90097946e-02  3.60755049e+00  0.00000000e+00  6.02400165e-02  6.66295387e-01  3.70671543e-02 
 5.95097946e-02  5.95097946e-02  3.58298208e+00  0.00000000e+00  5.99365157e-02  6.65767688e-01  3.67641813e-02 
 6.00097946e-02  6.00097946e-02  3.55858997e+00  0.00000000e+00  5.96345011e-02  6.65242521e-01  3.64633983e-02 
 6.05097946e-02  6.05097946e-02  3.53437290e+00  0.00000000e+00  5.93353883e-02  6.64718956e-01  3.61648010e-02 
 6.10097946e-02  6.10097946e-02  3.51032961e+00  0.00000000e+00  5.90377203e-02  6.64197892e-01  3.58683623e-02 
 6.15097946e-02  6.15097946e-02  3.48645885e+00  0.00000000e+00  5.87429327e-02  6.63678388e-01  3.55740782e-02 
 6.20097946e-02  6.20097946e-02  3.46275938e+00  0.00000000e+00  5.84495490e-02  6.63161357e-01  3.52819216e-02 
 6.25097946e-02  6.25097946e-02  3.43922996e+00  0.00000000e+00  5.81590249e-02  6.62645843e-01  3.49918889e-02 
 6.30097946e-02  6.30097946e-02  3.41586937e+00  0.00000000e+00  5.78698640e-02  6.62132773e-01  3.47039531e-02 
 6.35097946e-02  6.35097946e-02  3.39267639e+00  0.00000000e+00  5.75835425e-02  6.61621179e-01  3.44181111e-02 
 6.40097946e-02  6.40097946e-02  3.36964982e+00  0.00000000e+00  5.72985438e-02  6.61112001e-01  3.41343358e-02 
 6.45097946e-02  6.45097946e-02  3.34678846e+00  0.00000000e+00  5.70163650e-02  6.60604257e-01  3.38526244e-02 
 6.50097946e-02  6.50097946e-02  3.32409112e+00  0.00000000e+00  5.67354687e-02  6.60098900e-01  3.35729500e-02 
 6.55097946e-02  6.55097946e-02  3.30155662e+00  0.00000000e+00  5.64573735e-02  6.59594938e-01  3.32953103e-02 
 6.60097946e-02  6.60097946e-02  3.27918379e+00  0.00000000e+00  5.61805209e-02  6.59093335e-01  3.30196782e-02 
 6.65097946e-02  6.65097946e-02  3.25697146e+00  0.00000000e+00  5.59064510e-02  6.58593085e-01  3.27460519e-02 
 6.70097946e-02  6.70097946e-02  3.23491848e+00  0.00000000e+00  5.56335839e-02  6.58095168e-01  3.24744043e-02 
 6.75097946e-02  6.75097946e-02  3.21302370e+00  0.00000000e+00  5.53634819e-02  6.57598564e-01  3.22047339e-02 
 6.80097946e-02  6.80097946e-02  3.19128599e+00  0.00000000e+00  5.50945433e-02  6.57104265e-01  3.19370138e-02 
 6.85097946e-02  6.85097946e-02  3.16970420e+00  0.00000000e+00  5.48283526e-02  6.56611239e-01  3.16712428e-02 
 6.90097946e-02  6.90097946e-02  3.14827723e+00  0.00000000e+00  5.45632860e-02  6.56120493e-01  3.14073941e-02 
 6.95097946e-02  6.95097946e-02  3.12700395e+00  0.00000000e+00  5.43009508e-02  6.55630980e-01  3.11454668e-02 
 7.00097946e-02  7.00097946e-02  3.10588326e+00  0.00000000e+00  5.40397007e-02  6.55143720e-01  3.08854340e-02 
 7.05097946e-02  7.05097946e-02  3.08491405e+00  0.00000000e+00  5.37811660e-02  6.54657653e-01  3.06272954e-02 
 7.10097946e-02  7.10097946e-02  3.06409525e+00  0.00000000e+00  5.35236777e-02  6.54173816e-01  3.03710241e-02 
 7.15097946e-02  7.15097946e-02  3.04342577e+00  0.00000000e+00  5.32688894e-02  6.53691131e-01  3.01166201e-02 
 7.20097946e-02  7.20097946e-02  3.02290452e+00  0.00000000e+00  5.30151089e-02  6.53210650e-01  2.98640565e-02 
 7.25097946e-02  7.25097946e-02  3.00253046e+00  0.00000000e+00  5.27640136e-02  6.52731282e-01  2.96133336e-02 
 7.30097946e-02  7.30097946e-02  2.98230250e+00  0.00000000e+00  5.25138876e-02  6.52254095e-01  2.93644246e-02 
 7.35097946e-02  7.35097946e-02  2.96221961e+00  0.00000000e+00  5.22664326e-02  6.51777981e-01  2.91173303e-02 
 7.40097946e-02  7.40097946e-02  2.94228074e+00  0.00000000e+00  5.20199087e-02  6.51304024e-01  2.88720238e-02 
 7.45097946e-02  7.45097946e-02  2.92248485e+00  0.00000000e+00  5.17760423e-02  6.50831101e-01  2.86285062e-02 
 7.50097946e-02  7.50097946e-02  2.90283091e+00  0.00000000e+00  5.15330689e-02  6.50360311e-01  2.83867507e-02 
 7.55097946e-02  7.55097946e-02  2.88331791e+00  0.00000000e+00  5.12927398e-02  6.49890517e-01  2.81467587e-02 
 7.60097946e-02  7.60097946e-02  2.86394481e+00  0.00000000e+00  5.10532659e-02  6.49422831e-01  2.79085034e-02 
 7.65097946e-02  7.65097946e-02  2.84471063e+00  0.00000000e+00  5.08164239e-02  6.48956104e-01  2.76719866e-02 
 7.70097946e-02  7.70097946e-02  2.82561436e+00  0.00000000e+00  5.05803992e-02  6.48491462e-01  2.74371816e-02 
 7.75097946e-02  7.75097946e-02  2.80665500e+00  0.00000000e+00  5.03469946e-02  6.48027739e-01  2.72040904e-02 
 7.80097946e-02  7.80097946e-02  2.78783157e+00  0.00000000e+00  5.01143696e-02  6.47566080e-01  2.69726863e-02 
 7.85097946e-02  7.85097946e-02  2.76914309e+00  0.00000000e+00  4.98843536e-02  6.47105302e-01  2.67429718e-02 
 7.90097946e-02  7.90097946e-02  2.75058860e+00  0.00000000e+00  4.96550796e-02  6.46646565e-01  2.65149200e-02 
 7.95097946e-02  7.95097946e-02  2.73216711e+00  0.00000000e+00  4.94284038e-02  6.46188670e-01  2.62885340e-02 
 8.00097946e-02  8.00097946e-02  2.71387769e+00  0.00000000e+00  4.92024327e-02  6.45732795e-01  2.60637867e-02 
 8.05097946e-02  8.05097946e-02  2.69571937e+00  0.00000000e+00  4.89790496e-02  6.45277724e-01  2.58406816e-02 
 8.10097946e-02  8.10097946e-02  2.67769121e+00  0.00000000e+00  4.87563340e-02  6.44824652e-01  2.56191917e-02 
 8.15097946e-02  8.15097946e-02  2.65979227e+00  0.00000000e+00  4.85361969e-02  6.44372345e-01  2.53993207e-02 
 8.20097946e-02  8.20097946e-02  2.64202164e+00  0.00000000e+00  4.83166900e-02  6.43922016e-01  2.51810415e-02 
 8.25097946e-02  8.25097946e-02  2.62437837e+00  0.00000000e+00  4.80997528e-02  6.43472415e-01  2.49643584e-02 
 8.30097946e-02  8.30097946e-02  2.60686155e+00  0.00000000e+00  4.78834086e-02  6.43024771e-01  2.47492443e-02 
 8.35097946e-02  8.35097946e-02  2.58947028e+00  0.00000000e+00  4.76696256e-02  6.42577816e-01  2.45357036e-02 
 8.40097946e-02  8.40097946e-02  2.57220365e+00  0.00000000e+00  4.74563988e-02  6.42132799e-01  2.43237093e-02 
 8.45097946e-02  8.45097946e-02  2.55506076e+00  0.00000000e+00  4.72457253e-02  6.41688433e-01  2.41132662e-02 
 8.50097946e-02  8.50097946e-02  2.53804072e+00  0.00000000e+00  4.70355710e-02  6.41245985e-01  2.39043472e-02 
 8.55097946e-02  8.55097946e-02  2.52114264e+00  0.00000000e+00  4.68279630e-02  6.40804150e-01  2.36969575e-02 
