 time            time            v(OUT_B)        v(OUT_1)        v(OUT_2)        v(OUT_3)       
 9.49446263e+00  9.49446263e+00  1.69224428e-01  1.15001404e+01  5.08800359e-02  1.15000220e+01 
 9.49646263e+00  9.49646263e+00  1.79308723e-01  1.14998870e+01  5.39625296e-02  1.15000053e+01 
 9.49846263e+00  9.49846263e+00  1.90714775e-01  1.15001404e+01  5.15185459e-02  1.15000220e+01 
 9.50046263e+00  9.50046263e+00  2.03761688e-01  1.14998870e+01  5.46578392e-02  1.15000053e+01 
 9.50246263e+00  9.50246263e+00  2.18780206e-01  1.15001404e+01  5.22041202e-02  1.15000220e+01 
 9.50446263e+00  9.50446263e+00  2.36301062e-01  1.14998870e+01  5.54036872e-02  1.15000053e+01 
 9.50646263e+00  9.50646263e+00  2.56944797e-01  1.15001404e+01  5.29387654e-02  1.15000220e+01 
 9.50846263e+00  9.50846263e+00  2.81683647e-01  1.14998870e+01  5.62023220e-02  1.15000053e+01 
 9.51046263e+00  9.51046263e+00  3.11791267e-01  1.15001404e+01  5.37247660e-02  1.15000220e+01 
 9.51219423e+00  9.51219423e+00  3.43740502e-01  5.08286315e+00  5.69970335e-02  1.15000053e+01 
 9.51313862e+00  9.51313862e+00  3.64108512e-01  2.96463296e+00  5.42817377e-02  1.15000220e+01 
 9.51430858e+00  9.51430858e+00  3.93051920e-01  1.92123429e+00  5.74679663e-02  1.15000053e+01 
 9.51514270e+00  9.51514270e+00  4.16666813e-01  1.52958278e+00  5.47162364e-02  1.15000220e+01 
 9.51629386e+00  9.51629386e+00  4.54451936e-01  1.17944993e+00  5.79249390e-02  1.15000053e+01 
 9.51795140e+00  9.51795140e+00  5.22768142e-01  8.81857860e-01  5.53477844e-02  1.15000220e+01 
 9.51995140e+00  9.51995140e+00  6.38938959e-01  6.65937607e-01  5.88100248e-02  1.15000053e+01 
 9.52195140e+00  9.52195140e+00  8.21696364e-01  5.32645117e-01  5.62969064e-02  3.75063561e+00 
 9.52352112e+00  9.52352112e+00  1.05977128e+00  4.56742346e-01  5.97258434e-02  1.57012090e+00 
 9.52502307e+00  9.52502307e+00  1.46571043e+00  4.02584686e-01  5.70692702e-02  1.05383710e+00 
 9.52702307e+00  9.52702307e+00  2.98351540e+00  3.45132725e-01  6.06769526e-02  6.71488642e-01 
 9.52727307e+00  9.52727307e+00  3.42059714e+00  3.39497190e-01  5.92045227e-02  6.58882607e-01 
 9.52777307e+00  9.52777307e+00  4.83314466e+00  3.28013967e-01  5.93391988e-02  6.09004359e-01 
 9.52877307e+00  9.52877307e+00  1.14997454e+01  3.07121475e-01  5.96202079e-02  5.27336477e-01 
 9.52929575e+00  9.52929575e+00  1.15002817e+01  2.97185031e-01  5.97646486e-02  4.92688308e-01 
 9.52979974e+00  9.52979974e+00  1.14997455e+01  2.88165126e-01  5.99105689e-02  4.62724242e-01 
 9.53043493e+00  9.53043493e+00  1.15002817e+01  2.77526642e-01  6.00898450e-02  4.29921303e-01 
 9.53170530e+00  9.53170530e+00  1.14997455e+01  2.58373425e-01  6.04624093e-02  3.75496976e-01 
 9.53370530e+00  9.53370530e+00  1.15002816e+01  2.32965181e-01  6.10573228e-02  3.12406580e-01 
 9.53570530e+00  9.53570530e+00  1.14997456e+01  2.12067132e-01  6.16775669e-02  2.66554216e-01 
 9.53770530e+00  9.53770530e+00  1.15002816e+01  1.94636163e-01  6.23124750e-02  2.32208163e-01 
 9.53970530e+00  9.53970530e+00  1.14997456e+01  1.79910627e-01  6.29742870e-02  2.05326808e-01 
 9.54170530e+00  9.54170530e+00  1.15002816e+01  1.67343356e-01  6.36521986e-02  1.84060078e-01 
 9.54370530e+00  9.54370530e+00  1.14997457e+01  1.56512349e-01  6.43587770e-02  1.66622287e-01 
 9.54570530e+00  9.54570530e+00  1.15002816e+01  1.47106176e-01  6.50830773e-02  1.52333384e-01 
 9.54770530e+00  9.54770530e+00  1.14997457e+01  1.38873023e-01  6.58380229e-02  1.40231144e-01 
 9.54970530e+00  9.54970530e+00  1.15002816e+01  1.31624409e-01  6.66125267e-02  1.30070612e-01 
 9.55170530e+00  9.55170530e+00  1.14997457e+01  1.25201054e-01  6.74199016e-02  1.21254313e-01 
 9.55370530e+00  9.55370530e+00  1.15002816e+01  1.19483335e-01  6.82489178e-02  1.13721461e-01 
 9.55570530e+00  9.55570530e+00  1.14997458e+01  1.14365612e-01  6.91133152e-02  1.07059958e-01 
 9.55770530e+00  9.55770530e+00  1.15002816e+01  1.09769064e-01  7.00017232e-02  1.01293468e-01 
 9.55970530e+00  9.55970530e+00  1.14997458e+01  1.05620792e-01  7.09283516e-02  9.61143994e-02 
 9.56170530e+00  9.56170530e+00  1.15002816e+01  1.01867290e-01  7.18816927e-02  9.15868272e-02 
 9.56370530e+00  9.56370530e+00  1.14997458e+01  9.84565137e-02  7.28764760e-02  8.74670587e-02 
 9.56570530e+00  9.56570530e+00  1.15002816e+01  9.53512724e-02  7.39010643e-02  8.38386158e-02 
 9.56770530e+00  9.56770530e+00  1.14997458e+01  9.25132921e-02  7.49707639e-02  8.04994989e-02 
 9.56970530e+00  9.56970530e+00  1.86214985e+00  8.99162392e-02  7.60738198e-02  7.75421596e-02 
 9.57170530e+00  9.57170530e+00  8.08257348e-01  8.75312153e-02  7.72261820e-02  7.47932825e-02 
 9.57370530e+00  9.57370530e+00  6.10936043e-01  8.53393137e-02  7.84159952e-02  7.23487863e-02 
 9.57570530e+00  9.57570530e+00  3.86718016e-01  8.33181907e-02  7.96599320e-02  7.00559676e-02 
 9.57770530e+00  9.57770530e+00  3.49842122e-01  8.14541421e-02  8.09460617e-02  6.80113282e-02 
 9.57970530e+00  9.57970530e+00  2.47270377e-01  7.97295146e-02  8.22918731e-02  6.60775192e-02 
 9.58170530e+00  9.58170530e+00  2.40814715e-01  7.81343250e-02  8.36853950e-02  6.43501097e-02 
 9.58370530e+00  9.58370530e+00  1.79828495e-01  7.66543458e-02  8.51450446e-02  6.27035355e-02 
 9.58570530e+00  9.58570530e+00  1.82511054e-01  7.52823040e-02  8.66588582e-02  6.12316648e-02 
 9.58770530e+00  9.58770530e+00  1.40944399e-01  7.40065210e-02  8.82463174e-02  5.98182061e-02 
 9.58970530e+00  9.58970530e+00  1.46914991e-01  7.28217303e-02  8.98955319e-02  5.85549743e-02 
 9.59170530e+00  9.59170530e+00  1.16076986e-01  7.17181804e-02  9.16272140e-02  5.73331278e-02 
 9.59370530e+00  9.59370530e+00  1.23285057e-01  7.06921128e-02  9.34296368e-02  5.62423098e-02 
 9.59570530e+00  9.59570530e+00  9.90384106e-02  6.97352547e-02  9.53249487e-02  5.51797684e-02 
 9.59770530e+00  9.59770530e+00  1.06662662e-01  6.88449958e-02  9.73017092e-02  5.42329877e-02 
 9.59970530e+00  9.59970530e+00  8.67742121e-02  6.80142133e-02  9.93837601e-02  5.33042672e-02 
 9.60170530e+00  9.60170530e+00  9.44619166e-02  6.72411819e-02  1.01560116e-01  5.24790157e-02 
 9.60370530e+00  9.60370530e+00  7.76145844e-02  6.65196842e-02  1.03856638e-01  5.16637742e-02 
 9.60570530e+00  9.60570530e+00  8.52116927e-02  6.58486848e-02  1.06263026e-01  5.09419975e-02 
 9.60770530e+00  9.60770530e+00  7.05755343e-02  6.52226867e-02  1.08807583e-01  5.02238242e-02 
 9.60970530e+00  9.60970530e+00  7.80183406e-02  6.46411984e-02  1.11481014e-01  4.95908937e-02 
 9.61170530e+00  9.61170530e+00  6.50427371e-02  6.40993018e-02  1.14314613e-01  4.89564222e-02 
 9.61370530e+00  9.61370530e+00  7.23103966e-02  6.35969384e-02  1.17300536e-01  4.84003773e-02 
 9.61570530e+00  9.61570530e+00  6.06146312e-02  6.31296598e-02  1.20473797e-01  4.78386260e-02 
 9.61770530e+00  9.61770530e+00  6.77069788e-02  6.26977554e-02  1.23828638e-01  4.73496068e-02 
 9.61970530e+00  9.61970530e+00  5.70187097e-02  6.22971615e-02  1.27404782e-01  4.68514830e-02 
 9.62170530e+00  9.62170530e+00  6.39454177e-02  6.19284497e-02  1.31199459e-01  4.64213014e-02 
 9.62370530e+00  9.62370530e+00  5.40641918e-02  6.15878731e-02  1.35258470e-01  4.59792232e-02 
