 time            time            v(OUT_B)        v(OUT_1)        v(OUT_2)        v(OUT_3)        v(OUT_4)       
 2.62560000e-01  2.62560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.64560000e-01  2.64560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.66560000e-01  2.66560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.68560000e-01  2.68560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.70560000e-01  2.70560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.72560000e-01  2.72560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.74560000e-01  2.74560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.76560000e-01  2.76560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.78560000e-01  2.78560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.80560000e-01  2.80560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.82560000e-01  2.82560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.84560000e-01  2.84560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.86560000e-01  2.86560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.88560000e-01  2.88560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.90560000e-01  2.90560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.92560000e-01  2.92560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.94560000e-01  2.94560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.96560000e-01  2.96560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.98560000e-01  2.98560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
