 time            time            v(N003)        
 5.08560000e-01  5.08560000e-01  1.25849669e+00 
 5.10560000e-01  5.10560000e-01  1.25849669e+00 
 5.12560000e-01  5.12560000e-01  1.25849669e+00 
 5.14560000e-01  5.14560000e-01  1.25849669e+00 
 5.16560000e-01  5.16560000e-01  1.25849669e+00 
 5.18560000e-01  5.18560000e-01  1.25849669e+00 
 5.20560000e-01  5.20560000e-01  1.25849669e+00 
 5.22560000e-01  5.22560000e-01  1.25849669e+00 
 5.24560000e-01  5.24560000e-01  1.25849669e+00 
 5.26560000e-01  5.26560000e-01  1.25849669e+00 
 5.28560000e-01  5.28560000e-01  1.25849669e+00 
 5.30560000e-01  5.30560000e-01  1.25849669e+00 
 5.32560000e-01  5.32560000e-01  1.25849669e+00 
 5.34560000e-01  5.34560000e-01  1.25849669e+00 
 5.36560000e-01  5.36560000e-01  1.25849669e+00 
 5.38560000e-01  5.38560000e-01  1.25849669e+00 
 5.40560000e-01  5.40560000e-01  1.25849669e+00 
 5.42560000e-01  5.42560000e-01  1.25849669e+00 
 5.44560000e-01  5.44560000e-01  1.25849669e+00 
 5.46560000e-01  5.46560000e-01  1.25849669e+00 
 5.48560000e-01  5.48560000e-01  1.25849669e+00 
 5.50560000e-01  5.50560000e-01  1.25849669e+00 
 5.52560000e-01  5.52560000e-01  1.25849669e+00 
 5.54560000e-01  5.54560000e-01  1.25849669e+00 
 5.56560000e-01  5.56560000e-01  1.25849669e+00 
 5.58560000e-01  5.58560000e-01  1.25849669e+00 
 5.60560000e-01  5.60560000e-01  1.25849669e+00 
 5.62560000e-01  5.62560000e-01  1.25849669e+00 
 5.64560000e-01  5.64560000e-01  1.25849669e+00 
 5.66560000e-01  5.66560000e-01  1.25849669e+00 
 5.68560000e-01  5.68560000e-01  1.25849669e+00 
 5.70560000e-01  5.70560000e-01  1.25849669e+00 
 5.72560000e-01  5.72560000e-01  1.25849669e+00 
 5.74560000e-01  5.74560000e-01  1.25849669e+00 
 5.76560000e-01  5.76560000e-01  1.25849669e+00 
 5.78560000e-01  5.78560000e-01  1.25849669e+00 
 5.80560000e-01  5.80560000e-01  1.25849669e+00 
 5.82560000e-01  5.82560000e-01  1.25849669e+00 
 5.84560000e-01  5.84560000e-01  1.25849669e+00 
 5.86560000e-01  5.86560000e-01  1.25849669e+00 
 5.88560000e-01  5.88560000e-01  1.25849669e+00 
 5.90560000e-01  5.90560000e-01  1.25849669e+00 
 5.92560000e-01  5.92560000e-01  1.25849669e+00 
 5.94560000e-01  5.94560000e-01  1.25849669e+00 
 5.96560000e-01  5.96560000e-01  1.25849669e+00 
 5.98560000e-01  5.98560000e-01  1.25849669e+00 
 6.00560000e-01  6.00560000e-01  1.25849668e+00 
 6.02560000e-01  6.02560000e-01  1.25849668e+00 
 6.04560000e-01  6.04560000e-01  1.25849668e+00 
 6.06560000e-01  6.06560000e-01  1.25849668e+00 
 6.08560000e-01  6.08560000e-01  1.25849668e+00 
 6.10560000e-01  6.10560000e-01  1.25849668e+00 
 6.12560000e-01  6.12560000e-01  1.25849668e+00 
 6.14560000e-01  6.14560000e-01  1.25849668e+00 
 6.16560000e-01  6.16560000e-01  1.25849668e+00 
 6.18560000e-01  6.18560000e-01  1.25849668e+00 
 6.20560000e-01  6.20560000e-01  1.25849668e+00 
 6.22560000e-01  6.22560000e-01  1.25849668e+00 
 6.24560000e-01  6.24560000e-01  1.25849668e+00 
 6.26560000e-01  6.26560000e-01  1.25849668e+00 
 6.28560000e-01  6.28560000e-01  1.25849668e+00 
 6.30560000e-01  6.30560000e-01  1.25849668e+00 
 6.32560000e-01  6.32560000e-01  1.25849668e+00 
 6.34560000e-01  6.34560000e-01  1.25849668e+00 
 6.36560000e-01  6.36560000e-01  1.25849668e+00 
 6.38560000e-01  6.38560000e-01  1.25849668e+00 
 6.40560000e-01  6.40560000e-01  1.25849668e+00 
 6.42560000e-01  6.42560000e-01  1.25849668e+00 
 6.44560000e-01  6.44560000e-01  1.25849668e+00 
 6.46560000e-01  6.46560000e-01  1.25849668e+00 
 6.48560000e-01  6.48560000e-01  1.25849668e+00 
 6.50560000e-01  6.50560000e-01  1.25849668e+00 
 6.52560000e-01  6.52560000e-01  1.25849668e+00 
 6.54560000e-01  6.54560000e-01  1.25849668e+00 
 6.56560000e-01  6.56560000e-01  1.25849668e+00 
 6.58560000e-01  6.58560000e-01  1.25849668e+00 
 6.60560000e-01  6.60560000e-01  1.25849668e+00 
 6.62560000e-01  6.62560000e-01  1.25849668e+00 
 6.64560000e-01  6.64560000e-01  1.25849668e+00 
 6.66560000e-01  6.66560000e-01  1.25849668e+00 
 6.68560000e-01  6.68560000e-01  1.25849668e+00 
 6.70560000e-01  6.70560000e-01  1.25849668e+00 
 6.72560000e-01  6.72560000e-01  1.25849668e+00 
 6.74560000e-01  6.74560000e-01  1.25849668e+00 
 6.76560000e-01  6.76560000e-01  1.25849668e+00 
 6.78560000e-01  6.78560000e-01  1.25849668e+00 
 6.80560000e-01  6.80560000e-01  1.25849668e+00 
 6.82560000e-01  6.82560000e-01  1.25849668e+00 
 6.84560000e-01  6.84560000e-01  1.25849668e+00 
 6.86560000e-01  6.86560000e-01  1.25849668e+00 
 6.88560000e-01  6.88560000e-01  1.25849668e+00 
 6.90560000e-01  6.90560000e-01  1.25849668e+00 
 6.92560000e-01  6.92560000e-01  1.25849668e+00 
 6.94560000e-01  6.94560000e-01  1.25849668e+00 
 6.96560000e-01  6.96560000e-01  1.25849668e+00 
 6.98560000e-01  6.98560000e-01  1.25849668e+00 
 7.00560000e-01  7.00560000e-01  1.25849668e+00 
 7.02560000e-01  7.02560000e-01  1.25849668e+00 
 7.04560000e-01  7.04560000e-01  1.25849668e+00 
 7.06560000e-01  7.06560000e-01  1.25849668e+00 
 7.08560000e-01  7.08560000e-01  1.25849668e+00 
 7.10560000e-01  7.10560000e-01  1.25849668e+00 
 7.12560000e-01  7.12560000e-01  1.25849668e+00 
 7.14560000e-01  7.14560000e-01  1.25849668e+00 
 7.16560000e-01  7.16560000e-01  1.25849668e+00 
 7.18560000e-01  7.18560000e-01  1.25849668e+00 
 7.20560000e-01  7.20560000e-01  1.25849668e+00 
 7.22560000e-01  7.22560000e-01  1.25849668e+00 
 7.24560000e-01  7.24560000e-01  1.25849668e+00 
 7.26560000e-01  7.26560000e-01  1.25849668e+00 
 7.28560000e-01  7.28560000e-01  1.25849668e+00 
 7.30560000e-01  7.30560000e-01  1.25849669e+00 
 7.32560000e-01  7.32560000e-01  1.25849669e+00 
 7.34560000e-01  7.34560000e-01  1.25849669e+00 
 7.36560000e-01  7.36560000e-01  1.25849669e+00 
 7.38560000e-01  7.38560000e-01  1.25849669e+00 
 7.40560000e-01  7.40560000e-01  1.25849669e+00 
 7.42560000e-01  7.42560000e-01  1.25849669e+00 
 7.44560000e-01  7.44560000e-01  1.25849669e+00 
 7.46560000e-01  7.46560000e-01  1.25849669e+00 
 7.48560000e-01  7.48560000e-01  1.25849669e+00 
 7.50560000e-01  7.50560000e-01  1.25849669e+00 
 7.52560000e-01  7.52560000e-01  1.25849669e+00 
 7.54560000e-01  7.54560000e-01  1.25849669e+00 
 7.56560000e-01  7.56560000e-01  1.25849669e+00 
 7.58560000e-01  7.58560000e-01  1.25849669e+00 
 7.60560000e-01  7.60560000e-01  1.25849669e+00 
 7.62560000e-01  7.62560000e-01  1.25849669e+00 
 7.64560000e-01  7.64560000e-01  1.25849669e+00 
 7.66560000e-01  7.66560000e-01  1.25849669e+00 
 7.68560000e-01  7.68560000e-01  1.25849669e+00 
 7.70560000e-01  7.70560000e-01  1.25849669e+00 
 7.72560000e-01  7.72560000e-01  1.25849669e+00 
 7.74560000e-01  7.74560000e-01  1.25849669e+00 
 7.76560000e-01  7.76560000e-01  1.25849669e+00 
 7.78560000e-01  7.78560000e-01  1.25849669e+00 
 7.80560000e-01  7.80560000e-01  1.25849669e+00 
 7.82560000e-01  7.82560000e-01  1.25849670e+00 
