 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)         v(N010)         v(N011)        
 7.02710351e-04  7.02710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.40406874e-02 -1.42112869e-02 -7.55437084e-01 -1.82671015e-02  4.20277662e-03 -7.55133375e-01 -1.91236161e-02 
 7.12710351e-04  7.12710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.43478987e-02 -1.45263924e-02 -7.67749984e-01 -1.85827651e-02  4.20098061e-03 -7.67509159e-01 -1.94535522e-02 
 7.22710351e-04  7.22710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.45816265e-02 -1.47682346e-02 -7.77182715e-01 -1.88250680e-02  4.19915785e-03 -7.77005692e-01 -1.97067140e-02 
 7.32710351e-04  7.32710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.47409482e-02 -1.49358556e-02 -7.83697977e-01 -1.89930540e-02  4.19731546e-03 -7.83585489e-01 -1.98821024e-02 
 7.42710351e-04  7.42710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.48252347e-02 -1.50285969e-02 -7.87270109e-01 -1.90860602e-02  4.19546066e-03 -7.87222566e-01 -1.99790252e-02 
 7.52710351e-04  7.52710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.48341532e-02 -1.50460890e-02 -7.87884940e-01 -1.91037195e-02  4.19360071e-03 -7.87902563e-01 -1.99971000e-02 
 7.62710351e-04  7.62710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.47676682e-02 -1.49882659e-02 -7.85540095e-01 -1.90459622e-02  4.19174290e-03 -7.85622782e-01 -1.99362553e-02 
 7.72710351e-04  7.72710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.46260420e-02 -1.48553525e-02 -7.80244755e-01 -1.89130162e-02  4.18989448e-03 -7.80392213e-01 -1.97967314e-02 
 7.82710351e-04  7.82710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.44098333e-02 -1.46478760e-02 -7.72019869e-01 -1.87054063e-02  4.18806270e-03 -7.72231483e-01 -1.95790787e-02 
 7.92710351e-04  7.92710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.41198951e-02 -1.43666522e-02 -7.60897825e-01 -1.84239518e-02  4.18625473e-03 -7.61172793e-01 -1.92841565e-02 
 8.02710351e-04  8.02710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.37573714e-02 -1.40127936e-02 -7.46922566e-01 -1.80697635e-02  4.18447764e-03 -7.47259771e-01 -1.89131284e-02 
 8.12710351e-04  8.12710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.33236928e-02 -1.35876936e-02 -7.30149175e-01 -1.76442392e-02  4.18273839e-03 -7.30547318e-01 -1.84674589e-02 
 8.22710351e-04  8.22710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.28205705e-02 -1.30930326e-02 -7.10643899e-01 -1.71490583e-02  4.18104378e-03 -7.11101377e-01 -1.79489067e-02 
 8.32710351e-04  8.32710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.22499899e-02 -1.25307596e-02 -6.88483645e-01 -1.65861751e-02  4.17940044e-03 -6.88998685e-01 -1.73595184e-02 
 8.42710351e-04  8.42710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.16142027e-02 -1.19030963e-02 -6.63755917e-01 -1.59578109e-02  4.17781480e-03 -6.64326455e-01 -1.67016201e-02 
 8.52710351e-04  8.52710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.09157178e-02 -1.12125168e-02 -6.36558236e-01 -1.52664457e-02  4.17629305e-03 -6.37182051e-01 -1.59778080e-02 
 8.62710351e-04  8.62710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.01572915e-02 -1.04617491e-02 -6.06997985e-01 -1.45148080e-02  4.17484115e-03 -6.07672585e-01 -1.51909389e-02 
 8.72710351e-04  8.72710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -9.34191680e-03 -9.65375305e-03 -5.75191756e-01 -1.37058641e-02  4.17346476e-03 -5.75914511e-01 -1.43441181e-02 
 8.82710351e-04  8.82710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -8.47281141e-03 -8.79172009e-03 -5.41265122e-01 -1.28428066e-02  4.17216925e-03 -5.42033147e-01 -1.34406875e-02 
 8.92710351e-04  8.92710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -7.55340507e-03 -7.87904920e-03 -5.05351907e-01 -1.19290417e-02  4.17095968e-03 -5.06162203e-01 -1.24842128e-02 
 9.02710351e-04  9.02710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -6.58732601e-03 -6.91934490e-03 -4.67593889e-01 -1.09681755e-02  4.16984076e-03 -4.68443228e-01 -1.14784685e-02 
 9.12710351e-04  9.12710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -5.57838672e-03 -5.91639166e-03 -4.28140016e-01 -9.96400011e-03  4.16881686e-03 -4.29025076e-01 -1.04274240e-02 
 9.22710351e-04  9.22710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -4.53056876e-03 -4.87415026e-03 -3.87146038e-01 -8.92047860e-03  4.16789194e-03 -3.88063297e-01 -9.33522716e-03 
