 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         @dled12_1[id]  
 4.72500000e-02  4.72500000e-02  1.86170136e+00  5.00000000e+00  4.35642586e+00  1.50963133e+00  8.55056435e-01  6.39985759e-04 
 4.77500000e-02  4.77500000e-02  1.87709284e+00  5.00000000e+00  4.35582642e+00  1.51780839e+00  8.62621132e-01  6.54991121e-04 
 4.82500000e-02  4.82500000e-02  1.89240230e+00  5.00000000e+00  4.35524057e+00  1.52596990e+00  8.70183948e-01  6.69996227e-04 
 4.87500000e-02  4.87500000e-02  1.90763016e+00  5.00000000e+00  4.35467150e+00  1.53406503e+00  8.77697258e-01  6.84900601e-04 
 4.92500000e-02  4.92500000e-02  1.92277686e+00  5.00000000e+00  4.35411476e+00  1.54214498e+00  8.85207782e-01  6.99802760e-04 
 4.97500000e-02  4.97500000e-02  1.93784285e+00  5.00000000e+00  4.35357347e+00  1.55015896e+00  8.92667872e-01  7.14602412e-04 
 5.02500000e-02  5.02500000e-02  1.95282854e+00  5.00000000e+00  4.35304340e+00  1.55815808e+00  9.00124408e-01  7.29398176e-04 
 5.06250000e-02  5.06250000e-02  1.96401536e+00  5.00000000e+00  4.35265773e+00  1.56410934e+00  9.05680673e-01  7.40355667e-04 
 5.10000000e-02  5.10000000e-02  1.97515745e+00  5.00000000e+00  4.35227495e+00  1.57006296e+00  9.11242204e-01  7.51393966e-04 
 5.10500000e-02  5.10500000e-02  1.97651337e+00  4.75000000e+00  4.10139120e+00  1.55742389e+00  8.97616534e-01  7.77511179e-04 
 5.11500000e-02  5.11500000e-02  1.97897200e+00  4.25000000e+00  3.59965172e+00  1.53272441e+00  8.70971111e-01  8.31599170e-04 
 5.13500000e-02  5.13500000e-02  1.98237149e+00  3.25000000e+00  2.59647594e+00  1.48223900e+00  8.16895575e-01  9.40238501e-04 
 5.16750000e-02  5.16750000e-02  1.98358768e+00  1.62500000e+00  9.67697099e-01  1.39153129e+00  7.21725536e-01  1.08814844e-03 
 5.20000000e-02  5.20000000e-02  1.97931503e+00  0.00000000e+00  3.32708273e-02  5.89733743e-01  1.02252794e-02 -4.05079994e-14 
 5.20500000e-02  5.20500000e-02  1.97822382e+00  0.00000000e+00  3.32583608e-02  5.89702113e-01  1.02174825e-02 -4.04942009e-14 
 5.21500000e-02  5.21500000e-02  1.97604265e+00  0.00000000e+00  3.32426360e-02  5.89646340e-01  1.02018426e-02 -4.04767951e-14 
 5.23500000e-02  5.23500000e-02  1.97168778e+00  0.00000000e+00  3.32112596e-02  5.89534855e-01  1.01706176e-02 -4.04420615e-14 
 5.27500000e-02  5.27500000e-02  1.96300785e+00  0.00000000e+00  3.31487137e-02  5.89312118e-01  1.01083850e-02 -4.03728111e-14 
