 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)         v(N010)         v(N011)        
 5.10388691e-04  5.10388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.89230059e-03  2.72360516e-03 -5.97502800e-02 -1.23466804e-03  4.19318057e-03 -5.92496665e-02 -1.30455459e-03 
 5.20388691e-04  5.20388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.69816961e-03  1.52980691e-03 -8.24306714e-02 -2.42975693e-03  4.19308664e-03 -8.19332091e-02 -2.55511637e-03 
 5.30388691e-04  5.30388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  5.14191587e-04  3.45893881e-04 -1.04922087e-01 -3.61523333e-03  4.19293868e-03 -1.04429704e-01 -3.79559427e-03 
 5.40388691e-04  5.40388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -6.54961000e-04 -8.23444353e-04 -1.27135634e-01 -4.78641908e-03  4.19273724e-03 -1.26650311e-01 -5.02109270e-03 
 5.50388691e-04  5.50388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.80467346e-03 -1.97360953e-03 -1.48983764e-01 -5.93869170e-03  4.19248310e-03 -1.48507376e-01 -6.22677517e-03 
 5.60388691e-04  5.60388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -2.93040854e-03 -3.10004562e-03 -1.70380126e-01 -7.06750406e-03  4.19217723e-03 -1.69914596e-01 -7.40788340e-03 
 5.70388691e-04  5.70388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -4.02772290e-03 -4.19832333e-03 -1.91240394e-01 -8.16840091e-03  4.19182081e-03 -1.90787515e-01 -8.55975610e-03 
 5.80388691e-04  5.80388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -5.09228607e-03 -5.26409175e-03 -2.11482119e-01 -9.23703788e-03  4.19141522e-03 -2.11043724e-01 -9.67784735e-03 
 5.90388691e-04  5.90388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -6.11989613e-03 -6.29316070e-03 -2.31025527e-01 -1.02691972e-02  4.19096205e-03 -2.30603301e-01 -1.07577446e-02 
 6.00388691e-04  6.00388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -7.10649772e-03 -7.28145270e-03 -2.49793372e-01 -1.12608058e-02  4.19046305e-03 -2.49389027e-01 -1.17951859e-02 
 6.10388691e-04  6.10388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -8.04819658e-03 -8.22508303e-03 -2.67711692e-01 -1.22079498e-02  4.18992017e-03 -2.67326777e-01 -1.27860770e-02 
 6.20388691e-04  6.20388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -8.94127640e-03 -9.12031169e-03 -2.84709657e-01 -1.31068918e-02  4.18933551e-03 -2.84345738e-01 -1.37265073e-02 
 6.30388691e-04  6.30388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -9.78221203e-03 -9.96362098e-03 -3.00720288e-01 -1.39540836e-02  4.18871138e-03 -3.00378754e-01 -1.46127653e-02 
 6.40388691e-04  6.40388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.05676848e-02 -1.07516671e-02 -3.15680286e-01 -1.47461821e-02  4.18805020e-03 -3.15362534e-01 -1.54413534e-02 
 6.50388691e-04  6.50388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.12945942e-02 -1.14813550e-02 -3.29530713e-01 -1.54800610e-02  4.18735455e-03 -3.29237947e-01 -1.62090016e-02 
 6.60388691e-04  6.60388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.19600717e-02 -1.21497896e-02 -3.42216796e-01 -1.61528243e-02  4.18662716e-03 -3.41950222e-01 -1.69126802e-02 
 6.70388691e-04  6.70388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.25614903e-02 -1.27543478e-02 -3.53688571e-01 -1.67618166e-02  4.18587087e-03 -3.53449191e-01 -1.75496123e-02 
 6.80388691e-04  6.80388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.30964766e-02 -1.32926284e-02 -3.63900655e-01 -1.73046347e-02  4.18508865e-03 -3.63689463e-01 -1.81172840e-02 
 6.90388691e-04  6.90388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.35629187e-02 -1.37625217e-02 -3.72812842e-01 -1.77791363e-02  4.18428355e-03 -3.72630623e-01 -1.86134551e-02 
 7.00388691e-04  7.00388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.39589759e-02 -1.41621583e-02 -3.80389856e-01 -1.81834489e-02  4.18345872e-03 -3.80237378e-01 -1.90361673e-02 
 7.10388691e-04  7.10388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.42830846e-02 -1.44899754e-02 -3.86601889e-01 -1.85159765e-02  4.18261739e-03 -3.86479704e-01 -1.93837525e-02 
 7.20388691e-04  7.20388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.45339658e-02 -1.47446646e-02 -3.91424319e-01 -1.87754073e-02  4.18176287e-03 -3.91332961e-01 -1.96548389e-02 
 7.30388691e-04  7.30388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.47106288e-02 -1.49252349e-02 -3.94838211e-01 -1.89607170e-02  4.18089849e-03 -3.94777988e-01 -1.98483567e-02 
 7.40388691e-04  7.40388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.48123765e-02 -1.50309591e-02 -3.96829987e-01 -1.90711746e-02  4.18002765e-03 -3.96801189e-01 -1.99635420e-02 
 7.50388691e-04  7.50388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.48388069e-02 -1.50614340e-02 -3.97391880e-01 -1.91063438e-02  4.17915375e-03 -3.97394570e-01 -1.99999404e-02 
 7.60388691e-04  7.60388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.47898156e-02 -1.50165250e-02 -3.96521572e-01 -1.90660863e-02  4.17828022e-03 -3.96555789e-01 -1.99574081e-02 
 7.70388691e-04  7.70388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.46655956e-02 -1.48964231e-02 -3.94222587e-01 -1.89505606e-02  4.17741048e-03 -3.94288147e-01 -1.98361130e-02 
 7.80388691e-04  7.80388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.44666372e-02 -1.47015882e-02 -3.90503901e-01 -1.87602229e-02  4.17654793e-03 -3.90600593e-01 -1.96365339e-02 
 7.90388691e-04  7.90388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.41937250e-02 -1.44328028e-02 -3.85380277e-01 -1.84958242e-02  4.17569596e-03 -3.85507672e-01 -1.93594584e-02 
 8.00388691e-04  8.00388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.38479361e-02 -1.40911137e-02 -3.78871838e-01 -1.81584081e-02  4.17485791e-03 -3.79029483e-01 -1.90059799e-02 
 8.10388691e-04  8.10388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.34306348e-02 -1.36778827e-02 -3.71004360e-01 -1.77493060e-02  4.17403705e-03 -3.71191583e-01 -1.85774935e-02 
 8.20388691e-04  8.20388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.29434680e-02 -1.31947272e-02 -3.61808793e-01 -1.72701329e-02  4.17323660e-03 -3.62024904e-01 -1.80756902e-02 
 8.30388691e-04  8.30388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.23883578e-02 -1.26435669e-02 -3.51321516e-01 -1.67227794e-02  4.17245969e-03 -3.51565614e-01 -1.75025504e-02 
 8.40388691e-04  8.40388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.17674951e-02 -1.20265635e-02 -3.39583823e-01 -1.61094060e-02  4.17170936e-03 -3.39854992e-01 -1.68603361e-02 
