time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),@dled12_1[id],@dled12_2[id]
0.197381927,5.0,4.27404018,4.38435143,0.7762479,0.0970699568,0.317012156,4.32573406,0.0154702601,0.000217408028
0.198381927,5.0,4.27404262,4.38572563,0.776158505,0.0974667036,0.362479051,4.33014417,0.0154687998,0.000206158711
0.199381927,5.0,4.27404084,4.38703013,0.775916735,0.0971772888,0.406825473,4.33417466,0.015469865,0.000196018879
0.200381927,5.0,4.27404323,4.38836156,0.775843986,0.0975663807,0.451420272,4.33816085,0.0154684329,0.000186183875
0.201381927,5.0,4.2740414,4.38961556,0.775612393,0.0972675385,0.49490106,4.34178313,0.0154695328,0.00017737249
0.202381927,5.0,4.27404392,4.39087761,0.775520702,0.0976776594,0.538668199,4.34532381,0.0154680233,0.000168925548
0.203381927,5.0,4.27404416,4.39179046,0.774889856,0.0977168112,0.58164002,4.34776289,0.0154678791,0.00016306764
0.204381927,5.0,4.2740583,4.39125918,0.772728097,0.10001432,0.62642482,4.34634597,0.0154594229,0.000166451818
0.204506927,5.0,4.27406099,4.39091371,0.772030795,0.100449657,0.632133881,4.34536789,0.0154578206,0.000168689985
0.204756927,5.0,4.27407463,4.38981001,0.769944696,0.102664774,0.644877613,4.34227994,0.0154496663,0.000176044033
0.20476159,5.0,4.27429583,4.38449321,0.753929889,0.138407321,0.680813709,4.32611402,0.0153181056,0.000216219582
0.204770916,5.0,4.27427981,4.38490507,0.755552985,0.135829555,0.678623261,4.32744803,0.0153275936,0.000212803912
0.204775827,5.0,4.27429173,4.38438134,0.754005904,0.137747718,0.680745367,4.32574901,0.0153205334,0.000217156792
0.204780595,5.0,4.2742757,4.38487442,0.755752887,0.135167577,0.678363253,4.32734927,0.0153300301,0.000213056211
0.204790131,5.0,4.27428766,4.38426878,0.754077314,0.137093174,0.680684905,4.32538074,0.0153229426,0.000218103911
0.204803909,5.0,4.27426716,4.38475443,0.756077984,0.133792254,0.677956248,4.32696182,0.0153350923,0.000214046876
0.204823966,5.0,4.27427675,4.3840554,0.75440136,0.135336996,0.680334162,4.32467954,0.0153294065,0.000219910677
0.204857712,5.0,4.27424714,4.38449884,0.756852027,0.130565371,0.676964594,4.32613245,0.0153469696,0.000216172525
0.204919741,5.0,4.27424371,4.3835725,0.755608632,0.130013076,0.67899023,4.32311556,0.0153490025,0.000224054924
0.204935248,5.0,4.27422718,4.38387966,0.757017167,0.127347619,0.676969531,4.32410061,0.0153588141,0.000221409904
0.204966262,5.0,4.27421305,4.38383765,0.757705876,0.125067196,0.675978885,4.32395983,0.0153672069,0.00022176979
0.205010676,5.0,4.27418973,4.38389274,0.759004011,0.121300822,0.674060601,4.32414253,0.0153810701,0.000221297949
0.205016794,5.0,4.27418597,4.38391716,0.759229455,0.120692979,0.673707493,4.32422311,0.0153833074,0.000221089164
0.205029031,5.0,4.2741774,4.38399653,0.75977592,0.119307894,0.672831964,4.32448537,0.0153884056,0.000220411761
0.205032091,5.0,4.27417534,4.38401499,0.759906281,0.118975413,0.672626904,4.32454671,0.0153896295,0.00022025453
0.205038209,5.0,4.27417,4.38408399,0.760269679,0.118112425,0.672018789,4.32477393,0.0153928062,0.000219667688
0.205050446,5.0,4.2741519,4.38441952,0.761624445,0.115185299,0.669601705,4.32587376,0.0154035801,0.000216836489
0.205050829,5.0,4.27415133,4.38442991,0.761665783,0.115091695,0.669524049,4.32590759,0.0154039246,0.00021674937
0.205051594,5.0,4.27415047,4.3844431,0.761723788,0.114953006,0.669417254,4.32595061,0.0154044351,0.000216638892
0.205053123,5.0,4.27415127,4.38440351,0.761624699,0.115083339,0.669611372,4.32582149,0.0154039553,0.000216970711
0.205053221,5.0,4.27415103,4.38441159,0.761655192,0.115044641,0.66957675,4.32585006,0.0154040984,0.000216902999
0.205053416,5.0,4.27415099,4.38440735,0.761642908,0.115037346,0.669577607,4.32583393,0.0154041246,0.00021693857
0.205053807,5.0,4.27415202,4.38437551,0.761546707,0.115204187,0.669760749,4.32573,0.0154035105,0.000217205745
0.205054589,5.0,4.27415574,4.38426759,0.76120979,0.115806506,0.670395667,4.32537735,0.0154012936,0.000218113911
0.205054785,5.0,4.27415724,4.38422547,0.761075848,0.116048007,0.670645316,4.32523937,0.0154004048,0.000218469414
0.205055176,5.0,4.27416136,4.38410747,0.760696286,0.116715566,0.671329167,4.32485162,0.0153979476,0.000219468395
0.205055187,5.0,4.27416153,4.38410177,0.760677203,0.11674203,0.671356109,4.32483229,0.01539785,0.000219516761
0.20505521,5.0,4.27416187,4.38409203,0.760645602,0.116797164,0.671412196,4.3248002,0.0153976471,0.0002195994
0.205055256,5.0,4.27416259,4.38407142,0.760578706,0.116914458,0.671531396,4.32473232,0.0153972153,0.000219774495
0.205055347,5.0,4.27416421,4.38402531,0.760428777,0.117176438,0.671797189,4.32458042,0.015396251,0.000220166621
0.20505553,5.0,4.27416835,4.38390725,0.760043317,0.117845726,0.672474102,4.32419092,0.0153937877,0.000221173885
0.205055534,5.0,4.27416838,4.3839059,0.760039551,0.117851104,0.672479652,4.32418706,0.0153937679,0.000221185388
0.205055543,5.0,4.27416853,4.38390088,0.760021891,0.117874711,0.672503603,4.32416922,0.0153936808,0.000221228374
0.205055559,5.0,4.274169,4.38388725,0.759977172,0.117950927,0.672580507,4.32412413,0.0153934003,0.00022134494
0.205055592,5.0,4.27417,4.38385836,0.759882255,0.118112108,0.672743064,4.32402846,0.015392807,0.000221592341
0.205055658,5.0,4.27417224,4.38379337,0.759668404,0.11847359,0.673107297,4.3238131,0.0153914765,0.000222149827
0.20505579,5.0,4.27417802,4.38362377,0.759108407,0.11940923,0.674048438,4.32325,0.0153880329,0.000223611315
0.205055914,5.0,4.27573114,4.27411007,-3.45572103,0.363102392,0.917727995,0.108410643,0.0144912176,0.0154285164
